year,total_abatement_mtco2,total_capex_musd,lowest_cost_usd_per_tco2,highest_cost_usd_per_tco2,average_cost_usd_per_tco2,technologies_count
2030,49.2,7310.0,12.0,2675.0,594.9695121951219,6
2040,49.2,7310.0,-35.0,1485.0,314.6443089430894,6
2050,49.2,7310.0,-77.0,750.0,115.79268292682926,6
