Company,TechID,Year,DeploymentLevel,Company_Share,Annual_Cost_USD,Abatement_kt_CO2,Applicable_Processes
OCI Company,EE_UTL,2025,0.35,0.005691474246271775,-2968838.315167619,34.92750959020728,Utility
Other Companies,EE_UTL,2025,0.35,0.9943085257537282,-518660213.61498374,6101.884866058632,Utility
OCI Company,EE_UTL,2030,0.35,0.005691474246271775,-2968838.315167619,34.92750959020728,Utility
Other Companies,EE_UTL,2030,0.35,0.9943085257537282,-518660213.61498374,6101.884866058632,Utility
OCI Company,EE_UTL,2035,0.35,0.005691474246271775,-2968838.315167619,34.92750959020728,Utility
Other Companies,EE_UTL,2035,0.35,0.9943085257537282,-518660213.61498374,6101.884866058632,Utility
OCI Company,EE_UTL,2040,0.35,0.005691474246271775,-2968838.315167619,34.92750959020728,Utility
Other Companies,EE_UTL,2040,0.35,0.9943085257537282,-518660213.61498374,6101.884866058632,Utility
OCI Company,EE_UTL,2045,0.35,0.005691474246271775,-2968838.315167619,34.92750959020728,Utility
Other Companies,EE_UTL,2045,0.35,0.9943085257537282,-518660213.61498374,6101.884866058632,Utility
OCI Company,EE_UTL,2050,0.35,0.005691474246271775,-2968838.315167619,34.92750959020728,Utility
Other Companies,EE_UTL,2050,0.35,0.9943085257537282,-518660213.61498374,6101.884866058632,Utility
OCI Company,EE_BTX,2025,0.2,0.007208455878537956,-1137606.3403932594,17.501636006050145,BTX Plant
Other Companies,EE_BTX,2025,0.2,0.9927915441214621,-156677931.35059872,2410.429713086134,BTX Plant
OCI Company,EE_BTX,2030,0.2,0.007208455878537956,-1137606.3403932594,17.501636006050145,BTX Plant
Other Companies,EE_BTX,2030,0.2,0.9927915441214621,-156677931.35059872,2410.429713086134,BTX Plant
OCI Company,EE_BTX,2035,0.2,0.007208455878537956,-1137606.3403932594,17.501636006050145,BTX Plant
Other Companies,EE_BTX,2035,0.2,0.9927915441214621,-156677931.35059872,2410.429713086134,BTX Plant
OCI Company,EE_BTX,2040,0.2,0.007208455878537956,-1137606.3403932594,17.501636006050145,BTX Plant
Other Companies,EE_BTX,2040,0.2,0.9927915441214621,-156677931.35059872,2410.429713086134,BTX Plant
OCI Company,EE_BTX,2045,0.2,0.007208455878537956,-1137606.3403932594,17.501636006050145,BTX Plant
Other Companies,EE_BTX,2045,0.2,0.9927915441214621,-156677931.35059872,2410.429713086134,BTX Plant
OCI Company,EE_BTX,2050,0.2,0.007208455878537956,-1137606.3403932594,17.501636006050145,BTX Plant
Other Companies,EE_BTX,2050,0.2,0.9927915441214621,-156677931.35059872,2410.429713086134,BTX Plant
Other Companies,EE_NCC,2025,0.1,1.0,-111632968.04914056,2232.659360982811,Naphtha Cracker
Other Companies,EE_NCC,2030,0.1,1.0,-111632968.04914056,2232.659360982811,Naphtha Cracker
Other Companies,EE_NCC,2035,0.1,1.0,-111632968.04914056,2232.659360982811,Naphtha Cracker
Other Companies,EE_NCC,2040,0.1,1.0,-111632968.04914056,2232.659360982811,Naphtha Cracker
Other Companies,EE_NCC,2045,0.1,1.0,-111632968.04914056,2232.659360982811,Naphtha Cracker
Other Companies,EE_NCC,2050,0.1,1.0,-111632968.04914056,2232.659360982811,Naphtha Cracker
OCI Company,HP_001,2030,0.5,0.003601943549494232,128769.4818944188,11.706316535856255,All Processes
Other Companies,HP_001,2030,0.5,0.9963980564505057,35621230.51810558,3238.2936834641437,All Processes
OCI Company,HP_001,2035,0.5,0.003601943549494232,128769.4818944188,11.706316535856255,All Processes
Other Companies,HP_001,2035,0.5,0.9963980564505057,35621230.51810558,3238.2936834641437,All Processes
OCI Company,HP_001,2040,0.5,0.003601943549494232,128769.4818944188,11.706316535856255,All Processes
Other Companies,HP_001,2040,0.5,0.9963980564505057,35621230.51810558,3238.2936834641437,All Processes
OCI Company,HP_001,2045,0.5,0.003601943549494232,128769.4818944188,11.706316535856255,All Processes
Other Companies,HP_001,2045,0.5,0.9963980564505057,35621230.51810558,3238.2936834641437,All Processes
OCI Company,HP_001,2050,0.5,0.003601943549494232,128769.4818944188,11.706316535856255,All Processes
Other Companies,HP_001,2050,0.5,0.9963980564505057,35621230.51810558,3238.2936834641437,All Processes
OCI Company,RE_003,2030,0.6,0.003601943549494232,1037359.7422543388,25.933993556358466,All Processes
Other Companies,RE_003,2030,0.6,0.9963980564505057,286962640.2577456,7174.066006443641,All Processes
OCI Company,RE_003,2035,0.6,0.003601943549494232,1037359.7422543388,25.933993556358466,All Processes
Other Companies,RE_003,2035,0.6,0.9963980564505057,286962640.2577456,7174.066006443641,All Processes
OCI Company,RE_003,2040,0.6,0.003601943549494232,1037359.7422543388,25.933993556358466,All Processes
Other Companies,RE_003,2040,0.6,0.9963980564505057,286962640.2577456,7174.066006443641,All Processes
OCI Company,RE_003,2045,0.19657947,0.003601943549494232,339872.71388615755,8.49681784715394,All Processes
Other Companies,RE_003,2045,0.19657947,0.9963980564505057,94018272.88611384,2350.456822152846,All Processes
OCI Company,RE_003,2050,0.3004229,0.003601943549494232,519411.0368521683,12.98527592130421,All Processes
Other Companies,RE_003,2050,0.3004229,0.9963980564505057,143683580.96314782,3592.089524078696,All Processes
OCI Company,RE_002,2030,0.059414392,0.003601943549494232,100048.4062103864,1.8190619310979346,All Processes
Other Companies,RE_002,2030,0.059414392,0.9963980564505057,27676179.853789613,503.20327006890204,All Processes
OCI Company,RE_002,2035,0.4,0.003601943549494232,673563.4437554216,12.246608068280391,All Processes
Other Companies,RE_002,2035,0.4,0.9963980564505057,186326436.5562446,3387.7533919317198,All Processes
OCI Company,RE_002,2040,0.4,0.003601943549494232,673563.4437554216,12.246608068280391,All Processes
Other Companies,RE_002,2040,0.4,0.9963980564505057,186326436.5562446,3387.7533919317198,All Processes
OCI Company,ES_001,2035,0.2,0.003601943549494232,310631.61170838255,2.0170883877167696,All Processes
Other Companies,ES_001,2035,0.2,0.9963980564505057,85929368.38829161,557.9829116122831,All Processes
OCI Company,ES_001,2040,0.2,0.003601943549494232,310631.61170838255,2.0170883877167696,All Processes
Other Companies,ES_001,2040,0.2,0.9963980564505057,85929368.38829161,557.9829116122831,All Processes
OCI Company,TPA_001,2035,0.6,0.003601943549494232,422775.96295575576,2.247612774884401,All Processes
Other Companies,TPA_001,2035,0.6,0.9963980564505057,116951624.03704424,621.7523872251156,All Processes
OCI Company,TPA_001,2040,0.8,0.003601943549494232,563701.2839410078,2.9968170331792017,All Processes
Other Companies,TPA_001,2040,0.8,0.9963980564505057,155935498.71605903,829.0031829668209,All Processes
OCI Company,HP_002,2035,0.3,0.003601943549494232,992785.6908293477,4.538448872362732,All Processes
Other Companies,HP_002,2035,0.3,0.9963980564505057,274632214.30917066,1255.4615511276372,All Processes
OCI Company,HP_002,2040,0.3,0.003601943549494232,992785.6908293477,4.538448872362732,All Processes
Other Companies,HP_002,2040,0.3,0.9963980564505057,274632214.30917066,1255.4615511276372,All Processes
OCI Company,PE_002,2035,0.75,0.003601943549494232,1467972.0935963744,7.023789921513752,All Processes
Other Companies,PE_002,2035,0.75,0.9963980564505057,406082027.9064036,1942.9762100784862,All Processes
OCI Company,PE_002,2040,0.8,0.003601943549494232,1565836.8998361328,7.492042582948002,All Processes
Other Companies,PE_002,2040,0.8,0.9963980564505057,433154163.1001639,2072.507957417052,All Processes
OCI Company,ETH_003,2035,0.1,0.003601943549494232,713617.0560257973,2.809515968605501,All Processes
Other Companies,ETH_003,2035,0.1,0.9963980564505057,197406382.9439742,777.1904840313945,All Processes
OCI Company,ETH_003,2040,0.15,0.003601943549494232,1070425.5840386958,4.214273952908251,All Processes
Other Companies,ETH_003,2040,0.15,0.9963980564505057,296109574.41596127,1165.7857260470917,All Processes
OCI Company,PROP_002,2035,0.058275391,0.003601943549494232,432235.69380084536,1.3098051327298343,All Processes
Other Companies,PROP_002,2035,0.058275391,0.9963980564505057,119568449.45339915,362.3286347072701,All Processes
OCI Company,PROP_002,2040,0.2,0.003601943549494232,1483424.4314237046,4.495225549768802,All Processes
