facility_id,company,location,process,capacity_1000_t,startup_year,retirement_year,baseline_emissions_tco2,age_at_retirement
75,Lotte Chemical,Ulsan,BTX Plant,210,1980,2025,66189.66466323653,40
76,SK지오센트릭,Ulsan,BTX Plant,200,1990,2030,63037.77586974907,40
77,Lotte Chemical,Ulsan,BTX Plant,360,1998,2038,113467.99656554832,40
78,HDHyundai Oilbank,Daesan,BTX Plant,1460,1997,2037,460175.7638491682,40
79,한화토탈에너지스,Daesan,BTX Plant,2000,1997,2037,630377.7586974907,40
80,GS Caltex,Yeosu,BTX Plant,1350,1990,2030,425504.98712080624,40
81,S-Oil,Onsan,BTX Plant,1900,1997,2037,598858.8707626162,40
82,Lotte Chemical,Ulsan,BTX Plant,750,1980,2025,236391.659511559,40
83,SK지오센트릭,Ulsan,BTX Plant,830,1990,2030,261606.76985945867,40
84,Ulsan아로마틱스,Ulsan,BTX Plant,1000,2014,2054,315188.87934874534,40
85,SKIncheon석유화학,Incheon,BTX Plant,1500,2014,2054,472783.319023118,40
86,SK지오센트릭,Ulsan,Naphtha Cracker,160,1974,2025,332275.4541708547,40
87,카프로,Ulsan,Naphtha Cracker,190,2000,2040,394577.10182789,40
