Age_Cohort,Book_Value_Million_USD,Facility_Count,Emissions_kt,Capacity_kt,Stranding_Risk,Expected_Stranded_Value_Million_USD
0-5yr,52342.4,51,11862.529930430326,24147.0,0.05,2617.1200000000003
6-10yr,22489.7,36,6391.577958242843,13253.0,0.1,2248.9700000000003
11-15yr,24432.0,48,11253.59164032374,20136.0,0.2,4886.400000000001
16-20yr,14848.5,49,12813.979716640964,21248.0,0.4,5939.400000000001
21-25yr,4424.2,53,9678.320754362127,21282.0,0.7,3096.9399999999996
>25yr,0.0,0,0.0,0.0,0.9,0.0
