Year,BAU_Emissions,Target_Emissions,Optimized_Emissions,Achievement_Percent,Target_Compliance,Cumulative_BAU_Mt,Cumulative_Optimized_Mt,Annual_Abatement_Mt,Cumulative_Abatement_Mt
2025,59.99716268711269,70.0,49.199759601388855,100.0,True,59.99716268711269,49.199759601388855,10.797403085723836,10.797403085723836
2030,51.75242542166703,30.0,30.000000003943196,99.9999999818724,False,111.74958810877972,79.19975960533205,21.75242541772383,32.54982850344767
2035,51.74504152345076,20.0,19.999999997886924,100.0000000066564,True,163.49462963223047,99.19975960321898,31.745041525563835,64.2948700290115
2040,47.57441122450152,10.0,9.99999999277768,100.00000001922136,True,211.069040856732,109.19975959599665,37.574411231723836,101.86928126073533
2045,23.40635671498137,7.0,6.999999989257535,100.00000006547744,True,234.47539757171336,116.19975958525418,16.406356725723835,118.27563798645917
2050,20.15247789786468,2.5,2.5000000121408483,99.999999931223,False,254.62787546957804,118.69975959739503,17.652477885723833,135.928115872183
