company,emissions_tco2,capacity_kt,facility_count,age_years
LG화학,10001491.170542726,4816,6,24.0
여천NCC,8207203.71802011,3952,3,41.666666666666664
롯데케미칼,8038989.269346116,3871,6,28.333333333333332
한화토탈에너지스,5688140.431087319,2739,3,34.0
GS칼텍스,3883469.370621864,1870,2,4.0
대한유화,3335214.871239954,1606,3,23.333333333333332
HD현대케미칼,3040320.405663321,1464,3,4.0
SK지오센트릭,2762039.7127952296,1330,4,39.75
S-Oil,2122409.463516334,1022,2,7.0
SK에너지,1287567.384912062,620,1,29.0
SK어드밴스드,1246032.9531407051,600,1,9.0
효성화학,1038360.7942839209,500,1,34.0
HD현대오일뱅크,872223.0671984935,420,1,14.0
태광산업,623016.4765703526,300,1,28.0
금호석유화학,492183.0164905785,237,2,39.5
카프로,394577.10182789,190,1,25.0
롯데GS화학,269973.80651381944,130,1,3.0
