technology,cost_per_tco2,abatement_deployed,total_cost,cumulative_abatement,cumulative_cost
Early_Retirement,50,20451324.23244642,1022566211.622321,20451324.23244642,1022566211.622321
Efficiency_Upgrade,100,30676986.34866963,3067698634.866963,51128310.58111605,4090264846.489284
Fuel_Switch,200,51128310.58111605,10225662116.22321,102256621.1622321,14315926962.712494
