year,emissions_mt_co2,active_facilities
2023,59.997162687112684,234
2024,59.997162687112684,234
2025,59.997162687112684,234
2026,22.336389984562405,92
2027,20.157974668895598,78
2028,20.15452518997573,76
2029,20.15333952577166,74
2030,20.15247789786468,73
2031,20.150527897864684,71
2032,20.150527897864684,71
2033,20.150527897864684,71
2034,20.145070639470845,69
2035,20.12609937498909,62
2036,19.537066439782585,57
2037,19.537066439782585,57
2038,19.12126807998605,51
2039,19.12082819626512,50
2040,19.120729507317805,49
2041,17.4231116788981,43
2042,17.41708481843298,39
2043,17.413456911456237,35
2044,16.840048311354558,30
2045,16.83827191030285,29
2046,12.117312166670061,26
2047,12.117312166670061,26
2048,10.363228179548836,19
2049,10.355384052012147,16
2050,10.355384052012147,16
