facility_id,company,location,product,process,start_year,capacity_kt,annual_emissions_kt_co2,emission_intensity_t_co2_per_t,lng_emissions,electricity_emissions,fuel_gas_emissions,fuel_oil_emissions
롯데케미칼_대산_Ethylene_1991,롯데케미칼,대산,Ethylene,Naphtha Cracker,1991,1100.0,2384.3252179140363,2.167568379921851,15.148782687105502,2366.997294860234,2.179140366696724,0.0
HD현대케미칼_대산_Ethylene_2021,HD현대케미칼,대산,Ethylene,Naphtha Cracker,2021,850.0,1842.4331229335733,2.167568379921851,11.70587753094516,1829.0433642101807,1.6838811924474688,0.0
LG화학_대산_Ethylene_1991,LG화학,대산,Ethylene,Naphtha Cracker,1991,1300.0,2817.8388938984067,2.1675683799218515,17.903106812033776,2797.3604393802766,2.5753477060961285,0.0
한화토탈에너지스_대산_Ethylene_1991,한화토탈에너지스,대산,Ethylene,Naphtha Cracker,1991,1525.0,3305.5417793808238,2.1675683799218515,21.00172145257808,3281.518976965325,3.0210809629204585,0.0
롯데케미칼_여수_Ethylene_1992,롯데케미칼,여수,Ethylene,Naphtha Cracker,1992,1230.0,2666.109107303877,2.167568379921851,16.939093368308882,2646.7333387982617,2.436675137306337,0.0
LG화학_여수_Ethylene_2021,LG화학,여수,Ethylene,Naphtha Cracker,2021,1030.0,2232.5954313195066,2.167568379921851,14.184769243380606,2216.370194278219,2.0404677979069326,0.0
여천NCC_여수_Ethylene_1979,여천NCC,여수,Ethylene,Naphtha Cracker,1979,2285.0,4952.89374812143,2.167568379921851,31.468153127305516,4916.898926141486,4.526668852638195,0.0
GS칼텍스_여수_Ethylene_2021,GS칼텍스,여수,Ethylene,Naphtha Cracker,2021,900.0,1950.811541929666,2.167568379921851,12.394458562177228,1936.6341503401914,1.7829330272973198,0.0
대한유화_온산_Ethylene_1991,대한유화,온산,Ethylene,Naphtha Cracker,1991,900.0,1950.811541929666,2.167568379921851,12.394458562177228,1936.6341503401914,1.7829330272973198,0.0
S-Oil_온산_Ethylene_2018,S-Oil,온산,Ethylene,Naphtha Cracker,2018,182.0,394.4974451457769,2.167568379921851,2.5064349536847286,391.63046151323874,0.36054867885345804,0.0
SK지오센트릭_울산_Ethylene_1989,SK지오센트릭,울산,Ethylene,Naphtha Cracker,1989,660.0,1430.5951307484218,2.167568379921851,9.089269612263301,1420.1983769161404,1.3074842200180345,0.0
롯데케미칼_대산_Propylene_1997,롯데케미칼,대산,Propylene,Naphtha Cracker,1997,550.0,1021.6110610159305,1.857474656392601,6.311992786293957,1014.4274120829579,0.8716561466786897,0.0
HD현대오일뱅크_대산_Propylene_2011,HD현대오일뱅크,대산,Propylene,Naphtha Cracker,2011,420.0,780.1393556848923,1.8574746563926006,4.820067218624477,774.6536601360768,0.6656283301909994,0.0
HD현대케미칼_대산_Propylene_2021,HD현대케미칼,대산,Propylene,Naphtha Cracker,2021,451.0,837.7210700330629,1.8574746563926008,5.175834084761045,831.8304779080254,0.7147580402765257,0.0
LG화학_대산_Propylene_1991,LG화학,대산,Propylene,Naphtha Cracker,1991,680.0,1263.0827663469686,1.8574746563926008,7.803918353963439,1254.2011640298388,1.07768396316638,0.0
한화토탈에너지스_대산_Propylene_1991,한화토탈에너지스,대산,Propylene,Naphtha Cracker,1991,1064.0,1976.3530344017274,1.857474656392601,12.210836953848673,1962.4559390113948,1.6862584364838653,0.0
롯데케미칼_여수_Propylene_1992,롯데케미칼,여수,Propylene,Naphtha Cracker,1992,641.0,1190.641254747657,1.8574746563926008,7.356340683662595,1182.2690384457744,1.015875618220073,0.0
LG화학_여수_Propylene_2021,LG화학,여수,Propylene,Naphtha Cracker,2021,1300.0,2414.717053310381,1.8574746563926006,14.91925567669481,2397.7375194688093,2.060278164876903,0.0
여천NCC_여수_Propylene_1979,여천NCC,여수,Propylene,Naphtha Cracker,1979,1289.0,2394.284832090062,1.8574746563926006,14.793015820968929,2377.44897122715,2.0428450419433295,0.0
GS칼텍스_여수_Propylene_2021,GS칼텍스,여수,Propylene,Naphtha Cracker,2021,970.0,1801.7504167008226,1.8574746563926006,11.132060004918435,1789.0810722190345,1.5372844768696892,0.0
대한유화_온산_Propylene_1991,대한유화,온산,Propylene,Naphtha Cracker,1991,560.0,1040.1858075798564,1.8574746563926006,6.426756291499302,1032.8715468481025,0.8875044402546659,0.0
S-Oil_온산_Propylene_2018,S-Oil,온산,Propylene,Naphtha Cracker,2018,840.0,1560.2787113697846,1.8574746563926006,9.640134437248953,1549.3073202721537,1.3312566603819989,0.0
SK어드밴스드_울산_Propylene_2016,SK어드밴스드,울산,Propylene,Naphtha Cracker,2016,600.0,1114.4847938355604,1.8574746563926006,6.8858103123206815,1106.6480859086812,0.9508976145585706,0.0
SK에너지_울산_Propylene_1996,SK에너지,울산,Propylene,Naphtha Cracker,1996,620.0,1151.6342869634125,1.8574746563926008,7.115337322731371,1143.5363554389705,0.9825942017105229,0.0
SK지오센트릭_울산_Propylene_1989,SK지오센트릭,울산,Propylene,Naphtha Cracker,1989,380.0,705.8403694291883,1.8574746563926008,4.361013197803098,700.877121075498,0.6022351558870948,0.0
태광산업_울산_Propylene_1997,태광산업,울산,Propylene,Naphtha Cracker,1997,300.0,557.2423969177802,1.8574746563926006,3.4429051561603408,553.3240429543406,0.4754488072792853,0.0
효성화학_울산_Propylene_1991,효성화학,울산,Propylene,Naphtha Cracker,1991,500.0,928.7373281963004,1.8574746563926008,5.738175260267234,922.2067382572344,0.7924146787988089,0.0
롯데케미칼_대산_Butadiene_1997,롯데케미칼,대산,Butadiene,Naphtha Cracker,1997,190.0,293.947864579064,1.5470940241003368,1.1629368527474933,292.0321337814576,0.7527939448588684,0.0
