year,emissions_mt_co2,active_facilities
2023,70.13114076563653,105
2024,70.13114076563653,105
2025,68.08458394403912,101
2026,64.80052355657565,92
2027,50.99161151460501,78
2028,50.00045158346312,76
2029,49.64176808481568,74
2030,49.31344089952727,73
2031,48.46586978714102,71
2032,48.46586978714102,71
2033,48.46586978714102,71
2034,47.269490521080954,69
2035,43.043149290925484,62
2036,38.61036191491105,57
2037,38.61036191491105,57
2038,36.757971172500476,51
2039,36.5861080689674,50
2040,36.56457996557095,49
2041,34.93191745225018,43
2042,33.428547831789494,39
2043,32.537423559308145,35
2044,27.156511080143183,30
2045,26.769005219007024,29
2046,22.814348006667217,26
2047,22.814348006667217,26
2048,19.34383848402875,19
2049,17.63647591332623,16
2050,17.63647591332623,16
