scenario,year,bau_emissions_mt,target_mt,required_abatement_mt,heat_pump_deployed_mt,ncc_h2_deployed_mt,ncc_electricity_deployed_mt,total_deployed_mt,actual_emissions_mt,annual_cost_musd,cumulative_capex_musd,cumulative_abatement_mt,target_met,naphtha_emissions_mt,grid_electricity_emissions_mt,h2_consumption_mt,renewable_electricity_mt,ncc_fossil_share_%,ncc_h2_share_%,ncc_electricity_share_%
Budget,2025,50.588532290413525,50.588532290413525,0.0,0.0,0.0,0,0.0,50.588532290413525,0.0,0.0,0.0,True,37.79690837687548,7.497630454264724,0.0,0.0,100.0,0.0,0.0
Budget,2026,50.24892186433467,48.66616806337781,1.5827538009568585,1.5827538009568585,0.0,0,1.5827538009568585,48.66616806337781,-0.001134241907554892,0.000189930456114823,1.5827538009568585,True,36.21415457591862,7.553708478425087,0.0,0.0,100.0,0.0,0.0
Budget,2027,49.915990700233,46.7438038363421,3.1721868638909,3.1721868638909,0.0,0,3.1721868638909,46.7438038363421,-0.0022969257283230494,0.000570592879781731,4.754940664847759,True,34.62472151298458,7.618135580056929,0.0,0.0,100.0,0.0,0.0
Budget,2028,49.57847949465445,44.82143960930638,4.757039885348071,3.4164,1.3406398853480712,0,4.757039885348071,44.82143960930638,-0.002429968858275531,0.0012218760591443838,9.51198055019583,True,33.03986849152741,7.341677658505652,1.3406398853480712,0.0,97.39114508397377,2.6088549160262335,0.0
Budget,2029,42.4080844703869,42.89907538227067,0.0,0.0,0.0,0,0.0,42.4080844703869,0.0,0.0012218760591443838,9.51198055019583,True,32.290926685836396,5.525935136528841,0.0,0.0,100.0,0.0,0.0
Budget,2030,42.09224745817134,40.97671115523496,1.115536302936384,1.115536302936384,0.0,0,1.115536302936384,40.97671115523496,-0.0008326966424139731,0.0013557404154967499,10.627516853132214,True,31.175390382900012,5.488982200047375,0.0,0.0,100.0,0.0,0.0
Budget,2031,41.794022183780555,39.054346928199244,2.739675255581311,2.739675255581311,0.0,0,2.739675255581311,39.054346928199244,-0.0020654041513713263,0.001673542745144182,13.367192108713525,True,29.551251430255085,5.596791663817826,0.0,0.0,100.0,0.0,0.0
Budget,2032,41.49558272133958,37.13198270116353,4.363600020176051,3.4164,0.9472000201760511,0,4.363600020176051,37.13198270116353,-0.002557047853044002,0.0022134147484934065,17.730792128889576,True,27.927326665660345,5.467533387481524,0.9472000201760511,0.0,98.15677016915333,1.8432298308466806,0.0
Budget,2033,41.19760292150448,35.20961847412781,5.987984447376675,3.4164,2.5715844473766754,0,5.987984447376675,35.20961847412781,-0.0025119404990657833,0.0029912678756262977,23.71877657626625,True,26.30294223845972,5.169553587646411,2.5715844473766754,0.0,94.99575478781655,5.004245212183442,0.0
Budget,2034,40.899462097118025,33.2872542470921,7.612207850025925,3.4164,4.1958078500259255,0,7.612207850025925,33.2872542470921,-0.0024729341174968434,0.003984336268830238,31.330984426292176,True,24.67871883581047,4.871412763259967,4.1958078500259255,0.0,91.83505275661733,8.164947243382674,0.0
Budget,2035,40.600366954903315,31.364890020056386,9.235476934846929,3.4164,5.81907693484693,0,9.235476934846929,31.364890020056386,-0.0024400601232009416,0.005169742424383044,40.566461361139105,True,23.055449750989467,4.572317621045254,5.81907693484693,0.0,88.67620780634257,11.323792193657427,0.0
Budget,2036,40.436577287126475,29.442525793020675,10.9940514941058,3.4164,7.577651494105801,0,10.9940514941058,29.442525793020675,-0.0024004788859053007,0.006543432730569644,51.56051285524491,True,21.296875191730596,4.418938054351396,7.577651494105801,0.0,85.25406146095764,14.745938539042358,0.0
Budget,2037,40.28490419113234,27.52016156598496,12.764742625147381,3.4164,9.348342625147382,0,12.764742625147381,27.52016156598496,-0.0023665006021100334,0.00808237441446395,64.32525548039229,True,19.526184060689015,4.26726495835726,9.348342625147382,0.0,81.80833654073977,18.19166345926023,0.0
Budget,2038,40.135817686435445,25.597797338949245,14.5380203474862,3.4164,11.1216203474862,0,14.5380203474862,25.597797338949245,-0.0023385269090460273,0.00976209853755224,78.86327582787848,True,17.752906338350197,4.118178453660358,11.1216203474862,0.0,78.35757817231907,21.642421827680934,0.0
Budget,2039,37.93304609104178,23.675433111913527,14.257612979128254,3.4164,10.841212979128255,0,14.257612979128254,23.675433111913527,-0.0023861897372031956,0.011317498056110245,93.12088880700674,True,16.268951152583483,3.8693023188110205,10.841212979128255,0.0,78.90324457343519,21.096755426564815,0.0
Budget,2040,37.461127266928905,21.75306888487782,15.708058382051085,3.4164,12.291658382051086,0,15.708058382051085,21.75306888487782,-0.0023772658663746174,0.012942892478135865,108.82894718905783,True,14.818505749660652,3.556531858224291,12.291658382051086,0.0,76.0807106020097,23.91928939799029,0.0
Budget,2041,22.301393343116057,19.8307046578421,2.470688685273956,2.470688685273956,0.0,0,2.470688685273956,19.8307046578421,-0.0020150661708196694,0.013135606195587233,111.29963587433178,True,15.584182576907587,2.285755698457375,0.0,0.0,100.0,0.0,0.0
Budget,2042,17.70267564272703,17.908340430806387,0.0,0.0,0.0,0,0.0,17.70267564272703,0.0,0.013135606195587233,111.29963587433178,True,14.414895581637332,1.240554832989413,0.0,0.0,100.0,0.0,0.0
Budget,2043,17.54679819689393,15.985976203770678,1.5608219931232536,1.5608219931232536,0.0,0,1.5608219931232536,15.985976203770678,-0.0012858884924554683,0.013251107023078355,112.86045786745504,True,12.854073588514078,1.4748828854371292,0.0,0.0,100.0,0.0,0.0
Budget,2044,17.391844284443028,14.063611976734961,3.328232307708067,3.328232307708067,0.0,0,3.328232307708067,14.063611976734961,-0.0027557286126971663,0.013490739749233337,116.1886901751631,True,11.086663273929265,1.7617815516324304,0.0,0.0,100.0,0.0,0.0
Budget,2045,17.209651819742948,12.141247749699245,5.068404070043703,3.4164,1.6520040700437035,0,5.068404070043703,12.141247749699245,-0.002798833163292203,0.013886828135887489,121.2570942452068,True,9.346491511593628,1.6256057882570407,1.6520040700437035,0.0,96.78523741794399,3.2147625820560277,0.0
Budget,2046,16.155034917176668,10.218883522663536,5.936151394513132,3.4164,2.5197513945131322,0,5.936151394513132,10.218883522663536,-0.0027860353783511526,0.014350960464182697,127.19324563971993,True,7.625571133654068,1.519562999908362,2.5197513945131322,0.0,95.09662073716925,4.903379262830762,0.0
Budget,2047,14.3672541586777,8.296519295627819,6.07073486304988,3.4164,2.6543348630498804,0,6.07073486304988,8.296519295627819,-0.0027930462414699282,0.014812678666994138,133.2639805027698,True,6.022738339228109,1.3929473778226895,2.6543348630498804,0.0,94.834724349224,5.1652756507759845,0.0
