scenario,year,bau_emissions_mt,target_mt,required_abatement_mt,heat_pump_deployed_mt,ncc_h2_deployed_mt,ncc_electricity_deployed_mt,total_deployed_mt,actual_emissions_mt,annual_cost_musd,cumulative_capex_musd,cumulative_abatement_mt,target_met,naphtha_emissions_mt,grid_electricity_emissions_mt,h2_consumption_mt,renewable_electricity_mt,ncc_fossil_share_%,ncc_h2_share_%,ncc_electricity_share_%
Point_Targets,2025,50.588532290413525,50.588532290413525,0.0,0.0,0.0,0,0.0,50.588532290413525,0.0,0.0,0.0,True,37.79690837687548,7.497630454264724,0.0,0.0,100.0,0.0,0.0
Point_Targets,2026,50.24892186433467,50.588532290413525,0.0,0.0,0.0,0,0.0,50.24892186433467,0.0,0.0,0.0,True,37.79690837687548,7.158020028185873,0.0,0.0,100.0,0.0,0.0
Point_Targets,2027,49.915990700233,50.588532290413525,0.0,0.0,0.0,0,0.0,49.915990700233,0.0,0.0,0.0,True,37.79690837687548,6.825088864084204,0.0,0.0,100.0,0.0,0.0
Point_Targets,2028,49.57847949465445,50.588532290413525,0.0,0.0,0.0,0,0.0,49.57847949465445,0.0,0.0,0.0,True,37.79690837687548,6.487577658505652,0.0,0.0,100.0,0.0,0.0
Point_Targets,2029,42.4080844703869,50.588532290413525,0.0,0.0,0.0,0,0.0,42.4080844703869,0.0,0.0,0.0,True,32.290926685836396,5.525935136528841,0.0,0.0,100.0,0.0,0.0
Point_Targets,2030,42.09224745817134,40.0,2.092247458171343,2.092247458171343,0.0,0,2.092247458171343,40.0,-0.001561766684717028,0.00025106969498056114,2.092247458171343,True,30.198679227665053,5.733159988856115,0.0,0.0,100.0,0.0,0.0
Point_Targets,2031,41.794022183780555,38.0,3.7940221837805552,3.4164,0.37762218378055534,0,3.7940221837805552,38.0,-0.002557358982627679,0.0007127007327745971,5.886269641951898,True,28.49690450205584,5.765972849922498,0.37762218378055534,0.0,99.26515576530034,0.7348442346996752,0.0
Point_Targets,2032,41.49558272133958,36.0,5.495582721339581,3.4164,2.079182721339581,0,5.495582721339581,36.0,-0.0025045574676083714,0.0014404818645169675,11.381852363291479,True,26.795343964496816,5.467533387481524,2.079182721339581,0.0,95.95395741752435,4.046042582475649,0.0
Point_Targets,2033,41.19760292150448,34.0,7.197602921504483,3.4164,3.7812029215044833,0,7.197602921504483,34.0,-0.002458119147076308,0.0024106643290361805,18.579455284795962,True,25.093323764331913,5.169553587646411,3.7812029215044833,0.0,92.64186457670655,7.3581354232934615,0.0
Point_Targets,2034,40.899462097118025,32.0,8.899462097118025,3.4164,5.483062097118026,0,8.899462097118025,32.0,-0.0024180730606238924,0.0035993953677981205,27.478917381913988,True,23.39146458871837,4.871412763259967,5.483062097118026,0.0,89.33008508602622,10.66991491397377,0.0
Point_Targets,2035,40.600366954903315,30.0,10.600366954903315,3.4164,7.183966954903315,0,10.600366954903315,30.0,-0.002384450623114883,0.004982710576259101,38.0792843368173,True,21.69055973093308,4.572317621045254,7.183966954903315,0.0,86.0201626762704,13.979837323729592,0.0
Point_Targets,2036,40.436577287126475,28.0,12.436577287126475,3.4164,9.020177287126476,0,12.436577287126475,28.0,-0.0023441896437900386,0.006555469441882554,50.51586162394378,True,19.85434939870992,4.418938054351396,9.020177287126476,0.0,82.4469388714044,17.55306112859559,0.0
Point_Targets,2037,40.28490419113234,26.0,14.284904191132341,3.4164,10.868504191132342,0,14.284904191132341,26.0,-0.002309798923523012,0.00829355229092089,64.80076581507612,True,18.006022494704055,4.26726495835726,10.868504191132342,0.0,78.85013649170548,21.14986350829453,0.0
Point_Targets,2038,40.135817686435445,24.0,16.135817686435445,3.4164,12.719417686435445,0,16.135817686435445,24.0,-0.002281680099544689,0.010171403284038887,80.93658350151156,True,16.15510899940095,4.118178453660358,12.719417686435445,0.0,75.2483006638037,24.751699336196296,0.0
Point_Targets,2039,37.93304609104178,22.0,15.933046091041781,3.4164,12.516646091041782,0,15.933046091041781,22.0,-0.002329465102344983,0.011922828476690775,96.86962959255334,True,14.593518040669956,3.8693023188110205,12.516646091041782,0.0,75.64288960543875,24.35711039456124,0.0
Point_Targets,2040,37.461127266928905,20.0,17.461127266928905,3.4164,14.044727266928906,0,17.461127266928905,20.0,-0.002320930711716974,0.013741060476052953,114.33075685948225,True,13.065436864782832,3.556531858224291,14.044727266928906,0.0,72.66927817453221,27.330721825467787,0.0
Point_Targets,2041,22.301393343116057,18.5,3.8013933431160574,3.4164,0.3849933431160575,0,3.8013933431160574,18.5,-0.0027744288427525667,0.014048733963766371,118.13215020259831,True,14.253477919065485,2.522183527138886,0.3849933431160575,0.0,99.25081165583482,0.7491883441651672,0.0
Point_Targets,2042,17.70267564272703,17.0,0.70267564272703,0.70267564272703,0.0,0,0.70267564272703,17.0,-0.0005759980692364324,0.014102137312613627,118.83482584532534,True,13.712219938910302,1.4162237436711704,0.0,0.0,100.0,0.0,0.0
Point_Targets,2043,17.54679819689393,15.5,2.0467981968939313,2.0467981968939313,0.0,0,2.0467981968939313,15.5,-0.001686261636086948,0.014253600379183778,120.88162404221927,True,12.3680973847434,1.5963769363797986,0.0,0.0,100.0,0.0,0.0
Point_Targets,2044,17.391844284443028,14.0,3.391844284443028,3.391844284443028,0.0,0,3.391844284443028,14.0,-0.0028083984170232577,0.014497813167663675,124.2734683266623,True,11.023051297194304,1.7776845458161707,0.0,0.0,100.0,0.0,0.0
Point_Targets,2045,17.209651819742948,12.5,4.709651819742948,3.4164,1.2932518197429483,0,4.709651819742948,12.5,-0.0028083914343228224,0.014859820090539254,128.98312014640524,True,9.705243761894383,1.6256057882570407,1.2932518197429483,0.0,97.48336118858623,2.51663881141377,0.0
