scenario,baseline_2025_mt,emissions_2050_mt,total_abatement_2025_2050_mt,cumulative_capex_2025_2050_busd,avg_annual_cost_musd,peak_deployment_year,targets_met_%
Budget,50.588532290413525,2.5294266145206787,162.41115163106926,1.7000038212684065e-05,-0.002057933653435951,2040,92.3076923076923
Point_Targets,50.588532290413525,5.0,162.00795287522823,1.7286587773641512e-05,-0.00193660820541918,2040,100.0
Linear,50.588532290413525,2.0,169.0033245734354,1.7679518419566242e-05,-0.002090638363668176,2040,100.0
