product_group,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
Olefins,65518.49351985947,20582.1,42,65.51849351985946,85.16676390251192
Aromatics,9510.244480317506,10845.8,41,9.510244480317505,12.362261444012907
Polymers,1576.294854622688,15193.5,65,1.576294854622688,2.0490082190870678
Other,313.8991016485863,27408.5,107,0.31389910164858625,0.4080339648104455
Intermediates,10.718200104251723,2068.5,7,0.010718200104251722,0.013932469577646711
