FacilityID,Company,Region,ProcessType,TechID,TechnologyCategory,DeploymentLevel,AbatementAchieved_ktCO2,AnnualCost_USD,LCOA_USD_per_tCO2
F001,LG Chem,Yeosu,NCC,NCC_LT_HeatPump,Heat pump,0.3963929,1285.3047313965103,3662273656.7100205,2849.34270235735
F003,Lotte Chemical,Yeosu,NCC,NCC_LT_HeatPump,Heat pump,1.0,2358.1832000000004,6584086649.90687,2792.016604098812
F007,SK Chemicals,Ulsan,NCC,NCC_LT_HeatPump,Heat pump,1.0,1326.4780500000004,3589486024.024473,2706.027456711004
F008,대한유화,Ulsan,NCC,NCC_LT_HeatPump,Heat pump,1.0,1179.0916000000002,3089265162.201184,2620.038309323197
