DeploymentID,TechID,FacilityID,Region,Company,TechGroup,Technology,BaselineCapacity_kt,MaxDeployment_kt,AbatementPotential_tCO2_per_t,TotalAbatementPotential_ktCO2,LCOA_USD_per_tCO2,CAPEX_Million_USD,CommercialYear,TRL,BaselineEmissions_tCO2_per_t,AlternativeEmissions_tCO2_per_t,CumulativeAbatement_MtCO2
NCC_HT_Hydrogen_Yeosu_LG_Chem,NCC_HT_Hydrogen,Yeosu_LG_Chem,Yeosu,LG Chem,NCC,H2-furnace,3380,3380,0.7426200000000001,2510.0556,1121.0768078878757,1081600.0,2030,5,2.9188,2.17618,2.5100556000000003
NCC_HT_Hydrogen_Yeosu_Lotte_Chemical,NCC_HT_Hydrogen,Yeosu_Lotte_Chemical,Yeosu,Lotte Chemical,NCC,H2-furnace,1000,1000,0.7426200000000001,742.62,1142.6051722313161,320000.0,2030,5,2.9188,2.17618,3.2526756
NCC_HT_Hydrogen_Ulsan_KPIC,NCC_HT_Hydrogen,Ulsan_KPIC,Ulsan,Korea Petrochemical Ind. Co.,NCC,H2-furnace,900,900,0.7426200000000001,668.3580000000001,1143.6322276087728,259200.0,2030,5,2.9188,2.17618,3.9210336000000003
NCC_HT_Hydrogen_Yeosu_GS_Caltex,NCC_HT_Hydrogen,Yeosu_GS_Caltex,Yeosu,GS Caltex,NCC,H2-furnace,900,900,0.7426200000000001,668.3580000000001,1146.002271740225,288000.0,2030,5,2.9188,2.17618,4.5893916
NCC_HT_Hydrogen_Daesan_HD_Hyundai,NCC_HT_Hydrogen,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,NCC,H2-furnace,850,850,0.7426200000000001,631.2270000000001,1146.7156288118304,258400.0,2030,5,2.9188,2.17618,5.2206186
NCC_HT_Hydrogen_Yeosu_Hanwha_Chemical,NCC_HT_Hydrogen,Yeosu_Hanwha_Chemical,Yeosu,Hanwha Chemical,NCC,H2-furnace,850,850,0.7426200000000001,631.2270000000001,1148.0005655689952,272000.0,2030,5,2.9188,2.17618,5.8518456
NCC_HT_Hydrogen_Daesan_LG_Chem,NCC_HT_Hydrogen,Daesan_LG_Chem,Daesan,LG Chem,NCC,H2-furnace,600,600,0.7426200000000001,445.57200000000006,1160.9534723418162,182400.0,2030,5,2.9188,2.17618,6.2974176
NCC_HT_Hydrogen_Ulsan_SK_Innovation,NCC_HT_Hydrogen,Ulsan_SK_Innovation,Ulsan,SK Innovation,NCC,H2-furnace,500,500,0.7426200000000001,371.31,1168.0913440729169,144000.0,2030,5,2.9188,2.17618,6.6687276
C4_MT_ElecHeater_Daesan_LG_Chem,C4_MT_ElecHeater,Daesan_LG_Chem,Daesan,LG Chem,C4,Electric heater,100,100,-0.8535300000000001,-85.35300000000001,inf,6175.0,2026,8,1.21196,2.06549,6.5833746
NCC_MT_ElecHeater_Daesan_HD_Hyundai,NCC_MT_ElecHeater,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,NCC,Electric heater,850,850,-1.07178,-911.0129999999999,inf,48450.0,2025,9,1.9121199999999998,2.9838999999999998,5.6723616
C4_MT_HeatPump_Daesan_LG_Chem,C4_MT_HeatPump,Daesan_LG_Chem,Daesan,LG Chem,C4,Heat pump,100,100,-0.35321999999999987,-35.32199999999999,inf,8075.0,2027,7,1.21196,1.5651799999999998,5.6370396000000005
BTX_LT_ElecCompr_Daesan_LG_Chem,BTX_LT_ElecCompr,Daesan_LG_Chem,Daesan,LG Chem,BTX,Electric motor,300,300,-0.21369000000000016,-64.10700000000004,inf,9120.0,2023,9,1.5694399999999997,1.7831299999999999,5.5729326
BTX_LT_HeatPump_Daesan_LG_Chem,BTX_LT_HeatPump,Daesan_LG_Chem,Daesan,LG Chem,BTX,Heat pump,300,300,-0.2970300000000001,-89.10900000000004,inf,11400.0,2024,9,1.5694399999999997,1.8664699999999999,5.4838236
BTX_MT_ElecHeater_Daesan_LG_Chem,BTX_MT_ElecHeater,Daesan_LG_Chem,Daesan,LG Chem,BTX,Electric heater,300,300,-0.6964500000000005,-208.93500000000014,inf,15675.0,2025,9,1.5299199999999997,2.22637,5.2748886
BTX_MT_HeatPump_Daesan_LG_Chem,BTX_MT_HeatPump,Daesan_LG_Chem,Daesan,LG Chem,BTX,Heat pump,300,300,-0.07674000000000025,-23.022000000000077,inf,19950.0,2026,8,1.5299199999999997,1.60666,5.2518666
BTX_HT_Electric_Daesan_LG_Chem,BTX_HT_Electric,Daesan_LG_Chem,Daesan,LG Chem,BTX,Electric furnace,300,300,-1.5579299999999998,-467.37899999999996,inf,62700.0,2030,5,1.8992199999999997,3.4571499999999995,4.784487599999999
NCC_LT_ElecCompr_Daesan_LG_Chem,NCC_LT_ElecCompr,Daesan_LG_Chem,Daesan,LG Chem,NCC,Electric motor,600,600,-0.2887500000000003,-173.25000000000017,inf,19950.0,2023,9,2.04195,2.3307,4.611237599999999
NCC_LT_HeatPump_Daesan_LG_Chem,NCC_LT_HeatPump,Daesan_LG_Chem,Daesan,LG Chem,NCC,Heat pump,600,600,-0.3443100000000001,-206.58600000000007,inf,25650.0,2024,9,2.04195,2.38626,4.404651599999999
NCC_MT_ElecHeater_Daesan_LG_Chem,NCC_MT_ElecHeater,Daesan_LG_Chem,Daesan,LG Chem,NCC,Electric heater,600,600,-1.07178,-643.068,inf,34200.0,2025,9,1.9121199999999998,2.9838999999999998,3.761583599999999
BTX_HT_Electric_Daesan_HD_Hyundai,BTX_HT_Electric,Daesan_HD_Hyundai,Daesan,HD Hyundai Chemical,BTX,Electric furnace,500,500,-1.5579299999999998,-778.9649999999999,inf,104500.0,2030,5,1.8992199999999997,3.4571499999999995,2.982618599999999
