region,n_facilities,n_ncc,n_btx,n_utility,capacity_kt,ncc_capacity_kt,total_fossil_kt,ncc_fossil_kt,btx_fossil_kt,low_temp_fossil_kt,elec_emissions_kt,elec_mwh,total_emissions_kt
Daesan,55,11,12,32,25644,6863,15821.694827425943,12057.083698363582,1309.512381127969,2455.098747934389,0.0,587515.4984838124,15821.694827425943
Yeosu,85,11,13,61,33642,7192,16216.788679113648,12561.145444014706,1151.176407747665,2504.466827351276,0.0,511011.5196477762,16216.788679113648
Ulsan,80,10,18,52,30016,4838,11640.686571538674,7978.600518152315,1803.2781813228764,1858.8078720634803,0.0,527191.9146807553,11640.686571538674
Other,19,0,4,15,3990,0,283.13781213577704,0.0,226.51024970862167,56.62756242715542,0.0,9147.876785786235,283.13781213577704
