year,retired_capacity_kt,retired_emissions_mtco2,adjusted_retired_emissions_mtco2,facilities_retired,growth_factor
2025,26656,36.013699984929495,36.013699984929495,48,1.0
2026,620,1.287567384912062,1.290142519681886,1,1.002
2027,6738,3.955736686639707,3.971575456333012,7,1.004004
2028,360,0.11346799656554832,0.11415016706864435,1,1.006012008
2029,0,0.0,0.0,0,1.008024032016
2030,190,0.39457710182788996,0.39853868752798893,1,1.010040080080032
2031,0,0.0,0.0,0,1.012060160240192
2032,0,0.0,0.0,0,1.0140842805606725
2033,0,0.0,0.0,0,1.0161124491217939
2034,0,0.0,0.0,0,1.0181446740200375
2035,0,0.0,0.0,0,1.0201809633680774
2036,600,0.18911332760924723,0.19331567637963695,1,1.0222213252948136
2037,0,0.0,0.0,0,1.0242657679454032
2038,335,0.10558827458182969,0.10836675606088908,3,1.0263142994812942
2039,0,0.0,0.0,0,1.0283669280802568
2040,0,0.0,0.0,0,1.030423661936417
2041,1100,1.3683967386306957,1.4128484351584953,6,1.0324845092602901
2042,0,0.0,0.0,0,1.0345494782788105
2043,0,0.0,0.0,0,1.0366185772353682
2044,3100,0.9770855259811105,1.0148907377953698,3,1.038691814389839
2045,0,0.0,0.0,0,1.0407691980186187
2046,2360,1.800765380794497,1.8779295034715595,3,1.042850736414656
2047,0,0.0,0.0,0,1.0449364378874852
2048,1022,2.122409463516334,2.2222185505145378,2,1.0470263107632602
2049,0,0.0,0.0,0,1.0491203633847868
2050,0,0.0,0.0,0,1.0512186041115563
