facility_id,company,location,process,capacity_1000_t,startup_year,retirement_year,baseline_emissions_tco2,age_at_retirement,growth_rate
23,SK Energy,Ulsan,Naphtha Cracker,620,1996,2046,1287567.384912062,50,0.002
24,SK Geocentric,Ulsan,Naphtha Cracker,380,1989,2039,789154.20365578,50,0.002
25,Taekwang Industrial,Ulsan,Naphtha Cracker,300,1997,2047,623016.4765703526,50,0.002
26,Hyosung Chemical,Ulsan,Naphtha Cracker,500,1991,2041,1038360.7942839209,50,0.002
27,Lotte Chemical,Daesan,Naphtha Cracker,190,1997,2047,394577.10182789,50,0.002
28,HD Hyundai Chemical,Daesan,Naphtha Cracker,163,2021,2071,338505.6189365582,50,0.002
29,LG Chem,Daesan,Naphtha Cracker,200,1991,2041,415344.3177135684,50,0.002
30,Hanwha TotalEnergies,Daesan,Naphtha Cracker,150,1991,2041,311508.2382851763,50,0.002
31,Kumho Petrochemical,Yeosu,Naphtha Cracker,147,1992,2042,305278.07351947273,50,0.002
32,Lotte GS Chemical,Yeosu,Naphtha Cracker,130,2022,2072,269973.80651381944,50,0.002
33,Lotte Chemical,Yeosu,Naphtha Cracker,160,2011,2061,332275.4541708547,50,0.002
34,LG Chem,Yeosu,Naphtha Cracker,306,1991,2041,635476.8061017595,50,0.002
35,Yeochon NCC,Yeosu,Naphtha Cracker,378,1992,2042,785000.7604786442,50,0.002
36,Kumho Petrochemical,Ulsan,Naphtha Cracker,90,1979,2029,186904.94297110575,50,0.002
37,Daehan Oil Chemical,Ulsan,Naphtha Cracker,146,2023,2073,303201.3519309049,50,0.002
38,SK Geocentric,Ulsan,Naphtha Cracker,130,1989,2039,269973.80651381944,50,0.002
39,OCI,Gwangyang,BTX Plant,200,1995,2045,63037.77586974907,50,0.002
40,Lotte Chemical,Daesan,BTX Plant,240,2011,2061,75645.33104369888,50,0.002
41,HD Hyundai Chemical,Daesan,BTX Plant,410,2016,2066,129227.44053298561,50,0.002
42,HDHyundai Oilbank,Daesan,BTX Plant,338,1997,2047,106533.84121987593,50,0.002
43,LG Chem,Daesan,BTX Plant,270,1991,2041,85100.99742416125,50,0.002
44,Hanwha TotalEnergies,Daesan,BTX Plant,1267,1991,2041,399344.31013486034,50,0.002
45,Lotte Chemical,Yeosu,BTX Plant,235,1992,2042,74069.38664695516,50,0.002
46,LG Chem,Yeosu,BTX Plant,630,1992,2042,198568.9939897096,50,0.002
47,Yeochon NCC,Yeosu,BTX Plant,457,1979,2029,144041.31786237663,50,0.002
48,GS Caltex,Yeosu,BTX Plant,930,1990,2040,293125.6577943332,50,0.002
49,Daehan Oil Chemical,Onsan,BTX Plant,210,2008,2058,66189.66466323653,50,0.002
50,S-Oil,Onsan,BTX Plant,672,1991,2041,211806.92692235688,50,0.002
51,Lotte Chemical,Ulsan,BTX Plant,110,1986,2036,34670.77672836199,50,0.002
52,SK Geocentric,Ulsan,BTX Plant,603,1972,2025,190058.89424729344,50,0.002
53,Ulsan Aromatics,Ulsan,BTX Plant,600,2014,2064,189113.32760924724,50,0.002
54,SK Incheon Petrochemical,Incheon,BTX Plant,600,2006,2056,189113.32760924724,50,0.002
55,OCI,Gwangyang,BTX Plant,40,1995,2045,12607.555173949815,50,0.002
