Company,Support_Tier,Total_Annual_Investment_USD,Investment_per_Facility_USD,Facilities_Affected,Total_Facilities,Facility_Impact_Percent,Baseline_Emissions_2025_kt,Target_Emissions_2050_kt,Emission_Reduction_Required_kt,Technology_Diversity_Score,Risk_Assessment,High_Risk_Investment_USD,Cost_Effectiveness_USD_per_tCO2,Estimated_Government_Support_USD
OCI Company,Tier 4 - Minimal Support,1388556.83784494,198365.26254927713,7,7,100.0,187.3010645737001,23.235488265086214,164.06557630861388,13,Low,2606834.6050754604,2432.5205931110577,69427.841892247
Other Companies,Tier 1 - Major Support Required,2478029682.9242516,10774042.09967066,230,230,100.0,51812.698935426306,6427.584172234266,45385.11476319204,14,High,721123165.3949246,18307.324022444667,1239014841.4621258
