year,retired_capacity_kt,retired_emissions_mtco2,adjusted_retired_emissions_mtco2,facilities_retired,growth_factor
2025,26656,36.013699984929495,36.013699984929495,48,1.0
2026,620,1.287567384912062,1.2849922501422377,1,0.998
2027,6738,3.955736686639707,3.9399295628398945,7,0.996004
2028,360,0.11346799656554832,0.11278854929436985,1,0.994011992
2029,0,0.0,0.0,0,0.992023968016
2030,190,0.39457710182788996,0.3906470823590696,1,0.990039920079968
2031,0,0.0,0.0,0,0.9880598402398081
2032,0,0.0,0.0,0,0.9860837205593285
2033,0,0.0,0.0,0,0.9841115531182097
2034,0,0.0,0.0,0,0.9821433300119734
2035,0,0.0,0.0,0,0.9801790433519494
2036,600,0.18911332760924723,0.18499419070005346,1,0.9782186852652455
2037,0,0.0,0.0,0,0.976262247894715
2038,335,0.10558827458182969,0.1028756826019923,3,0.9743097233989256
2039,0,0.0,0.0,0,0.9723611039521277
2040,0,0.0,0.0,0,0.9704163817442235
2041,1100,1.3683967386306957,1.3252587826688105,6,0.9684755489807351
2042,0,0.0,0.0,0,0.9665385978827735
2043,0,0.0,0.0,0,0.964605520687008
2044,3100,0.9770855259811105,0.9406170883596587,3,0.962676309645634
2045,0,0.0,0.0,0,0.9607509570263427
2046,2360,1.800765380794497,1.726626888852263,3,0.95882945511229
2047,0,0.0,0.0,0,0.9569117962020655
2048,1022,2.122409463516334,2.026896734705658,2,0.9549979726096613
2049,0,0.0,0.0,0,0.953087976664442
2050,0,0.0,0.0,0,0.9511818007111131
