year,retired_capacity_kt,retired_emissions_mtco2,adjusted_retired_emissions_mtco2,facilities_retired,growth_factor
2025,6330,8.731246686331382,8.731246686331382,10,1.0
2026,110,0.03467077672836199,0.034601435174905264,1,0.998
2027,0,0.0,0.0,0,0.996004
2028,0,0.0,0.0,0,0.994011992
2029,1170,2.429764258624375,2.4103843811840067,3,0.992023968016
2030,3830,1.2071734079056946,1.1951498642856164,6,0.990039920079968
2031,11244,18.138282255277506,17.92170826737404,16,0.9880598402398081
2032,3732,5.3969172690184735,5.321812260184626,10,0.9860837205593285
2033,0,0.0,0.0,0,0.9841115531182097
2034,0,0.0,0.0,0,0.9821433300119734
2035,240,0.07564533104369889,0.07414596821645429,2,0.9801790433519494
2036,620,1.287567384912062,1.2595224744590874,1,0.9782186852652455
2037,6738,3.955736686639707,3.861836389778472,7,0.976262247894715
2038,360,0.11346799656554832,0.11055297234840962,1,0.9743097233989256
2039,0,0.0,0.0,0,0.9723611039521277
2040,190,0.39457710182788996,0.38290408347494304,1,0.9704163817442235
2041,0,0.0,0.0,0,0.9684755489807351
2042,0,0.0,0.0,0,0.9665385978827735
2043,0,0.0,0.0,0,0.964605520687008
2044,0,0.0,0.0,0,0.962676309645634
2045,0,0.0,0.0,0,0.9607509570263427
2046,600,0.18911332760924723,0.18132742886604652,1,0.95882945511229
2047,0,0.0,0.0,0,0.9569117962020655
2048,335,0.10558827458182969,0.1008365881569996,3,0.9549979726096613
2049,0,0.0,0.0,0,0.953087976664442
2050,0,0.0,0.0,0,0.9511818007111131
