company,location,process,capacity_1000_t,age_2025,remaining_life,original_asset_value,current_book_value,stranded_asset_cost_per_year,emissions_tco2,facility_id,original_asset_value_musd,current_book_value_musd,stranded_cost_musd_per_year,emissions_mtco2
Lotte Chemical,Daesan,Naphtha Cracker,1100,34,0,55000000000.0,0.0,0.0,880000,0,55000.0,0.0,0.0,0.88
HD현대케미칼,Daesan,Naphtha Cracker,850,4,26,42500000000.0,36833333333.333336,1416666666.6666667,680000,1,42500.0,36833.333333333336,1416.6666666666667,0.68
LG Chem,Daesan,Naphtha Cracker,1300,34,0,65000000000.0,0.0,0.0,1040000,2,65000.0,0.0,0.0,1.04
한화토탈에너지스,Daesan,Naphtha Cracker,1525,34,0,76250000000.0,0.0,0.0,1220000,3,76250.0,0.0,0.0,1.22
Lotte Chemical,Yeosu,Naphtha Cracker,1230,33,0,61500000000.0,0.0,0.0,984000,4,61500.0,0.0,0.0,0.984
LG Chem,Yeosu,Naphtha Cracker,1030,4,26,51500000000.0,44633333333.333336,1716666666.6666667,824000,5,51500.0,44633.333333333336,1716.6666666666667,0.824
여천NCC,Yeosu,Naphtha Cracker,2285,46,0,114250000000.0,0.0,0.0,1828000,6,114250.0,0.0,0.0,1.828
GS Caltex,Yeosu,Naphtha Cracker,900,4,26,45000000000.0,39000000000.0,1500000000.0,720000,7,45000.0,39000.0,1500.0,0.72
대한유화,Onsan,Naphtha Cracker,900,34,0,45000000000.0,0.0,0.0,720000,8,45000.0,0.0,0.0,0.72
S-Oil,Onsan,Naphtha Cracker,182,7,23,9100000000.0,6976666666.666667,303333333.3333334,145600,9,9100.0,6976.666666666667,303.33333333333337,0.1456
SK지오센트릭,Ulsan,Naphtha Cracker,660,36,0,33000000000.0,0.0,0.0,528000,10,33000.0,0.0,0.0,0.528
Lotte Chemical,Daesan,Naphtha Cracker,550,28,2,27500000000.0,1833333333.3333359,916666666.6666679,440000,11,27500.0,1833.333333333336,916.666666666668,0.44
HDHyundai Oilbank,Daesan,Naphtha Cracker,420,14,16,21000000000.0,11200000000.0,700000000.0,336000,12,21000.0,11200.0,700.0,0.336
HD현대케미칼,Daesan,Naphtha Cracker,451,4,26,22550000000.0,19543333333.333332,751666666.6666666,360800,13,22550.0,19543.333333333332,751.6666666666666,0.3608
LG Chem,Daesan,Naphtha Cracker,680,34,0,34000000000.0,0.0,0.0,544000,14,34000.0,0.0,0.0,0.544
한화토탈에너지스,Daesan,Naphtha Cracker,1064,34,0,53200000000.0,0.0,0.0,851200,15,53200.0,0.0,0.0,0.8512
Lotte Chemical,Yeosu,Naphtha Cracker,641,33,0,32050000000.0,0.0,0.0,512800,16,32050.0,0.0,0.0,0.5128
LG Chem,Yeosu,Naphtha Cracker,1300,4,26,65000000000.0,56333333333.333336,2166666666.666667,1040000,17,65000.0,56333.333333333336,2166.666666666667,1.04
여천NCC,Yeosu,Naphtha Cracker,1289,46,0,64450000000.0,0.0,0.0,1031200,18,64450.0,0.0,0.0,1.0312
