Company,Year,TechID,TechName,Category,DeploymentLevel,AbatementContribution_kt,AnnualCost_USD
LG Chem,2030,ES_001,Battery Storage,Energy Storage,0.033596322973215104,205.4803203869931,20548032.03869931
LG Chem,2035,ES_001,Battery Storage,Energy Storage,0.18336546070121554,1121.4915883155843,112149158.83155842
LG Chem,2040,ES_001,Battery Storage,Energy Storage,0.2,1223.2310098388666,122323100.98388666
LG Chem,2045,ES_001,Battery Storage,Energy Storage,0.2,1223.2310098388666,122323100.98388666
LG Chem,2050,ES_001,Battery Storage,Energy Storage,0.2,1223.2310098388666,122323100.98388666
Lotte Chemical,2025,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.0003804775184288599,1.5873177767206605,79365.88883603302
Lotte Chemical,2030,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.010576923076923078,44.12596595019612,2206298.2975098058
Lotte Chemical,2035,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.020773368635417296,86.66461412367157,4333230.706183578
Lotte Chemical,2040,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.021153846153846155,88.25193190039224,4412596.5950196115
Lotte Chemical,2045,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.021153846153846155,88.25193190039224,4412596.5950196115
Lotte Chemical,2050,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.021153846153846155,88.25193190039224,4412596.5950196115
Lotte Chemical,2025,EE_BTX,EE - BTX Plant,Energy Efficiency,0.0006225995756108616,2.597429089179263,103897.16356717053
Lotte Chemical,2030,EE_BTX,EE - BTX Plant,Energy Efficiency,0.01730769230769231,72.20612610032093,2888245.044012837
Lotte Chemical,2035,EE_BTX,EE - BTX Plant,Energy Efficiency,0.03399278503977375,141.81482311146257,5672592.924458503
Lotte Chemical,2040,EE_BTX,EE - BTX Plant,Energy Efficiency,0.03461538461538462,144.41225220064186,5776490.088025674
Lotte Chemical,2045,EE_BTX,EE - BTX Plant,Energy Efficiency,0.03461538461538462,144.41225220064186,5776490.088025674
Lotte Chemical,2050,EE_BTX,EE - BTX Plant,Energy Efficiency,0.03461538461538462,144.41225220064186,5776490.088025674
Lotte Chemical,2025,EE_UTL,EE - Utilities,Energy Efficiency,0.003873952914912028,16.161780999337637,484853.4299801291
Lotte Chemical,2030,EE_UTL,EE - Utilities,Energy Efficiency,0.1076923076923077,449.28256240199687,13478476.872059906
Lotte Chemical,2035,EE_UTL,EE - Utilities,Energy Efficiency,0.21151066246970338,882.4033438046562,26472100.314139687
Lotte Chemical,2040,EE_UTL,EE - Utilities,Energy Efficiency,0.2153846153846154,898.5651248039937,26956953.74411981
Lotte Chemical,2045,EE_UTL,EE - Utilities,Energy Efficiency,0.2153846153846154,898.5651248039937,26956953.74411981
Lotte Chemical,2050,EE_UTL,EE - Utilities,Energy Efficiency,0.2153846153846154,898.5651248039937,26956953.74411981
Lotte Chemical,2025,RE_001,Solar Thermal,Renewable Energy,0.0,0.0,0.0
Lotte Chemical,2030,RE_001,Solar Thermal,Renewable Energy,0.07750637971809689,323.3496024780239,25867968.198241908
Lotte Chemical,2035,RE_001,Solar Thermal,Renewable Energy,0.24020856930080892,1002.1284141735755,80170273.13388604
Lotte Chemical,2040,RE_001,Solar Thermal,Renewable Energy,0.25,1042.9773770046354,83438190.16037084
Lotte Chemical,2045,RE_001,Solar Thermal,Renewable Energy,0.25,1042.9773770046354,83438190.16037084
Lotte Chemical,2050,RE_001,Solar Thermal,Renewable Energy,0.25,1042.9773770046354,83438190.16037084
Lotte Chemical,2025,RE_002,Solar PV,Renewable Energy,0.0071944839848366235,30.014736141627036,1350663.1263732165
Lotte Chemical,2030,RE_002,Solar PV,Renewable Energy,0.2,834.3819016037085,37547185.57216688
Lotte Chemical,2035,RE_002,Solar PV,Renewable Energy,0.3928055160151634,1638.7490670657899,73743708.01796053
Lotte Chemical,2040,RE_002,Solar PV,Renewable Energy,0.4,1668.763803207417,75094371.14433376
Lotte Chemical,2045,RE_002,Solar PV,Renewable Energy,0.4,1668.763803207417,75094371.14433376
Lotte Chemical,2050,RE_002,Solar PV,Renewable Energy,0.4,1668.763803207417,75094371.14433376
Lotte Chemical,2025,RE_003,Wind PPAs,Renewable Energy,0.010791725977254935,45.02210421244055,1575773.6474354195
Lotte Chemical,2030,RE_003,Wind PPAs,Renewable Energy,0.3,1251.5728524055623,43805049.83419468
Lotte Chemical,2035,RE_003,Wind PPAs,Renewable Energy,0.589208274022745,2458.1236005986843,86034326.02095395
