year,retired_capacity_kt,retired_emissions_mtco2,adjusted_retired_emissions_mtco2,facilities_retired,growth_factor
2025,763,0.5223343484181481,0.5223343484181481,2,1.0
2026,0,0.0,0.0,0,1.002
2027,0,0.0,0.0,0,1.004004
2028,0,0.0,0.0,0,1.006012008
2029,4607,7.906331013738438,7.969771666921769,6,1.008024032016
2030,960,0.30258132417479555,0.3056192649002326,2,1.010040080080032
2031,0,0.0,0.0,0,1.012060160240192
2032,0,0.0,0.0,0,1.0140842805606725
2033,0,0.0,0.0,0,1.0161124491217939
2034,0,0.0,0.0,0,1.0181446740200375
2035,0,0.0,0.0,0,1.0201809633680774
2036,110,0.03467077672836199,0.035441207336266774,1,1.0222213252948136
2037,0,0.0,0.0,0,1.0242657679454032
2038,0,0.0,0.0,0,1.0263142994812942
2039,1170,2.429764258624375,2.498689206600751,3,1.0283669280802568
2040,3830,1.2071734079056946,1.24390004356645,6,1.030423661936417
2041,11244,18.138282255277506,18.727495453164824,16,1.0324845092602901
2042,3732,5.3969172690184735,5.583377944976965,10,1.0345494782788105
2043,0,0.0,0.0,0,1.0366185772353682
2044,0,0.0,0.0,0,1.038691814389839
2045,240,0.07564533104369889,0.0787293305242034,2,1.0407691980186187
2046,620,1.287567384912062,1.3427405955390366,1,1.042850736414656
2047,6738,3.955736686639707,4.1334934025581385,7,1.0449364378874852
2048,360,0.11346799656554832,0.11880397783372434,1,1.0470263107632602
2049,0,0.0,0.0,0,1.0491203633847868
2050,190,0.39457710182788996,0.4147867901978979,1,1.0512186041115563
