technology,cost_per_tco2,abatement_deployed,total_cost,cumulative_abatement,cumulative_cost
Early_Retirement,50,16985945.374277186,849297268.7138593,16985945.374277186,849297268.7138593
Efficiency_Upgrade,100,25478918.061415773,2547891806.1415772,42464863.43569296,3397189074.8554363
Fuel_Switch,200,35670485.28598208,7134097057.196416,78135348.72167504,10531286132.051853
Electrification,250,6794378.149710879,1698594537.4277196,84929726.87138592,12229880669.479572
