Support_Tier,Company,Total_Annual_Investment_USD,Estimated_Government_Support_USD,Facilities_Affected,Emission_Reduction_Required_kt,Support_Efficiency_USD_per_tCO2
Tier 1 - Major Support Required,1,2478029682.9242516,1239014841.4621258,230,45385.11476319204,27300.026626064282
Tier 4 - Minimal Support,1,1388556.83784494,69427.841892247,7,164.06557630861388,423.1712919573724
