year,retired_capacity_kt,retired_emissions_mtco2,adjusted_retired_emissions_mtco2,facilities_retired,growth_factor
2025,763,0.5223343484181481,0.5223343484181481,2,1.0
2026,0,0.0,0.0,0,0.998
2027,0,0.0,0.0,0,0.996004
2028,0,0.0,0.0,0,0.994011992
2029,4607,7.906331013738438,7.843269864696769,6,0.992023968016
2030,960,0.30258132417479555,0.2995675900037055,2,0.990039920079968
2031,0,0.0,0.0,0,0.9880598402398081
2032,0,0.0,0.0,0,0.9860837205593285
2033,0,0.0,0.0,0,0.9841115531182097
2034,0,0.0,0.0,0,0.9821433300119734
2035,0,0.0,0.0,0,0.9801790433519494
2036,110,0.03467077672836199,0.03391560162834313,1,0.9782186852652455
2037,0,0.0,0.0,0,0.976262247894715
2038,0,0.0,0.0,0,0.9743097233989256
2039,1170,2.429764258624375,2.36260825685942,3,0.9723611039521277
2040,3830,1.2071734079056946,1.1714608506376878,6,0.9704163817442235
2041,11244,18.138282255277506,17.566482864747407,16,0.9684755489807351
2042,3732,5.3969172690184735,5.216328850086443,10,0.9665385978827735
2043,0,0.0,0.0,0,0.964605520687008
2044,0,0.0,0.0,0,0.962676309645634
2045,240,0.07564533104369889,0.07267632419480823,2,0.9607509570263427
2046,620,1.287567384912062,1.2345575340955885,1,0.95882945511229
2047,6738,3.955736686639707,3.7852910981148087,7,0.9569117962020655
2048,360,0.11346799656554832,0.10836170667617866,1,0.9549979726096613
2049,0,0.0,0.0,0,0.953087976664442
2050,190,0.39457710182788996,0.3753145582360246,1,0.9511818007111131
