facility_id,facility_name,company,region,process_type,capacity_t,age_years,operational_year,emissions_tco2,fuel_cost_usd,emission_intensity,cost_intensity,depreciation_factor,retirement_priority,remaining_life,stranded_asset_risk,replacement_benefit,fuel_breakdown
0,롯데케미칼_Naphtha Cracker_0,롯데케미칼,대산,Naphtha Cracker,1100000,34,1991,4713761.76191738,3039930060.777567,4.285237965379436,2763.572782525061,0.18,0.47500000000000003,0,0.75,707064264.287607,"{'Naphtha Feedstock': {'consumption': np.float64(148335000.0), 'emissions_tco2': np.float64(3068999.9999999995), 'cost_usd': np.float64(2670030000.0)}, 'Naphtha Thermal': {'consumption': np.float64(20350000.0), 'emissions_tco2': np.float64(1509759.4827586208), 'cost_usd': np.float64(366300000.0)}, 'Electricity': {'consumption': np.float64(30000506.479724187), 'emissions_tco2': np.float64(135002.27915875884), 'cost_usd': np.float64(3600060.7775669023)}}"
1,HD현대케미칼_Naphtha Cracker_1,HD현대케미칼,대산,Naphtha Cracker,850000,4,2021,3642452.2705725203,2349036865.1463017,4.2852379653794355,2763.572782525061,0.8666666666666667,0.125,26,0.39999999999999997,182122613.52862602,"{'Naphtha Feedstock': {'consumption': np.float64(114622500.0), 'emissions_tco2': np.float64(2371499.9999999995), 'cost_usd': np.float64(2063205000.0)}, 'Naphtha Thermal': {'consumption': np.float64(15725000.0), 'emissions_tco2': np.float64(1166632.327586207), 'cost_usd': np.float64(283050000.0)}, 'Electricity': {'consumption': np.float64(23182209.552514143), 'emissions_tco2': np.float64(104319.94298631363), 'cost_usd': np.float64(2781865.146301697)}}"
2,LG화학_Naphtha Cracker_2,LG화학,대산,Naphtha Cracker,1300000,34,1991,5570809.354993266,3592644617.282579,4.2852379653794355,2763.5727825250606,0.18,0.47500000000000003,0,0.75,835621403.2489899,"{'Naphtha Feedstock': {'consumption': np.float64(175305000.0), 'emissions_tco2': np.float64(3626999.9999999995), 'cost_usd': np.float64(3155490000.0)}, 'Naphtha Thermal': {'consumption': np.float64(24050000.0), 'emissions_tco2': np.float64(1784261.206896552), 'cost_usd': np.float64(432900000.0)}, 'Electricity': {'consumption': np.float64(35455144.02149222), 'emissions_tco2': np.float64(159548.14809671498), 'cost_usd': np.float64(4254617.282579066)}}"
3,한화토탈에너지스_Naphtha Cracker_3,한화토탈에너지스,대산,Naphtha Cracker,1525000,34,1991,6534987.897203639,4214448493.3507175,4.2852379653794355,2763.5727825250606,0.18,0.47500000000000003,0,0.75,980248184.5805459,"{'Naphtha Feedstock': {'consumption': np.float64(205646250.0), 'emissions_tco2': np.float64(4254749.999999999), 'cost_usd': np.float64(3701632500.0)}, 'Naphtha Thermal': {'consumption': np.float64(28212500.0), 'emissions_tco2': np.float64(2093075.6465517243), 'cost_usd': np.float64(507825000.0)}, 'Electricity': {'consumption': np.float64(41591611.25598126), 'emissions_tco2': np.float64(187162.25065191564), 'cost_usd': np.float64(4990993.350717751)}}"
4,롯데케미칼_Naphtha Cracker_4,롯데케미칼,여수,Naphtha Cracker,1230000,33,1992,5270842.697416706,3399194522.505825,4.2852379653794355,2763.572782525061,0.16000000000000003,0.4375,0,0.75,790626404.6125059,"{'Naphtha Feedstock': {'consumption': np.float64(165865500.0), 'emissions_tco2': np.float64(3431699.9999999995), 'cost_usd': np.float64(2985579000.0)}, 'Naphtha Thermal': {'consumption': np.float64(22755000.0), 'emissions_tco2': np.float64(1688185.603448276), 'cost_usd': np.float64(409590000.0)}, 'Electricity': {'consumption': np.float64(33546020.881873406), 'emissions_tco2': np.float64(150957.09396843033), 'cost_usd': np.float64(4025522.5058248085)}}"
5,LG화학_Naphtha Cracker_5,LG화학,여수,Naphtha Cracker,1030000,4,2021,4413795.104340819,2846479966.0008125,4.2852379653794355,2763.5727825250606,0.8666666666666667,0.125,26,0.39999999999999997,220689755.21704093,"{'Naphtha Feedstock': {'consumption': np.float64(138895500.0), 'emissions_tco2': np.float64(2873699.9999999995), 'cost_usd': np.float64(2500119000.0)}, 'Naphtha Thermal': {'consumption': np.float64(19055000.0), 'emissions_tco2': np.float64(1413683.879310345), 'cost_usd': np.float64(342990000.0)}, 'Electricity': {'consumption': np.float64(28091383.340105373), 'emissions_tco2': np.float64(126411.22503047418), 'cost_usd': np.float64(3370966.0008126446)}}"
6,여천NCC_Naphtha Cracker_6,여천NCC,여수,Naphtha Cracker,2285000,46,1979,9791768.75089201,6314763808.069764,4.2852379653794355,2763.572782525061,0.30000000000000004,0.82,0,0.75,1468765312.6338015,"{'Naphtha Feedstock': {'consumption': np.float64(308132250.0), 'emissions_tco2': np.float64(6375149.999999999), 'cost_usd': np.float64(5546380500.0)}, 'Naphtha Thermal': {'consumption': np.float64(42272500.0), 'emissions_tco2': np.float64(3136182.1982758623), 'cost_usd': np.float64(760905000.0)}, 'Electricity': {'consumption': np.float64(62319233.914699785), 'emissions_tco2': np.float64(280436.552616149), 'cost_usd': np.float64(7478308.069763974)}}"
7,GS칼텍스_Naphtha Cracker_7,GS칼텍스,여수,Naphtha Cracker,900000,4,2021,3856714.1688414924,2487215504.272555,4.285237965379436,2763.572782525061,0.8666666666666667,0.125,26,0.39999999999999997,192835708.44207463,"{'Naphtha Feedstock': {'consumption': np.float64(121365000.0), 'emissions_tco2': np.float64(2510999.9999999995), 'cost_usd': np.float64(2184570000.0)}, 'Naphtha Thermal': {'consumption': np.float64(16650000.0), 'emissions_tco2': np.float64(1235257.7586206899), 'cost_usd': np.float64(299700000.0)}, 'Electricity': {'consumption': np.float64(24545868.93795615), 'emissions_tco2': np.float64(110456.41022080267), 'cost_usd': np.float64(2945504.272554738)}}"
8,대한유화_Naphtha Cracker_8,대한유화,온산,Naphtha Cracker,900000,34,1991,3856714.1688414924,2487215504.272555,4.285237965379436,2763.572782525061,0.18,0.47500000000000003,0,0.75,578507125.3262239,"{'Naphtha Feedstock': {'consumption': np.float64(121365000.0), 'emissions_tco2': np.float64(2510999.9999999995), 'cost_usd': np.float64(2184570000.0)}, 'Naphtha Thermal': {'consumption': np.float64(16650000.0), 'emissions_tco2': np.float64(1235257.7586206899), 'cost_usd': np.float64(299700000.0)}, 'Electricity': {'consumption': np.float64(24545868.93795615), 'emissions_tco2': np.float64(110456.41022080267), 'cost_usd': np.float64(2945504.272554738)}}"
9,S-Oil_Naphtha Cracker_9,S-Oil,온산,Naphtha Cracker,182000,7,2018,779913.3096990573,502970246.4195611,4.2852379653794355,2763.572782525061,0.7666666666666666,0.21875,23,0.4375,38995665.48495286,"{'Naphtha Feedstock': {'consumption': np.float64(24542700.0), 'emissions_tco2': np.float64(507779.9999999999), 'cost_usd': np.float64(441768600.0)}, 'Naphtha Thermal': {'consumption': np.float64(3367000.0), 'emissions_tco2': np.float64(249796.56896551725), 'cost_usd': np.float64(60606000.0)}, 'Electricity': {'consumption': np.float64(4963720.163008911), 'emissions_tco2': np.float64(22336.740733540097), 'cost_usd': np.float64(595646.4195610692)}}"
