scenario,growth_scenario,growth_rate,facility_lifetime,baseline_2025_mtco2,final_2050_mtco2,reduction_percentage,total_facilities
positive_growth_30year,+0.2% Growth,0.002,30,25.406887427588888,13.762742707681102,45.83066207182709,87
positive_growth_40year,+0.2% Growth,0.002,40,52.689340726187005,20.35247168337674,61.37269625531411,87
positive_growth_50year,+0.2% Growth,0.002,50,60.89825306410024,20.66226749026149,66.0708370919724,87
zero_growth_30year,Zero Growth,0.0,30,25.406887427588888,13.092179546529971,48.46995884937324,87
zero_growth_40year,Zero Growth,0.0,40,52.689340726187005,19.36083665545261,63.25473731761817,87
zero_growth_50year,Zero Growth,0.0,50,60.89825306410024,19.655538257643684,67.72397028046984,87
negative_growth_30year,-0.2% Growth,-0.002,30,25.406887427588888,12.453042916301582,50.98556266762908,87
negative_growth_40year,-0.2% Growth,-0.002,40,52.689340726187005,18.415675473207134,65.04857487416919,87
negative_growth_50year,-0.2% Growth,-0.002,50,60.89825306410024,18.695990273851695,69.29962793157189,87
