facility_id,facility_name,company,region,process_type,age_years,retirement_priority,baseline_emissions,technology,abatement_tco2,cost_per_tco2,total_cost_usd,cumulative_abatement,cumulative_cost
86,SK지오센트릭_Naphtha Cracker_86,SK지오센트릭,울산,Naphtha Cracker,51,0.9199999999999999,685638.0744607097,Early_Retirement,617074.2670146388,50,30853713.35073194,617074.2670146388,30853713.35073194
36,금호석유화학_Naphtha Cracker_36,금호석유화학,울산,Naphtha Cracker,46,0.82,385671.4168841492,Early_Retirement,347104.2751957343,50,17355213.759786714,964178.5422103731,48208927.11051865
6,여천NCC_Naphtha Cracker_6,여천NCC,여수,Naphtha Cracker,46,0.82,9791768.75089201,Early_Retirement,8812591.87580281,50,440629593.79014045,9776770.418013182,488838520.9006591
18,여천NCC_Naphtha Cracker_18,여천NCC,여수,Naphtha Cracker,46,0.82,5523671.737374092,Early_Retirement,4971304.563636683,50,248565228.18183416,14748074.981649864,737403749.0824933
38,SK지오센트릭_Naphtha Cracker_38,SK지오센트릭,울산,Naphtha Cracker,36,0.55,557080.9354993267,Fuel_Switch,278540.46774966334,200,55708093.549932666,15026615.449399527,793111842.632426
10,SK지오센트릭_Naphtha Cracker_10,SK지오센트릭,울산,Naphtha Cracker,36,0.55,2828257.0571504273,Fuel_Switch,1414128.5285752136,200,282825705.7150427,16440743.97797474,1075937548.3474689
24,SK지오센트릭_Naphtha Cracker_24,SK지오센트릭,울산,Naphtha Cracker,36,0.55,1628390.4268441855,Fuel_Switch,814195.2134220927,200,162839042.68441856,17254939.191396832,1238776591.0318875
0,롯데케미칼_Naphtha Cracker_0,롯데케미칼,대산,Naphtha Cracker,34,0.47500000000000003,4713761.76191738,Fuel_Switch,2356880.88095869,200,471376176.19173795,19611820.072355524,1710152767.2236254
14,LG화학_Naphtha Cracker_14,LG화학,대산,Naphtha Cracker,34,0.47500000000000003,2913961.816458016,Fuel_Switch,1456980.908229008,200,291396181.6458016,21068800.980584532,2001548948.869427
34,LG화학_Naphtha Cracker_34,LG화학,여수,Naphtha Cracker,34,0.47500000000000003,1311282.8174061074,Fuel_Switch,655641.4087030537,200,131128281.74061075,21724442.389287587,2132677230.6100378
30,한화토탈에너지스_Naphtha Cracker_30,한화토탈에너지스,대산,Naphtha Cracker,34,0.47500000000000003,642785.6948069154,Fuel_Switch,321392.8474034577,200,64278569.48069154,22045835.236691047,2196955800.090729
29,LG화학_Naphtha Cracker_29,LG화학,대산,Naphtha Cracker,34,0.47500000000000003,857047.5930758871,Fuel_Switch,428523.79653794353,200,85704759.30758871,22474359.03322899,2282660559.398318
26,효성화학_Naphtha Cracker_26,효성화학,울산,Naphtha Cracker,34,0.47500000000000003,2142618.982689718,Fuel_Switch,1071309.491344859,200,214261898.26897177,23545668.524573848,2496922457.6672897
15,한화토탈에너지스_Naphtha Cracker_15,한화토탈에너지스,대산,Naphtha Cracker,34,0.47500000000000003,4559493.195163719,Fuel_Switch,2279746.5975818597,200,455949319.51637197,25825415.122155707,2952871777.1836615
20,대한유화_Naphtha Cracker_20,대한유화,온산,Naphtha Cracker,34,0.47500000000000003,2399733.260612484,Fuel_Switch,1199866.630306242,200,239973326.06124842,27025281.752461948,3192845103.24491
2,LG화학_Naphtha Cracker_2,LG화학,대산,Naphtha Cracker,34,0.47500000000000003,5570809.354993266,Fuel_Switch,2785404.677496633,200,557080935.4993266,29810686.429958582,3749926038.7442365
3,한화토탈에너지스_Naphtha Cracker_3,한화토탈에너지스,대산,Naphtha Cracker,34,0.47500000000000003,6534987.897203639,Fuel_Switch,3267493.9486018196,200,653498789.7203639,33078180.3785604,4403424828.464601
8,대한유화_Naphtha Cracker_8,대한유화,온산,Naphtha Cracker,34,0.47500000000000003,3856714.1688414924,Fuel_Switch,1928357.0844207462,200,385671416.88414925,35006537.46298115,4789096245.34875
31,금호석유화학_Naphtha Cracker_31,금호석유화학,여수,Naphtha Cracker,33,0.4375,629929.980910777,Fuel_Switch,314964.9904553885,200,62992998.0910777,35321502.45343654,4852089243.439828
4,롯데케미칼_Naphtha Cracker_4,롯데케미칼,여수,Naphtha Cracker,33,0.4375,5270842.697416706,Fuel_Switch,2635421.348708353,200,527084269.7416706,37956923.80214489,5379173513.181499
35,여천NCC_Naphtha Cracker_35,여천NCC,여수,Naphtha Cracker,33,0.4375,1619819.9509134265,Fuel_Switch,809909.9754567132,200,161981995.09134266,38766833.77760161,5541155508.272841
16,롯데케미칼_Naphtha Cracker_16,롯데케미칼,여수,Naphtha Cracker,33,0.4375,2746837.535808218,Fuel_Switch,1373418.767904109,200,274683753.5808218,40140252.54550572,5815839261.853663
87,카프로_Naphtha Cracker_87,카프로,울산,Naphtha Cracker,25,0.4,814195.2134220927,Fuel_Switch,407097.60671104636,200,81419521.34220928,40547350.15221676,5897258783.195872
25,태광산업_Naphtha Cracker_25,태광산업,울산,Naphtha Cracker,28,0.4,1285571.3896138307,Fuel_Switch,642785.6948069154,200,128557138.96138307,41190135.84702368,6025815922.157255
27,롯데케미칼_Naphtha Cracker_27,롯데케미칼,대산,Naphtha Cracker,28,0.4,814195.2134220927,Fuel_Switch,407097.60671104636,200,81419521.34220928,41597233.453734726,6107235443.499464
11,롯데케미칼_Naphtha Cracker_11,롯데케미칼,대산,Naphtha Cracker,28,0.4,2356880.88095869,Fuel_Switch,1178440.440479345,200,235688088.09586897,42775673.89421407,6342923531.595333
33,롯데케미칼_Naphtha Cracker_33,롯데케미칼,여수,Naphtha Cracker,14,0.4,685638.0744607097,Efficiency_Upgrade,137127.61489214195,100,13712761.489214195,42912801.50910621,6356636293.084547
23,SK에너지_Naphtha Cracker_23,SK에너지,울산,Naphtha Cracker,29,0.4,2656847.53853525,Fuel_Switch,1328423.769267625,200,265684753.85352498,44241225.27837384,6622321046.938072
12,HD현대오일뱅크_Naphtha Cracker_12,HD현대오일뱅크,대산,Naphtha Cracker,14,0.4,1799799.9454593628,Efficiency_Upgrade,359959.9890918726,100,35995998.90918726,44601185.26746571,6658317045.8472595
22,SK어드밴스드_Naphtha Cracker_22,SK어드밴스드,울산,Naphtha Cracker,9,0.28125,2571142.7792276614,Efficiency_Upgrade,514228.55584553233,100,51422855.584553234,45115413.82331124,6709739901.431812
9,S-Oil_Naphtha Cracker_9,S-Oil,온산,Naphtha Cracker,7,0.21875,779913.3096990573,Efficiency_Upgrade,155982.66193981146,100,15598266.193981146,45271396.485251054,6725338167.625793
21,S-Oil_Naphtha Cracker_21,S-Oil,온산,Naphtha Cracker,7,0.21875,3599599.8909187256,Efficiency_Upgrade,719919.9781837452,100,71991997.81837451,45991316.4634348,6797330165.444168
5,LG화학_Naphtha Cracker_5,LG화학,여수,Naphtha Cracker,4,0.125,4413795.104340819,Efficiency_Upgrade,882759.0208681638,100,88275902.08681639,46874075.48430297,6885606067.530985
13,HD현대케미칼_Naphtha Cracker_13,HD현대케미칼,대산,Naphtha Cracker,4,0.125,1932642.3223861256,Efficiency_Upgrade,386528.46447722515,100,38652846.44772252,47260603.948780194,6924258913.978707
7,GS칼텍스_Naphtha Cracker_7,GS칼텍스,여수,Naphtha Cracker,4,0.125,3856714.1688414924,Efficiency_Upgrade,771342.8337682985,100,77134283.37682985,48031946.782548495,7001393197.355537
1,HD현대케미칼_Naphtha Cracker_1,HD현대케미칼,대산,Naphtha Cracker,4,0.125,3642452.2705725203,Efficiency_Upgrade,728490.4541145042,100,72849045.41145042,48760437.236663,7074242242.766988
19,GS칼텍스_Naphtha Cracker_19,GS칼텍스,여수,Naphtha Cracker,4,0.125,4156680.8264180524,Efficiency_Upgrade,831336.1652836106,100,83133616.52836105,49591773.40194661,7157375859.295349
