,capex_component,opex_component,fuel_component,carbon_component,total_cost_per_mwh,energy_price_used
ELECTRICITY,0.45662100456621,5.0,115.78947368421053,0.0,121.24609468877675,110.0
GREEN_HYDROGEN,10.95890410958904,15.0,92.3076923076923,0.0,118.26659641728135,60.0
BLUE_HYDROGEN,7.30593607305936,25.0,60.0,7.5,99.80593607305936,45.0
WASTE_HEAT_RECOVERY,3.65296803652968,8.0,50.0,15.0,76.65296803652967,40.0
PROCESS_ELECTRIFICATION,8.219178082191782,12.0,129.41176470588235,0.0,149.63094278807412,110.0
