facility_id,company,location,product,process,total_emissions_kt,tech_heat_pump_pct,tech_ncc_h2_pct,tech_ncc_elec_pct,tech_re_ppa_pct,abatement_mt,emissions_2050_kt
73,Daehan Oil Chemical,Onsan,Xylene,BTX Plant,64.6066004866346,35.27227352834411,0.0,0.0,61.572492193238915,0.032869610591685666,31.73698989494894
74,S-Oil,Onsan,Xylene,BTX Plant,618.5738344465015,35.27227352834411,0.0,0.0,61.572492193238915,0.3147090375799692,303.86479686653223
75,SK Geocentric,Ulsan,Xylene,BTX Plant,1228.9000177670496,35.27227352834411,0.0,0.0,61.57249219323893,0.6252219546588722,603.6780631081774
76,Lotte Chemical,Ulsan,O-X,BTX Plant,0.883214007076422,0.0,0.0,0.0,61.572492193238915,0.0005438168755567225,0.3393971315196994
77,SK Geocentric,Ulsan,O-X,BTX Plant,0.8411561972156401,0.0,0.0,0.0,61.572492193238915,0.0005179208338635453,0.3232353633520947
78,Lotte Chemical,Ulsan,M-X,BTX Plant,1.514081154988152,0.0,0.0,0.0,61.572492193238915,0.0009322575009543815,0.5818236540337706
79,HDHyundai Oilbank,Daesan,P-X,BTX Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Hanwha TotalEnergies,Daesan,P-X,BTX Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,GS Caltex,Yeosu,P-X,BTX Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,S-Oil,Onsan,P-X,BTX Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Lotte Chemical,Ulsan,P-X,BTX Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,SK Geocentric,Ulsan,P-X,BTX Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Ulsan Aromatics,Ulsan,P-X,BTX Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,SK Incheon Petrochemical,Incheon,P-X,BTX Plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,SK Geocentric,Ulsan,C-H,Naphtha Cracker,163.7076938273852,35.27227352834411,0.0,0.0,61.572492193238915,0.057896056893941596,105.81163693344362
88,Caprolactam,Ulsan,C-H,Naphtha Cracker,194.4028864200199,35.27227352834411,0.0,0.0,61.572492193238915,0.06875156756155565,125.65131885846426
89,Lotte Chemical,Daesan,SM,Utility,1.8155067848766648,0.0,0.0,0.0,61.572492193238915,0.0011178527733859073,0.6976540114907575
90,LG Chem,Daesan,SM,Utility,2.9929926139252445,0.0,0.0,0.0,61.572492193238915,0.0018428601435533387,1.1501324703719058
91,Hanwha TotalEnergies,Daesan,SM,Utility,5.555450761722595,0.0,0.0,0.0,61.57249219323893,0.0034206294865608768,2.134821275161718
92,Yeochon NCC,Yeosu,SM,Utility,1.8206939471191697,0.0,0.0,0.0,61.57249219323893,0.0011210466384527244,0.6996473086664452
93,SKpicglobal,Ulsan,SM,Utility,2.074864897001903,0.0,0.0,0.0,61.57249219323893,0.0012775460267267515,0.7973188702751512
94,LG Chem,Yeosu,EDC,Utility,4.201601416428852,0.0,0.0,0.0,61.572492193238915,0.002587030704121671,1.6145707123071817
95,Hanwha Solutions,Yeosu,EDC,Utility,8.226839316612544,0.0,0.0,0.0,61.572492193238915,0.005065469995971569,3.1613693206409756
96,Hanwha Solutions,Ulsan,EDC,Utility,1.9970574633643312,0.0,0.0,0.0,61.572492193238915,0.001229638050724498,0.767419412639833
97,LG Chem,Daesan,VCM,Utility,1.193047315776094,0.0,0.0,0.0,61.5724921932389,0.0007345889653678818,0.45845835040821215
98,LG Chem,Yeosu,VCM,Utility,3.7347568146034247,0.0,0.0,0.0,61.572492193238915,0.002299582848108152,1.4351739664952725
99,Hanwha Solutions,Yeosu,VCM,Utility,3.024115587380273,0.0,0.0,0.0,61.572492193238915,0.0018620233339542397,1.1620922534260334
100,Hanwha Solutions,Ulsan,VCM,Utility,1.3694108320212557,0.0,0.0,0.0,61.572492193238915,0.0008431803776396557,0.5262304543816
101,Lotte Chemical,Yeosu,PC,Utility,1.7410274281018028,0.0,0.0,0.0,61.572492193238915,0.0010719939772501307,0.6690334508516722
102,LG Chem,Yeosu,PC,Utility,0.6166138807860552,0.0,0.0,0.0,61.572492193238915,0.00037966453360942134,0.23694934717663385
103,Samyang Chemical,Jeonju,PC,Utility,0.4352568570254507,0.0,0.0,0.0,61.572492193238915,0.00026799849431253267,0.16725836271291805
104,HD Hyundai Chemical,Daesan,LDPE,Utility,2.5653705060966145,0.0,0.0,0.0,61.57249219323893,0.0015795625545939919,0.9858079515026226
105,LG Chem,Daesan,LDPE,Utility,2.3943458056901736,0.0,0.0,0.0,61.572492193238915,0.0014742583842877258,0.9200874214024479
106,Hanwha TotalEnergies,Daesan,LDPE,Utility,3.719787233840091,0.0,0.0,0.0,61.572492193238915,0.002290365704161288,1.429421529678803
107,LG Chem,Yeosu,LDPE,Utility,1.5392223036579689,0.0,0.0,0.0,61.572492193238915,0.000947737532756395,0.5914847709015738
108,Hanwha Solutions,Yeosu,LDPE,Utility,2.88176620184853,0.0,0.0,0.0,61.572492193238915,0.0017743752696605837,1.1073909321879465
109,Lotte Chemical,Ulsan,LDPE,Utility,1.0261482024386457,0.0,0.0,0.0,61.572492193238915,0.0006318250218375965,0.3943231806010491
110,Lotte Chemical,Daesan,LDPE,Utility,4.275617510161024,0.0,0.0,0.0,61.57249219323893,0.002632604257656653,1.643013252504371
111,LG Chem,Daesan,L-LDPE,Utility,0.9866809638833136,0.0,0.0,0.0,61.5724921932389,0.0006075240594592277,0.3791569044240859
112,Hanwha TotalEnergies,Daesan,L-LDPE,Utility,4.1835272868652496,0.0,0.0,0.0,61.572492193238915,0.0025759020121071258,1.607625274758124
113,DL Chemical,Yeosu,L-LDPE,Utility,0.078934477110665,0.0,0.0,0.0,61.572492193238915,4.860192475673816e-05,0.03033255235392683
114,Lotte Chemical,Yeosu,L-LDPE,Utility,4.736068626639905,0.0,0.0,0.0,61.572492193238915,0.0029161154854042927,1.819953141235612
115,LG Chem,Yeosu,L-LDPE,Utility,3.3547152772032662,0.0,0.0,0.0,61.57249219323893,0.0020655818021613746,1.2891334750418917
116,Hanwha Solutions,Yeosu,L-LDPE,Utility,2.273312940787154,0.0,0.0,0.0,61.57249219323893,0.0013997354329940608,0.8735775077930934
117,SSNC,Ulsan,L-LDPE,Utility,1.4208205879919715,0.0,0.0,0.0,61.572492193238915,0.0008748346456212879,0.5459859423706837
118,SK Geocentric,Ulsan,L-LDPE,Utility,4.34139624108658,0.0,0.0,0.0,61.572492193238915,0.002673105861620602,1.6682903794659776
119,HD Hyundai Chemical,Daesan,HDPE,Utility,3.933568109348145,0.0,0.0,0.0,61.57249219323893,0.0024219959170441226,1.5115721923040222
120,Hanwha TotalEnergies,Daesan,HDPE,Utility,1.2313778429263755,0.0,0.0,0.0,61.57249219323893,0.0007581900262051164,0.4731878167212592
121,DL Chemical,Yeosu,HDPE,Utility,4.309822450242315,0.0,0.0,0.0,61.572492193238915,0.0026536650917179075,1.6561573585244074
122,Lotte Chemical,Yeosu,HDPE,Utility,2.462755685852751,0.0,0.0,0.0,61.57249219323893,0.0015163800524102327,0.9463756334425184
123,LG Chem,Yeosu,HDPE,Utility,3.4204940081288213,0.0,0.0,0.0,61.572492193238915,0.0021060834061253234,1.3144106020034978
124,GS Caltex,Yeosu,HDPE,Utility,4.446642210567468,0.0,0.0,0.0,61.572492193238915,0.0027379084279629206,1.7087337826045474
125,Daehan Oil Chemical,Onsan,HDPE,Utility,1.436607483414105,0.0,0.0,0.0,61.572492193238915,0.0008845550305726358,0.5520524528414692
126,SK Geocentric,Ulsan,HDPE,Utility,3.3520841279662448,0.0,0.0,0.0,61.572492193238915,0.002063961738002817,1.2881223899634278
127,Lotte Chemical,Daesan,PP,Utility,3.206713132620769,0.0,0.0,0.0,61.572492193238915,0.0019744531932424903,1.232259939378279
128,HD Hyundai Chemical,Daesan,PP,Utility,2.4371019807917844,0.0,0.0,0.0,61.57249219323893,0.0015005844268642925,0.9365175539274919
129,LG Chem,Daesan,PP,Utility,7.1637971382747985,0.0,0.0,0.0,61.572492193238915,0.004410928433703723,2.7528687045710756
130,Hanwha TotalEnergies,Daesan,PP,Utility,3.848055759144923,0.0,0.0,0.0,61.572492193238915,0.0023693438318909883,1.4787119272539346
131,Lotte Chemical,Yeosu,PP,Utility,1.154416727743477,0.0,0.0,0.0,61.572492193238915,0.0007108031495672965,0.4436135781761804
132,GS Caltex,Yeosu,PP,Utility,4.681801173626323,0.0,0.0,0.0,61.5724921932389,0.0028827016621340356,1.7990995114922876
133,Poly Mirae,Yeosu,PP,Utility,2.5974376374228227,0.0,0.0,0.0,61.572492193238915,0.0015993070865264168,0.998130550896406
134,S-Oil,Onsan,PP,Utility,3.5273844458828463,0.0,0.0,0.0,61.572492193238915,0.0021718985125667393,1.355485933316107
135,Daehan Oil Chemical,Onsan,PP,Utility,2.7706001465843446,0.0,0.0,0.0,61.572492193238915,0.0017059275589615117,1.064672587622833
136,SK Geocentric,Ulsan,PP,Utility,2.565370506096615,0.0,0.0,0.0,61.572492193238915,0.001579562554593992,0.9858079515026228
137,Ulsan PP,Ulsan,PP,Utility,3.848055759144923,0.0,0.0,0.0,61.572492193238915,0.0023693438318909883,1.4787119272539346
138,Hyosung Chemical,Ulsan,PP,Utility,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,LG Chem,Yeosu,PS,Utility,0.4104592809754583,0.0,0.0,0.0,61.572492193238915,0.0002527300087350386,0.15772927224041966
140,Kumho Petrochemical,Ulsan,PS,Utility,2.7192927364624113,0.0,0.0,0.0,61.572492193238915,0.001674336307869631,1.0449564285927804
141,HDC Hyundai EP,Ulsan,PS,Utility,1.518699339609196,0.0,0.0,0.0,61.57249219323893,0.0009351010323196432,0.5835983072895528
142,Korea INEOS Styrolution,Ulsan,PS,Utility,2.7295542184867982,0.0,0.0,0.0,61.572492193238915,0.0016806545580880074,1.0488996603987908
143,SH Energy Chemical,Gunsan,EPS,Utility,0.5130741012193226,0.0,0.0,0.0,61.5724921932389,0.0003159125109187981,0.1971615903005245
144,Lotte Chemical,Yeosu,EPS,Utility,0.4617666910973903,0.0,0.0,0.0,61.572492193238915,0.0002843212598269183,0.17744543127047202
145,LG Chem,Yeosu,EPS,Utility,0.4617666910973903,0.0,0.0,0.0,61.572492193238915,0.0002843212598269183,0.17744543127047202
146,Kumho Petrochemical,Ulsan,EPS,Utility,0.4104592809754581,0.0,0.0,0.0,61.572492193238915,0.0002527300087350385,0.15772927224041955
147,HDC Hyundai EP,Ulsan,EPS,Utility,0.4104592809754581,0.0,0.0,0.0,61.572492193238915,0.0002527300087350385,0.15772927224041955
148,BASF Korea,Ulsan,EPS,Utility,0.4361129860364242,0.0,0.0,0.0,61.57249219323893,0.0002685256342809784,0.16758735175544576
149,Lotte Chemical,Yeosu,ABS,Utility,3.883970946230272,0.0,0.0,0.0,61.572492193238915,0.002391457707655302,1.4925132385749702
150,LG Chem,Yeosu,ABS,Utility,5.284663242559023,0.0,0.0,0.0,61.572492193238915,0.0032538988624636208,2.030764380095402
151,Kumho Petrochemical,Ulsan,ABS,Utility,1.4879148935360356,0.0,0.0,0.0,61.572492193238915,0.0009161462816645147,0.5717686118715208
152,Korea INEOS Styrolution,Ulsan,ABS,Utility,1.4160845193653304,0.0,0.0,0.0,61.572492193238915,0.000871918530135883,0.5441659892294475
153,LG Chem,Daesan,PVC,Utility,1.2449189382011416,0.0,0.0,0.0,61.572492193238915,0.0007665276160360507,0.47839132216509095
154,LG Chem,Yeosu,PVC,Utility,2.3342230091271405,0.0,0.0,0.0,61.5724921932389,0.001437239280067595,0.8969837290595455
155,Hanwha Solutions,Yeosu,PVC,Utility,2.4898378764022833,0.0,0.0,0.0,61.572492193238915,0.0015330552320721013,0.9567826443301819
156,Hanwha Solutions,Ulsan,PVC,Utility,1.7117635400265696,0.0,0.0,0.0,61.57249219323893,0.0010539754720495698,0.6577880679769998
157,Hanwha Impact,Daesan,TPA,Utility,2.5389983326484624,0.0,0.0,0.0,61.572492193238915,0.0015633245501564406,0.9756737824920219
158,Samnam Petrochemical,Yeosu,TPA,Utility,5.440710712818134,0.0,0.0,0.0,61.572492193238915,0.0033499811789066583,2.090729533911475
159,Lotte Chemical,Ulsan,TPA,Utility,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Hanwha Impact,Ulsan,TPA,Utility,4.715282617775716,0.0,0.0,0.0,61.572492193238915,0.0029033170217191047,1.8119655960566114
161,Taekwang Industrial,Ulsan,TPA,Utility,3.6271404752120895,0.0,0.0,0.0,61.572492193238915,0.0022333207859377728,1.3938196892743169
162,Hyosung Chemical,Ulsan,TPA,Utility,1.523398999589077,0.0,0.0,0.0,61.572492193238915,0.0009379947300938642,0.5854042694952128
163,Lotte Chemical,Ulsan,PIA,Utility,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,Caprolactam,Ulsan,CPLM,Utility,0.979327928307264,0.0,0.0,0.0,61.572492193238915,0.0006029966122031986,0.37633131610406545
165,SK Chemical,Ulsan,DMT,Utility,0.5803424760339342,0.0,0.0,0.0,61.572492193238915,0.0003573313257500435,0.22301115028389068
166,Lotte Chemical,Daesan,EG,Utility,2.6478125469048246,0.0,0.0,0.0,61.5724921932389,0.0016303241737345734,1.017488373170251
167,LG Chem,Daesan,EG,Utility,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Hanwha TotalEnergies,Daesan,EG,Utility,0.7907166235962354,0.0,0.0,0.0,61.572492193238915,0.0004868639313344344,0.303852692261801
169,Lotte Chemical,Yeosu,EG,Utility,1.4508561900848358,0.0,0.0,0.0,61.572492193238915,0.0008933283143751092,0.5575278757097266
170,Daehan Oil Chemical,Ulsan,EG,Utility,0.7254280950424179,0.0,0.0,0.0,61.572492193238915,0.0004466641571875546,0.2787639378548633
171,Dongseo Petrochemical,Ulsan,AN,Utility,3.122671669987864,0.0,0.0,0.0,61.572492193238915,0.0019227067702237608,1.199964899764103
172,Taekwang Industrial,Ulsan,AN,Utility,1.5042770503263796,0.0,0.0,0.0,61.572492193238915,0.0009262208693768946,0.578056180949485
173,LG Chem,Daesan,SBR,Utility,0.2901712380169671,0.0,0.0,0.0,61.572492193238915,0.00017866566287502174,0.11150557514194534
174,Kumho Petrochemical,Ulsan,SBR,Utility,0.6637667069638123,0.0,0.0,0.0,61.572492193238915,0.00040869770382661236,0.2550690031372
175,LG Chem,Daesan,S-SBR,Utility,0.2901712380169671,0.0,0.0,0.0,61.572492193238915,0.00017866566287502174,0.11150557514194534
176,Kumho Petrochemical,Yeosu,S-SBR,Utility,0.446138278451087,0.0,0.0,0.0,61.572492193238915,0.00027469845667034605,0.17143982178074096
177,Lotte Versalis Elastomers,Yeosu,S-SBR,Utility,0.3627140475212089,0.0,0.0,0.0,61.572492193238915,0.00022333207859377723,0.13938196892743165
178,LG Chem,Daesan,SB-Latex,Utility,0.0725428095042417,0.0,0.0,0.0,61.57249219323893,4.46664157187554e-05,0.0278763937854863
179,Kumho Petrochemical,Ulsan,SB-Latex,Utility,0.3083069403930276,0.0,0.0,0.0,61.572492193238915,0.00018983226680471067,0.11847467358831693
