Product,Facilities,Capacity (kt),Naphtha (GJ/t),LNG (GJ/t),Fuel Gas (GJ/t),Byp Gas (GJ/t),Elec (kWh/t),Total Energy (GJ/t),Energy Use (PJ/yr),Emissions (Mt/yr),Em. Intensity (tCO2/t)
CPLM,1,270,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0007834623426458113,0.000979327928307264,0.0036271404752120893
SBR,2,263,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0007631503559846236,0.0009539379449807795,0.003627140475212089
Petroleum Resin,4,223,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0006470818607778367,0.0008088523259722958,0.003627140475212089
SB-Latex,4,208,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0006035561750752916,0.0007544452188441146,0.003627140475212089
Alkylbenzene,1,180,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0005223082284305408,0.0006528852855381761,0.003627140475212089
DMT,1,160,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0004642739808271474,0.0005803424760339341,0.0036271404752120885
NBR,2,157,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.00045556884368663835,0.000569461054608298,0.003627140475212089
Ethyl Acetate,1,123,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.00035691062276086956,0.00044613827845108695,0.003627140475212089
MA,4,76,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.000220530140892895,0.0002756626761161188,0.0036271404752120893
Ethanol,1,70,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.00020311986661187696,0.0002538998332648462,0.003627140475212089
Butanol,2,67,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.00019441472947136798,0.00024301841183920996,0.003627140475212089
P-X,8,10790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIA,1,0,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0,0.0,0.0
