Product,Facilities,Capacity (kt),Naphtha (GJ/t),LNG (GJ/t),Fuel Gas (GJ/t),Byp Gas (GJ/t),Elec (kWh/t),Total Energy (GJ/t),Energy Use (PJ/yr),Emissions (Mt/yr),Em. Intensity (tCO2/t)
Ethylene,11,11962,29.0,4.4922305297786895,5.615288162223364,1.1230576324446724,21.813940359753925,40.30910650974184,482.1775320695319,26.994023840221175,2.25664803880799
Propylene,16,11165,25.394594594594576,3.9341049185031576,5.16351270553539,1.229407787032236,48.84474765471761,35.89746109722234,400.7951531504874,23.82699076727677,2.1340788864555997
Butadiene,12,2190,29.0,4.165522854885694,5.322612536798388,1.157089681912694,102.15894934320026,40.012997291232296,87.62846406779873,5.665249758347726,2.5868720357752175
Xylene,10,3494,0.0,3.810897284800313,4.763621606000386,0.9527243212000777,194.86785235495663,10.228767480478622,35.7393135767923,4.802882172346836,1.3746085209922254
Benzene,16,7772,0.0,2.540598189866875,3.1757477373335923,0.6351495474667186,9.346179969062668,6.385141722555811,49.62532146770376,2.9056394028308805,0.3738599334573958
Toluene,10,2928,0.0,3.3874642531558323,4.2343303164447885,0.8468660632889579,6.853865310645958,8.493334548007905,24.868483556567146,1.3856620198542509,0.47324522536005836
C-H,2,350,18.8108108108108,0.0,0.0,0.0,0.8060312167137976,18.81371252319097,6.584799383116839,0.3581105802474051,1.0231730864211575
PP,12,5894,0.0,0.0,0.0,0.0,1.4252058367203417,0.00513074101219323,0.0302405875258669,0.03780073440733362,0.006413426265241538
HDPE,8,3595,0.0,0.0,0.0,0.0,1.5202195591683652,0.0054727904130061145,0.01967468153475698,0.024593351918446228,0.006840988016257643
L-LDPE,8,2708,0.0,0.0,0.0,0.0,1.7540994913481132,0.006314758168853208,0.01710036512125449,0.02137545640156811,0.007893447711066509
LDPE,7,2152,0.0,0.0,0.0,0.0,1.9002744489604555,0.0068409880162576394,0.01472180621098644,0.018402257763733047,0.008551235020322049
TPA,6,4920,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.014276424910434782,0.017845531138043477,0.003627140475212089
EDC,3,2781,0.0,0.0,0.0,0.0,1.1527027205566127,0.004149729794003806,0.011540398557124585,0.01442549819640573,0.005187162242504757
SM,5,2749,0.0,0.0,0.0,0.0,1.1527027205566127,0.004149729794003806,0.011407607203716462,0.014259509004645577,0.005187162242504757
ABS,4,2353,0.0,0.0,0.0,0.0,1.1401646693762726,0.004104592809754581,0.009658106881352529,0.01207263360169066,0.005130741012193226
VCM,4,1797,0.0,0.0,0.0,0.0,1.1527027205566127,0.004149729794003806,0.007457064439824839,0.009321330549781048,0.005187162242504757
PVC,4,1500,0.0,0.0,0.0,0.0,1.1527027205566127,0.004149729794003806,0.006224594691005708,0.007780743363757136,0.005187162242504757
PS,4,719,0.0,0.0,0.0,0.0,2.2803293387525465,0.008209185619509167,0.0059024044604270905,0.0073780055755338645,0.010261482024386459
EG,5,1548,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.004491850764502651,0.0056148134556283135,0.003627140475212089
Phenol,3,1390,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.004033380208435843,0.005041725260544804,0.0036271404752120893
AN,2,892,0.0,0.0,0.0,0.0,1.1527027205566127,0.004149729794003806,0.0037015589762513946,0.004626948720314244,0.005187162242504757
NB-Latex,3,1179,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0034211188962200425,0.004276398620275053,0.003627140475212089
BPA,4,1125,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0032644264276908805,0.0040805330346136,0.003627140475212089
Epoxy Resin,4,920,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0026695753897560976,0.0033369692371951216,0.003627140475212089
MDI,3,890,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.002582524018351007,0.003228155022938759,0.003627140475212089
Acetone,3,855,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.002480964085045069,0.003101205106306336,0.003627140475212089
PPG,4,789,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0022894510679538705,0.0028618138349423383,0.003627140475212089
PC,3,770,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.002234318532730647,0.0027928981659133085,0.003627140475212089
EPS,6,525,0.0,0.0,0.0,0.0,1.1401646693762724,0.00410459280975458,0.0021549112251211546,0.0026936390314014434,0.005130741012193225
Acetic Acid,1,710,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.002060215789920467,0.002575269737400583,0.0036271404752120893
Carbon Black(CB),5,689,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0019992798299369036,0.0024990997874211295,0.003627140475212089
MMA,4,497,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0014421510529443267,0.0018026888161804082,0.003627140475212089
BR,2,495,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0014363476281839874,0.001795434535229984,0.003627140475212089
O-X,2,410,0.0,0.0,0.0,0.0,0.9346179969062668,0.0033646247888625604,0.0013794961634336499,0.001724370204292062,0.0042057809860782
PMMA,3,330,0.0,0.0,0.0,0.0,1.1401646693762726,0.004104592809754581,0.0013545156272190117,0.0016931445340237646,0.005130741012193226
Vinyl Acetate,1,460,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0013347876948780488,0.0016684846185975608,0.003627140475212089
M-X,1,360,0.0,0.0,0.0,0.0,0.9346179969062668,0.0033646247888625604,0.0012112649239905218,0.001514081154988152,0.0042057809860782
EPDM,2,406,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0011780952263488863,0.0014726190329361081,0.003627140475212089
TDI,3,360,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0010446164568610817,0.0013057705710763522,0.003627140475212089
S-SBR,3,303,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0008792188511914104,0.001099023563989263,0.003627140475212089
Octanol,3,277,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0008037743293069989,0.0010047179116337485,0.003627140475212089
PA,4,270,0.0,0.0,0.0,0.0,0.8060312167137976,0.0029017123801696712,0.0007834623426458113,0.000979327928307264,0.0036271404752120893
