scenario,technology,scenario_id,n_facilities,n_ncc_facilities,total_capacity_kt,ncc_capacity_kt,bau_2050_mt,net_2050_mt,capex_billion_usd,ncc_h2_mt,ncc_elec_mt,heat_pump_mt,re_ppa_mt,electricity_twh,h2_kt,n_facilities_allocated
Shaheen (성장),NCC-H2,shaheen_ncc_h2,262,43,108712,29593,27.8939278933772,0.0,15.080834092724714,17.200942240614012,0.0,1.6686314621744962,7.550755109586746,0.0077591362991114,1179.230869635785,262
Shaheen (성장),NCC-Electricity,shaheen_ncc_electricity,262,43,108712,29593,27.8939278933772,0.0,14.445805681548741,0.0,20.059864668065632,0.2833081157248216,7.550755109586746,106.31860012348596,0.0,262
구조조정 25%,NCC-H2,restructure_25pct_ncc_h2,246,30,97029,19090,18.642133163911527,0.0,12.02158707903516,15.110401471050508,0.0,0.0,2.247838509673457,0.0,1049.0310689199548,246
구조조정 25%,NCC-Electricity,restructure_25pct_ncc_electricity,246,30,97029,19090,18.642133163911527,0.0,11.006751376309955,0.0,16.16854378346028,0.0,2.247838509673457,85.69328205233947,0.0,246
구조조정 40%,NCC-H2,restructure_40pct_ncc_h2,238,22,93971,16032,16.224780337640183,0.0,10.289038966028368,13.057093868119892,0.0,0.0,1.8837932863327271,0.0,895.0993537410401,238
구조조정 40%,NCC-Electricity,restructure_40pct_ncc_electricity,238,22,93971,16032,16.224780337640183,0.0,9.376713198706316,0.0,13.751190957188932,0.0,1.8837932863327271,72.88131207310133,0.0,238
