product,process,company,location,capacity_kt,year_built
Ethylene,Naphtha Cracker,Lotte Chemical,Daesan,1100,1991
Ethylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,850,2021
Ethylene,Naphtha Cracker,LG Chem,Daesan,1300,1991
Ethylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,1525,1991
Ethylene,Naphtha Cracker,Lotte Chemical,Yeosu,1230,1992
Ethylene,Naphtha Cracker,LG Chem,Yeosu,1030,2021
Ethylene,Naphtha Cracker,Yeochon NCC,Yeosu,2285,1979
Ethylene,Naphtha Cracker,GS Caltex,Yeosu,900,2021
Ethylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,900,1991
Ethylene,Naphtha Cracker,S-Oil,Onsan,182,2018
Ethylene,Naphtha Cracker,SK Geocentric,Ulsan,660,1989
Propylene,Naphtha Cracker,Lotte Chemical,Daesan,550,1997
Propylene,Naphtha Cracker,HDHyundai Oilbank,Daesan,420,2011
Propylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,451,2021
Propylene,Naphtha Cracker,LG Chem,Daesan,680,1991
Propylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,1064,1991
Propylene,Naphtha Cracker,Lotte Chemical,Yeosu,641,1992
Propylene,Naphtha Cracker,LG Chem,Yeosu,1300,2021
Propylene,Naphtha Cracker,Yeochon NCC,Yeosu,1289,1979
Propylene,Naphtha Cracker,GS Caltex,Yeosu,970,2021
Propylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,560,1991
Propylene,Naphtha Cracker,S-Oil,Onsan,840,2018
Propylene,Naphtha Cracker,SK Advanced,Ulsan,600,2016
Propylene,Naphtha Cracker,SK Energy,Ulsan,620,1996
Propylene,Naphtha Cracker,SK Geocentric,Ulsan,380,1989
Propylene,Naphtha Cracker,Taekwang Industrial,Ulsan,300,1997
Propylene,Naphtha Cracker,Hyosung Chemical,Ulsan,500,1991
Butadiene,Naphtha Cracker,Lotte Chemical,Daesan,190,1997
Butadiene,Naphtha Cracker,HD Hyundai Chemical,Daesan,163,2021
Butadiene,Naphtha Cracker,LG Chem,Daesan,200,1991
Butadiene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,150,1991
Butadiene,Naphtha Cracker,Kumho Petrochemical,Yeosu,147,1992
Butadiene,Naphtha Cracker,Lotte GS Chemical,Yeosu,130,2022
Butadiene,Naphtha Cracker,Lotte Chemical,Yeosu,160,2011
Butadiene,Naphtha Cracker,LG Chem,Yeosu,306,1991
Butadiene,Naphtha Cracker,Yeochon NCC,Yeosu,378,1992
Butadiene,Naphtha Cracker,Kumho Petrochemical,Ulsan,90,1979
Butadiene,Naphtha Cracker,Daehan Oil Chemical,Ulsan,146,2023
Butadiene,Naphtha Cracker,SK Geocentric,Ulsan,130,1989
Benzene,BTX Plant,OCI,Gwangyang,200,1995
Benzene,BTX Plant,Lotte Chemical,Daesan,240,2011
Benzene,BTX Plant,HD Hyundai Chemical,Daesan,410,2016
Benzene,BTX Plant,HDHyundai Oilbank,Daesan,338,1997
Benzene,BTX Plant,LG Chem,Daesan,270,1991
Benzene,BTX Plant,Hanwha TotalEnergies,Daesan,1267,1991
Benzene,BTX Plant,Lotte Chemical,Yeosu,235,1992
Benzene,BTX Plant,LG Chem,Yeosu,630,1992
Benzene,BTX Plant,Yeochon NCC,Yeosu,457,1979
Benzene,BTX Plant,GS Caltex,Yeosu,930,1990
Benzene,BTX Plant,Daehan Oil Chemical,Onsan,210,2008
Benzene,BTX Plant,S-Oil,Onsan,672,1991
Benzene,BTX Plant,Lotte Chemical,Ulsan,110,1986
Benzene,BTX Plant,SK Geocentric,Ulsan,603,1972
Benzene,BTX Plant,Ulsan Aromatics,Ulsan,600,2014
Benzene,BTX Plant,SK Incheon Petrochemical,Incheon,600,2006
Toluene,BTX Plant,OCI,Gwangyang,40,1995
Toluene,BTX Plant,Lotte Chemical,Daesan,120,2011
Toluene,BTX Plant,LG Chem,Daesan,100,2011
Toluene,BTX Plant,Lotte Chemical,Yeosu,220,1992
Toluene,BTX Plant,LG Chem,Yeosu,112,1992
Toluene,BTX Plant,Yeochon NCC,Yeosu,282,1979
Toluene,BTX Plant,GS Caltex,Yeosu,170,1990
Toluene,BTX Plant,Daehan Oil Chemical,Onsan,78,2008
Toluene,BTX Plant,S-Oil,Onsan,300,1991
Toluene,BTX Plant,SK Geocentric,Ulsan,1506,2070
Xylene,BTX Plant,Lotte Chemical,Daesan,60,2011
Xylene,BTX Plant,HD Hyundai Chemical,Daesan,1350,2016
Xylene,BTX Plant,LG Chem,Daesan,0,2011
Xylene,BTX Plant,Lotte Chemical,Yeosu,79,1992
Xylene,BTX Plant,LG Chem,Yeosu,60,1992
Xylene,BTX Plant,Yeochon NCC,Yeosu,204,1979
Xylene,BTX Plant,GS Caltex,Yeosu,350,1990
Xylene,BTX Plant,Daehan Oil Chemical,Onsan,47,2008
Xylene,BTX Plant,S-Oil,Onsan,450,1991
Xylene,BTX Plant,SK Geocentric,Ulsan,894,2070
O-X,BTX Plant,Lotte Chemical,Ulsan,210,1980
O-X,BTX Plant,SK Geocentric,Ulsan,200,1990
M-X,BTX Plant,Lotte Chemical,Ulsan,360,1998
P-X,BTX Plant,HDHyundai Oilbank,Daesan,1460,1997
P-X,BTX Plant,Hanwha TotalEnergies,Daesan,2000,1997
P-X,BTX Plant,GS Caltex,Yeosu,1350,1990
P-X,BTX Plant,S-Oil,Onsan,1900,1997
P-X,BTX Plant,Lotte Chemical,Ulsan,750,1980
P-X,BTX Plant,SK Geocentric,Ulsan,830,1990
P-X,BTX Plant,Ulsan Aromatics,Ulsan,1000,2014
P-X,BTX Plant,SK Incheon Petrochemical,Incheon,1500,2014
C-H,Naphtha Cracker,SK Geocentric,Ulsan,160,1974
C-H,Naphtha Cracker,Caprolactam,Ulsan,190,2000
SM,Utility,Lotte Chemical,Daesan,350,2005
SM,Utility,LG Chem,Daesan,577,2006
SM,Utility,Hanwha TotalEnergies,Daesan,1071,1991
SM,Utility,Yeochon NCC,Yeosu,351,1986
SM,Utility,SKpicglobal,Ulsan,400,1990
EDC,Utility,LG Chem,Yeosu,810,1996
EDC,Utility,Hanwha Solutions,Yeosu,1586,1980
EDC,Utility,Hanwha Solutions,Ulsan,385,1991
VCM,Utility,LG Chem,Daesan,230,1997
VCM,Utility,LG Chem,Yeosu,720,1990
VCM,Utility,Hanwha Solutions,Yeosu,583,1979
VCM,Utility,Hanwha Solutions,Ulsan,264,1972
PC,Utility,Lotte Chemical,Yeosu,480,2008
PC,Utility,LG Chem,Yeosu,170,2001
PC,Utility,Samyang Chemical,Jeonju,120,1999
LDPE,Utility,HD Hyundai Chemical,Daesan,300,2021
LDPE,Utility,LG Chem,Daesan,280,2006
LDPE,Utility,Hanwha TotalEnergies,Daesan,435,1991
LDPE,Utility,LG Chem,Yeosu,180,1990
LDPE,Utility,Hanwha Solutions,Yeosu,337,1979
LDPE,Utility,Lotte Chemical,Ulsan,120,1972
LDPE,Utility,Lotte Chemical,Daesan,500,2005
L-LDPE,Utility,LG Chem,Daesan,125,2006
L-LDPE,Utility,Hanwha TotalEnergies,Daesan,530,2004
L-LDPE,Utility,DL Chemical,Yeosu,10,2010
L-LDPE,Utility,Lotte Chemical,Yeosu,600,2019
L-LDPE,Utility,LG Chem,Yeosu,425,2021
L-LDPE,Utility,Hanwha Solutions,Yeosu,288,1986
L-LDPE,Utility,SSNC,Ulsan,180,2015
L-LDPE,Utility,SK Geocentric,Ulsan,550,1990
HDPE,Utility,HD Hyundai Chemical,Daesan,575,2021
HDPE,Utility,Hanwha TotalEnergies,Daesan,180,1991
HDPE,Utility,DL Chemical,Yeosu,630,1980
HDPE,Utility,Lotte Chemical,Yeosu,360,1992
HDPE,Utility,LG Chem,Yeosu,500,1992
HDPE,Utility,GS Caltex,Yeosu,650,2021
HDPE,Utility,Daehan Oil Chemical,Onsan,210,1976
HDPE,Utility,SK Geocentric,Ulsan,490,1990
PP,Utility,Lotte Chemical,Daesan,500,2005
PP,Utility,HD Hyundai Chemical,Daesan,380,2021
PP,Utility,LG Chem,Daesan,1117,2006
PP,Utility,Hanwha TotalEnergies,Daesan,600,1991
PP,Utility,Lotte Chemical,Yeosu,180,1979
PP,Utility,GS Caltex,Yeosu,730,1987
PP,Utility,Poly Mirae,Yeosu,405,1993
PP,Utility,S-Oil,Onsan,550,2018
PP,Utility,Daehan Oil Chemical,Onsan,432,1976
PP,Utility,SK Geocentric,Ulsan,400,1990
PP,Utility,Ulsan PP,Ulsan,600,2021
PP,Utility,Hyosung Chemical,Ulsan,0,1991
PS,Utility,LG Chem,Yeosu,40,1984
PS,Utility,Kumho Petrochemical,Ulsan,265,1973
PS,Utility,HDC Hyundai EP,Ulsan,148,1989
PS,Utility,Korea INEOS Styrolution,Ulsan,266,1985
EPS,Utility,SH Energy Chemical,Gunsan,100,1973
EPS,Utility,Lotte Chemical,Yeosu,90,1989
EPS,Utility,LG Chem,Yeosu,90,1984
EPS,Utility,Kumho Petrochemical,Ulsan,80,1973
EPS,Utility,HDC Hyundai EP,Ulsan,80,1989
EPS,Utility,BASF Korea,Ulsan,85,1982
ABS,Utility,Lotte Chemical,Yeosu,757,1989
ABS,Utility,LG Chem,Yeosu,1030,1978
ABS,Utility,Kumho Petrochemical,Ulsan,290,1973
ABS,Utility,Korea INEOS Styrolution,Ulsan,276,1990
PVC,Utility,LG Chem,Daesan,240,1998
PVC,Utility,LG Chem,Yeosu,450,1976
PVC,Utility,Hanwha Solutions,Yeosu,480,1990
PVC,Utility,Hanwha Solutions,Ulsan,330,2066
TPA,Utility,Hanwha Impact,Daesan,700,1997
TPA,Utility,Samnam Petrochemical,Yeosu,1500,1990
TPA,Utility,Lotte Chemical,Ulsan,0,1990
TPA,Utility,Hanwha Impact,Ulsan,1300,1995
TPA,Utility,Taekwang Industrial,Ulsan,1000,1980
TPA,Utility,Hyosung Chemical,Ulsan,420,1997
PIA,Utility,Lotte Chemical,Ulsan,0,1998
CPLM,Utility,Caprolactam,Ulsan,270,1974
DMT,Utility,SK Chemical,Ulsan,160,1989
EG,Utility,Lotte Chemical,Daesan,730,2005
EG,Utility,LG Chem,Daesan,0,2006
EG,Utility,Hanwha TotalEnergies,Daesan,218,1991
EG,Utility,Lotte Chemical,Yeosu,400,1979
EG,Utility,Daehan Oil Chemical,Ulsan,200,2014
AN,Utility,Dongseo Petrochemical,Ulsan,602,1972
AN,Utility,Taekwang Industrial,Ulsan,290,1997
SBR,Utility,LG Chem,Daesan,80,1996
SBR,Utility,Kumho Petrochemical,Ulsan,183,1973
S-SBR,Utility,LG Chem,Daesan,80,2012
S-SBR,Utility,Kumho Petrochemical,Yeosu,123,2012
S-SBR,Utility,Lotte Versalis Elastomers,Yeosu,100,2018
SB-Latex,Utility,LG Chem,Daesan,20,1996
SB-Latex,Utility,Kumho Petrochemical,Ulsan,85,1983
SB-Latex,Utility,Korea Trinseo,Ulsan,43,1990
SB-Latex,Utility,Hansol Chemical,Jeonju,60,1996
BR,Utility,LG Chem,Daesan,220,1996
BR,Utility,Kumho Petrochemical,Yeosu,275,1980
NBR,Utility,LG Chem,Daesan,65,1996
NBR,Utility,Kumho Petrochemical,Ulsan,92,1987
NB-Latex,Utility,LG Chem,Yeosu,205,2008
NB-Latex,Utility,Kumho Petrochemical,Ulsan,946,2012
NB-Latex,Utility,Hansol Chemical,Jeonju,28,2021
EPDM,Utility,Kumho Polychem,Yeosu,310,1987
EPDM,Utility,Lotte Versalis Elastomers,Yeosu,96,2018
Acetic Acid,Utility,Lotte INEOS Chemical,Ulsan,710,1991
Vinyl Acetate,Utility,Lotte INEOS Chemical,Ulsan,460,1996
Ethanol,Utility,Korea Alcohol Industrial,Ulsan,70,1974
Ethyl Acetate,Utility,Korea Alcohol Industrial,Ulsan,123,1989
Alkylbenzene,Utility,ISU Chemical,Ulsan,180,1973
PA,Utility,LG Chem,Yeosu,0,1992
PA,Utility,Aekyung Chemical,Ulsan,210,1972
PA,Utility,Hanwha Solutions,Ulsan,0,1997
PA,Utility,OCI,Pohang,60,1983
MA,Utility,Aekyung Chemical,Ulsan,8,1988
MA,Utility,Yongsan Chemical,Ulsan,38,1976
MA,Utility,Korea PTG,Ulsan,30,1992
MA,Utility,Hanwha Solutions,Ulsan,0,1998
TDI,Utility,OCI,Gunsan,50,1990
TDI,Utility,BASF Korea,Yeosu,160,1988
TDI,Utility,Hanwha Solutions,Yeosu,150,1981
MDI,Utility,Downing Chemical,Yeosu,30,2018
MDI,Utility,Kumho Mitsui Chemical,Yeosu,610,1992
MDI,Utility,BASF Korea,Yeosu,250,1992
Phenol,Utility,LG Chem,Daesan,360,2013
Phenol,Utility,Kumho P&B Chemical,Yeosu,680,1980
Phenol,Utility,LG Chem,Yeosu,350,2005
Acetone,Utility,LG Chem,Daesan,225,2013
