year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,57.82112069636608,8.372000000000002,66.19312069636608,0.45,248,0,1.0,1.0,100066.0
2026,56.0864870754751,7.8501453333333355,63.93663240880843,0.435,248,0,1.0,0.97,97064.02
2027,54.58313793736957,7.376290133333334,61.95942807070291,0.42,248,0,1.0,0.944,94462.30399999999
2028,53.0219676785677,6.909411600000001,59.9313792785677,0.405,248,0,1.0,0.917,91760.522
2029,51.51861854046218,6.464858400000002,57.98347694046218,0.39,248,0,1.0,0.891,89158.806
2030,50.59348060932032,6.104583333333334,56.69806394265366,0.375,248,0,1.0,0.875,87557.75
2031,49.090131471214804,5.6862624,54.7763938712148,0.36,248,0,1.0,0.849,84956.034
2032,47.586782333109284,5.282452933333334,52.869235266442615,0.345,248,0,1.0,0.823,82354.318
2033,46.083433195003764,4.893154933333335,50.9765881283371,0.33,248,0,1.0,0.797,79752.602
2034,44.580084056898244,4.518368400000001,49.098452456898244,0.315,248,0,1.0,0.771,77150.886
2035,43.712767246452756,4.219488000000001,47.932255246452755,0.3,248,0,1.0,0.756,75649.896
2036,42.209418108347236,3.6669360000000006,45.876354108347236,0.27,248,0,1.0,0.73,73048.18
2037,40.706068970241716,3.143406933333334,43.84947590357505,0.24,248,0,1.0,0.704,70446.46399999999
2038,39.20271983213621,2.6489008000000003,41.85162063213621,0.21,248,0,1.0,0.678,67844.748
2039,37.69937069403069,2.1834176000000007,39.88278829403069,0.18,248,0,1.0,0.652,65243.032
2040,34.692672417819644,1.6744,36.36707241781965,0.15,248,0,1.0,0.6,60039.6
2041,34.692672417819644,1.3395200000000003,36.032192417819644,0.12,248,0,1.0,0.6,60039.6
2042,34.692672417819644,1.0046400000000002,35.697312417819646,0.09,248,0,1.0,0.6,60039.6
2043,34.692672417819644,0.6697600000000001,35.36243241781965,0.06,248,0,1.0,0.6,60039.6
2044,34.692672417819644,0.4465066666666668,35.139179084486315,0.04,248,0,1.0,0.6,60039.6
2045,34.692672417819644,0.2232533333333334,34.91592575115298,0.02,248,0,1.0,0.6,60039.6
2046,34.692672417819644,0.1116266666666667,34.80429908448631,0.01,248,0,1.0,0.6,60039.6
2047,34.692672417819644,0.05581333333333335,34.74848575115298,0.005,248,0,1.0,0.6,60039.6
2048,34.692672417819644,0.022325333333333336,34.71499775115298,0.002,248,0,1.0,0.6,60039.6
2049,34.692672417819644,0.011162666666666668,34.70383508448631,0.001,248,0,1.0,0.6,60039.6
2050,34.692672417819644,0.0,34.692672417819644,0.0,248,0,1.0,0.6,60039.6
