company,location,product,product_group,process,capacity_kt,year_built,facility_age,remaining_life,initial_capex_musd,book_value_musd,emission_intensity,emissions_year_kt,required_reduction_kt,required_reduction_pct,must_retire,stranded_book_value_musd
Lotte Chemical,Yeosu,Butadiene,Olefins,Naphtha Cracker,160,2011,14,16,192.0,102.4,2.1901291256409934,451.34181021209594,451.34181021209594,100.0,True,102.4
LG Chem,Yeosu,Butadiene,Olefins,Naphtha Cracker,306,1991,34,0,367.2,0.0,2.1901291256409934,863.1912120306334,266.7684342357074,30.904906180421143,False,0.0
Yeochon NCC,Yeosu,Butadiene,Olefins,Naphtha Cracker,378,1992,33,0,453.59999999999997,0.0,2.190129125640993,1066.2950266260764,329.5374775852855,30.904906180421143,False,0.0
Kumho Petrochemical,Ulsan,Butadiene,Olefins,Naphtha Cracker,90,1979,46,0,108.0,0.0,2.1901291256409934,253.87976824430396,78.46130418697277,30.904906180421143,False,0.0
Daehan Oil Chemical,Ulsan,Butadiene,Olefins,Naphtha Cracker,146,2023,2,28,175.2,163.51999999999998,2.1901291256409934,411.84940181853756,127.28167123664473,30.904906180421143,False,0.0
SK Geocentric,Ulsan,Butadiene,Olefins,Naphtha Cracker,130,1989,36,0,156.0,0.0,2.1901291256409934,366.71522079732796,113.33299493673844,30.904906180421143,False,0.0
OCI,Gwangyang,Benzene,Aromatics,BTX Plant,200,1995,30,0,80.0,0.0,0.13669509243332306,35.21265581082402,10.882438241969776,30.904906180421143,False,0.0
Lotte Chemical,Daesan,Benzene,Aromatics,BTX Plant,240,2011,14,16,96.0,51.2,0.13669509243332306,42.255186972988824,13.058925890363732,30.904906180421143,False,0.0
HD Hyundai Chemical,Daesan,Benzene,Aromatics,BTX Plant,410,2016,9,21,164.0,114.8,0.13669509243332306,72.18594441218924,22.308998396038046,30.904906180421143,False,0.0
HDHyundai Oilbank,Daesan,Benzene,Aromatics,BTX Plant,338,1997,28,2,135.20000000000002,9.013333333333334,0.13669509243332306,59.5093883202926,18.391320628928927,30.904906180421143,False,0.0
LG Chem,Daesan,Benzene,Aromatics,BTX Plant,270,1991,34,0,108.0,0.0,0.13669509243332306,47.53708534461243,14.691291626659199,30.904906180421143,False,0.0
Hanwha TotalEnergies,Daesan,Benzene,Aromatics,BTX Plant,1267,1991,34,0,506.8,0.0,0.1366950924333231,223.0721745615702,68.94024626287855,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,Benzene,Aromatics,BTX Plant,235,1992,33,0,94.0,0.0,0.13669509243332306,41.37487057771823,12.78686493431449,30.904906180421143,False,0.0
LG Chem,Yeosu,Benzene,Aromatics,BTX Plant,630,1992,33,0,252.0,0.0,0.1366950924333231,110.91986580409569,34.27968046220481,30.904906180421143,False,0.0
Yeochon NCC,Yeosu,Benzene,Aromatics,BTX Plant,457,1979,46,0,182.8,0.0,0.13669509243332306,80.46091852773289,24.866371382900944,30.904906180421143,False,0.0
GS Caltex,Yeosu,Benzene,Aromatics,BTX Plant,930,1990,35,0,372.0,0.0,0.13669509243332306,163.7388495203317,50.60333782515947,30.904906180421143,False,0.0
Daehan Oil Chemical,Onsan,Benzene,Aromatics,BTX Plant,210,2008,17,13,84.0,36.4,0.1366950924333231,36.97328860136523,11.42656015406827,30.904906180421143,False,0.0
S-Oil,Onsan,Benzene,Aromatics,BTX Plant,672,1991,34,0,268.8,0.0,0.13669509243332306,118.31452352436871,36.56499249301845,30.904906180421143,False,0.0
Lotte Chemical,Ulsan,Benzene,Aromatics,BTX Plant,110,1986,39,0,44.0,0.0,0.13669509243332306,19.36696069595321,5.985341033083378,30.904906180421143,False,0.0
SK Geocentric,Ulsan,Benzene,Aromatics,BTX Plant,603,1972,53,0,241.20000000000002,0.0,0.13669509243332306,106.16615726963443,32.81055129953888,30.904906180421143,False,0.0
Ulsan Aromatics,Ulsan,Benzene,Aromatics,BTX Plant,600,2014,11,19,240.0,152.0,0.13669509243332306,105.63796743247207,32.64731472590934,30.904906180421143,False,0.0
SK Incheon Petrochemical,Incheon,Benzene,Aromatics,BTX Plant,600,2006,19,11,240.0,88.0,0.13669509243332306,105.63796743247207,32.64731472590934,30.904906180421143,False,0.0
OCI,Gwangyang,Toluene,Aromatics,BTX Plant,40,1995,30,0,16.0,0.0,0.15702543732796154,8.08995053113658,2.500191621690242,30.904906180421143,False,0.0
Lotte Chemical,Daesan,Toluene,Aromatics,BTX Plant,120,2011,14,16,48.0,25.6,0.15702543732796154,24.269851593409737,7.500574865070726,30.904906180421143,False,0.0
LG Chem,Daesan,Toluene,Aromatics,BTX Plant,100,2011,14,16,40.0,21.333333333333332,0.1570254373279615,20.224876327841443,6.250479054225602,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,Toluene,Aromatics,BTX Plant,220,1992,33,0,88.0,0.0,0.15702543732796154,44.49472792125118,13.751053919296329,30.904906180421143,False,0.0
LG Chem,Yeosu,Toluene,Aromatics,BTX Plant,112,1992,33,0,44.800000000000004,0.0,0.15702543732796154,22.65186148718242,7.000536540732676,30.904906180421143,False,0.0
Yeochon NCC,Yeosu,Toluene,Aromatics,BTX Plant,282,1979,46,0,112.80000000000001,0.0,0.1570254373279615,57.03415124451287,17.6263509329162,30.904906180421143,False,0.0
GS Caltex,Yeosu,Toluene,Aromatics,BTX Plant,170,1990,35,0,68.0,0.0,0.1570254373279615,34.38228975733045,10.625814392183521,30.904906180421143,False,0.0
Daehan Oil Chemical,Onsan,Toluene,Aromatics,BTX Plant,78,2008,17,13,31.200000000000003,13.520000000000001,0.15702543732796154,15.775403535716327,4.875373662295971,30.904906180421143,False,0.0
S-Oil,Onsan,Toluene,Aromatics,BTX Plant,300,1991,34,0,120.0,0.0,0.15702543732796154,60.674628983524336,18.75143716267681,30.904906180421143,False,0.0
SK Geocentric,Ulsan,Toluene,Aromatics,BTX Plant,1506,2070,-45,75,602.4,1506.0,0.15702543732796156,304.5866374972922,94.1322145566376,30.904906180421143,False,0.0
Lotte Chemical,Daesan,Xylene,Aromatics,BTX Plant,60,2011,14,16,24.0,12.8,1.0188612594561164,78.73759813076867,24.333780831031092,30.904906180421143,False,0.0
HD Hyundai Chemical,Daesan,Xylene,Aromatics,BTX Plant,1350,2016,9,21,540.0,378.0,1.0188612594561164,1771.5959579422952,547.5100686981996,30.904906180421143,False,0.0
LG Chem,Daesan,Xylene,Aromatics,BTX Plant,0,2011,14,16,0.0,0.0,,0.0,0.0,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,Xylene,Aromatics,BTX Plant,79,1992,33,0,31.6,0.0,1.0188612594561164,103.67117087217876,32.03947809419094,30.904906180421143,False,0.0
LG Chem,Yeosu,Xylene,Aromatics,BTX Plant,60,1992,33,0,24.0,0.0,1.0188612594561164,78.73759813076867,24.333780831031092,30.904906180421143,False,0.0
Yeochon NCC,Yeosu,Xylene,Aromatics,BTX Plant,204,1979,46,0,81.60000000000001,0.0,1.0188612594561166,267.7078336446135,82.73485482550572,30.904906180421143,False,0.0
GS Caltex,Yeosu,Xylene,Aromatics,BTX Plant,350,1990,35,0,140.0,0.0,1.0188612594561164,459.30265576281727,141.94705484768136,30.904906180421143,False,0.0
Daehan Oil Chemical,Onsan,Xylene,Aromatics,BTX Plant,47,2008,17,13,18.8,8.146666666666667,1.0188612594561166,61.67778520243547,19.06146165097436,30.904906180421143,False,0.0
