company,location,product,product_group,process,capacity_kt,year_built,facility_age,remaining_life,initial_capex_musd,book_value_musd,emission_intensity,emissions_year_kt,required_reduction_kt,required_reduction_pct,must_retire,stranded_book_value_musd
Lotte Chemical,Yeosu,Butadiene,Olefins,Naphtha Cracker,160,2011,14,16,192.0,102.4,2.1901291256409934,451.34181021209594,451.34181021209594,100.0,True,102.4
LG Chem,Yeosu,Butadiene,Olefins,Naphtha Cracker,306,1991,34,0,367.2,0.0,2.1901291256409934,863.1912120306334,530.3212430217582,61.437284767321955,False,0.0
Yeochon NCC,Yeosu,Butadiene,Olefins,Naphtha Cracker,378,1992,33,0,453.59999999999997,0.0,2.190129125640993,1066.2950266260764,655.102711968054,61.437284767321955,False,0.0
Kumho Petrochemical,Ulsan,Butadiene,Olefins,Naphtha Cracker,90,1979,46,0,108.0,0.0,2.1901291256409934,253.87976824430396,155.97683618287004,61.437284767321955,False,0.0
Daehan Oil Chemical,Ulsan,Butadiene,Olefins,Naphtha Cracker,146,2023,2,28,175.2,163.51999999999998,2.1901291256409934,411.84940181853756,253.02908980776698,61.437284767321955,False,0.0
SK Geocentric,Ulsan,Butadiene,Olefins,Naphtha Cracker,130,1989,36,0,156.0,0.0,2.1901291256409934,366.71522079732796,225.29987448636786,61.437284767321955,False,0.0
OCI,Gwangyang,Benzene,Aromatics,BTX Plant,200,1995,30,0,80.0,0.0,0.13669509243332306,35.21265581082402,21.633699624632897,61.437284767321955,False,0.0
Lotte Chemical,Daesan,Benzene,Aromatics,BTX Plant,240,2011,14,16,96.0,51.2,0.13669509243332306,42.255186972988824,25.960439549559474,61.437284767321955,False,0.0
HD Hyundai Chemical,Daesan,Benzene,Aromatics,BTX Plant,410,2016,9,21,164.0,114.8,0.13669509243332306,72.18594441218924,44.34908423049744,61.437284767321955,False,0.0
HDHyundai Oilbank,Daesan,Benzene,Aromatics,BTX Plant,338,1997,28,2,135.20000000000002,9.013333333333334,0.13669509243332306,59.5093883202926,36.560952365629596,61.437284767321955,False,0.0
LG Chem,Daesan,Benzene,Aromatics,BTX Plant,270,1991,34,0,108.0,0.0,0.13669509243332306,47.53708534461243,29.20549449325441,61.437284767321955,False,0.0
Hanwha TotalEnergies,Daesan,Benzene,Aromatics,BTX Plant,1267,1991,34,0,506.8,0.0,0.1366950924333231,223.0721745615702,137.0494871220494,61.437284767321955,False,0.0
Lotte Chemical,Yeosu,Benzene,Aromatics,BTX Plant,235,1992,33,0,94.0,0.0,0.13669509243332306,41.37487057771823,25.419597058943655,61.437284767321955,False,0.0
LG Chem,Yeosu,Benzene,Aromatics,BTX Plant,630,1992,33,0,252.0,0.0,0.1366950924333231,110.91986580409569,68.14615381759364,61.437284767321955,False,0.0
Yeochon NCC,Yeosu,Benzene,Aromatics,BTX Plant,457,1979,46,0,182.8,0.0,0.13669509243332306,80.46091852773289,49.43300364228617,61.437284767321955,False,0.0
GS Caltex,Yeosu,Benzene,Aromatics,BTX Plant,930,1990,35,0,372.0,0.0,0.13669509243332306,163.7388495203317,100.59670325454297,61.437284767321955,False,0.0
Daehan Oil Chemical,Onsan,Benzene,Aromatics,BTX Plant,210,2008,17,13,84.0,36.4,0.1366950924333231,36.97328860136523,22.715384605864546,61.437284767321955,False,0.0
S-Oil,Onsan,Benzene,Aromatics,BTX Plant,672,1991,34,0,268.8,0.0,0.13669509243332306,118.31452352436871,72.68923073876653,61.437284767321955,False,0.0
Lotte Chemical,Ulsan,Benzene,Aromatics,BTX Plant,110,1986,39,0,44.0,0.0,0.13669509243332306,19.36696069595321,11.898534793548093,61.437284767321955,False,0.0
SK Geocentric,Ulsan,Benzene,Aromatics,BTX Plant,603,1972,53,0,241.20000000000002,0.0,0.13669509243332306,106.16615726963443,65.22560436826818,61.437284767321955,False,0.0
Ulsan Aromatics,Ulsan,Benzene,Aromatics,BTX Plant,600,2014,11,19,240.0,152.0,0.13669509243332306,105.63796743247207,64.90109887389869,61.437284767321955,False,0.0
SK Incheon Petrochemical,Incheon,Benzene,Aromatics,BTX Plant,600,2006,19,11,240.0,88.0,0.13669509243332306,105.63796743247207,64.90109887389869,61.437284767321955,False,0.0
OCI,Gwangyang,Toluene,Aromatics,BTX Plant,40,1995,30,0,16.0,0.0,0.15702543732796154,8.08995053113658,4.9702459453498555,61.437284767321955,False,0.0
Lotte Chemical,Daesan,Toluene,Aromatics,BTX Plant,120,2011,14,16,48.0,25.6,0.15702543732796154,24.269851593409737,14.910737836049567,61.437284767321955,False,0.0
LG Chem,Daesan,Toluene,Aromatics,BTX Plant,100,2011,14,16,40.0,21.333333333333332,0.1570254373279615,20.224876327841443,12.425614863374635,61.437284767321955,False,0.0
Lotte Chemical,Yeosu,Toluene,Aromatics,BTX Plant,220,1992,33,0,88.0,0.0,0.15702543732796154,44.49472792125118,27.3363526994242,61.437284767321955,False,0.0
LG Chem,Yeosu,Toluene,Aromatics,BTX Plant,112,1992,33,0,44.800000000000004,0.0,0.15702543732796154,22.65186148718242,13.916688646979592,61.437284767321955,False,0.0
Yeochon NCC,Yeosu,Toluene,Aromatics,BTX Plant,282,1979,46,0,112.80000000000001,0.0,0.1570254373279615,57.03415124451287,35.040233914716474,61.437284767321955,False,0.0
GS Caltex,Yeosu,Toluene,Aromatics,BTX Plant,170,1990,35,0,68.0,0.0,0.1570254373279615,34.38228975733045,21.123545267736876,61.437284767321955,False,0.0
Daehan Oil Chemical,Onsan,Toluene,Aromatics,BTX Plant,78,2008,17,13,31.200000000000003,13.520000000000001,0.15702543732796154,15.775403535716327,9.691979593432217,61.437284767321955,False,0.0
S-Oil,Onsan,Toluene,Aromatics,BTX Plant,300,1991,34,0,120.0,0.0,0.15702543732796154,60.674628983524336,37.27684459012391,61.437284767321955,False,0.0
SK Geocentric,Ulsan,Toluene,Aromatics,BTX Plant,1506,2070,-45,75,602.4,1506.0,0.15702543732796156,304.5866374972922,187.12975984242203,61.437284767321955,False,0.0
Lotte Chemical,Daesan,Xylene,Aromatics,BTX Plant,60,2011,14,16,24.0,12.8,1.0188612594561164,78.73759813076867,48.374242382549916,61.437284767321955,False,0.0
HD Hyundai Chemical,Daesan,Xylene,Aromatics,BTX Plant,1350,2016,9,21,540.0,378.0,1.0188612594561164,1771.5959579422952,1088.4204536073732,61.437284767321955,False,0.0
LG Chem,Daesan,Xylene,Aromatics,BTX Plant,0,2011,14,16,0.0,0.0,,0.0,0.0,61.437284767321955,False,0.0
Lotte Chemical,Yeosu,Xylene,Aromatics,BTX Plant,79,1992,33,0,31.6,0.0,1.0188612594561164,103.67117087217876,63.6927524703574,61.437284767321955,False,0.0
LG Chem,Yeosu,Xylene,Aromatics,BTX Plant,60,1992,33,0,24.0,0.0,1.0188612594561164,78.73759813076867,48.374242382549916,61.437284767321955,False,0.0
Yeochon NCC,Yeosu,Xylene,Aromatics,BTX Plant,204,1979,46,0,81.60000000000001,0.0,1.0188612594561166,267.7078336446135,164.47242410066974,61.437284767321955,False,0.0
GS Caltex,Yeosu,Xylene,Aromatics,BTX Plant,350,1990,35,0,140.0,0.0,1.0188612594561164,459.30265576281727,282.18308056487456,61.437284767321955,False,0.0
Daehan Oil Chemical,Onsan,Xylene,Aromatics,BTX Plant,47,2008,17,13,18.8,8.146666666666667,1.0188612594561166,61.67778520243547,37.893156532997445,61.437284767321955,False,0.0
S-Oil,Onsan,Xylene,Aromatics,BTX Plant,450,1991,34,0,180.0,0.0,1.0188612594561164,590.5319859807651,362.8068178691244,61.437284767321955,False,0.0
SK Geocentric,Ulsan,Xylene,Aromatics,BTX Plant,894,2070,-45,75,357.6,894.0,1.0188612594561166,1173.1902121484534,720.7762114999939,61.437284767321955,False,0.0
Lotte Chemical,Ulsan,O-X,Other,BTX Plant,210,1980,45,0,84.0,0.0,0.0042057809860782,1.1375796411144314,0.6988980435665524,61.437284767321955,False,0.0
SK Geocentric,Ulsan,O-X,Other,BTX Plant,200,1990,35,0,80.0,0.0,0.0042057809860782,1.0834091820137444,0.6656171843490974,61.437284767321955,False,0.0
Lotte Chemical,Ulsan,M-X,Other,BTX Plant,360,1998,27,3,144.0,14.4,0.0042057809860782,1.95013652762474,1.1981109318283756,61.437284767321955,False,0.0
HDHyundai Oilbank,Daesan,P-X,Other,BTX Plant,1460,1997,28,2,584.0,38.93333333333333,0.0,0.0,0.0,61.437284767321955,False,0.0
Hanwha TotalEnergies,Daesan,P-X,Other,BTX Plant,2000,1997,28,2,800.0,53.333333333333336,0.0,0.0,0.0,61.437284767321955,False,0.0
GS Caltex,Yeosu,P-X,Other,BTX Plant,1350,1990,35,0,540.0,0.0,0.0,0.0,0.0,61.437284767321955,False,0.0
S-Oil,Onsan,P-X,Other,BTX Plant,1900,1997,28,2,760.0,50.666666666666664,0.0,0.0,0.0,61.437284767321955,False,0.0
Lotte Chemical,Ulsan,P-X,Other,BTX Plant,750,1980,45,0,300.0,0.0,0.0,0.0,0.0,61.437284767321955,False,0.0
SK Geocentric,Ulsan,P-X,Other,BTX Plant,830,1990,35,0,332.0,0.0,0.0,0.0,0.0,61.437284767321955,False,0.0
Ulsan Aromatics,Ulsan,P-X,Other,BTX Plant,1000,2014,11,19,400.0,253.33333333333331,0.0,0.0,0.0,61.437284767321955,False,0.0
SK Incheon Petrochemical,Incheon,P-X,Other,BTX Plant,1500,2014,11,19,600.0,380.0,0.0,0.0,0.0,61.437284767321955,False,0.0
SK Geocentric,Ulsan,C-H,Other,Naphtha Cracker,160,1974,51,0,192.0,0.0,1.0231730864211577,210.85550964967217,129.5438999110571,61.437284767321955,False,0.0
Caprolactam,Ulsan,C-H,Other,Naphtha Cracker,190,2000,25,5,228.0,38.0,1.0231730864211575,250.39091770898565,153.8333811443803,61.437284767321955,False,0.0
Lotte Chemical,Daesan,SM,Other,Utility,350,2005,20,10,140.0,46.666666666666664,0.005187162242504757,2.3383727389211444,1.4366327185324095,61.437284767321955,False,0.0
LG Chem,Daesan,SM,Other,Utility,577,2006,19,11,230.8,84.62666666666667,0.005187162242504756,3.854974486735715,2.368391653123429,61.437284767321955,False,0.0
Hanwha TotalEnergies,Daesan,SM,Other,Utility,1071,1991,34,0,428.40000000000003,0.0,0.005187162242504757,7.155420581098702,4.396096118709173,61.437284767321955,False,0.0
Yeochon NCC,Yeosu,SM,Other,Utility,351,1986,39,0,140.4,0.0,0.005187162242504757,2.3450538038894906,1.4407373834425021,61.437284767321955,False,0.0
SKpicglobal,Ulsan,SM,Other,Utility,400,1990,35,0,160.0,0.0,0.005187162242504757,2.672425987338451,1.6418659640370397,61.437284767321955,False,0.0
LG Chem,Yeosu,EDC,Other,Utility,810,1996,29,1,324.0,10.8,0.005187162242504756,5.411662624360362,3.3247785771750045,61.437284767321955,False,0.0
Hanwha Solutions,Yeosu,EDC,Other,Utility,1586,1980,45,0,634.4000000000001,0.0,0.005187162242504757,10.596169039796957,6.509998547406861,61.437284767321955,False,0.0
Hanwha Solutions,Ulsan,EDC,Other,Utility,385,1991,34,0,154.0,0.0,0.005187162242504756,2.5722100128132586,1.5802959903856502,61.437284767321955,False,0.0
LG Chem,Daesan,VCM,Other,Utility,230,1997,28,2,92.0,6.133333333333333,0.005187162242504756,1.536644942719609,0.9440729293212975,61.437284767321955,False,0.0
LG Chem,Yeosu,VCM,Other,Utility,720,1990,35,0,288.0,0.0,0.005187162242504756,4.810366777209211,2.9553587352666706,61.437284767321955,False,0.0
Hanwha Solutions,Yeosu,VCM,Other,Utility,583,1979,46,0,233.20000000000002,0.0,0.005187162242504756,3.8950608765457915,2.393019642583985,61.437284767321955,False,0.0
Hanwha Solutions,Ulsan,VCM,Other,Utility,264,1972,53,0,105.60000000000001,0.0,0.005187162242504756,1.7638011516433774,1.0836315362644457,61.437284767321955,False,0.0
Lotte Chemical,Yeosu,PC,Other,Utility,480,2008,17,13,192.0,83.2,0.003627140475212089,2.242443327395122,1.377696292797551,61.437284767321955,False,0.0
LG Chem,Yeosu,PC,Other,Utility,170,2001,24,6,68.0,13.600000000000001,0.0036271404752120893,0.7941986784524391,0.4879341036991326,61.437284767321955,False,0.0
Samyang Chemical,Jeonju,PC,Other,Utility,120,1999,26,4,48.0,6.4,0.003627140475212089,0.5606108318487805,0.3444240731993877,61.437284767321955,False,0.0
HD Hyundai Chemical,Daesan,LDPE,Polymers,Utility,300,2021,4,26,120.0,104.0,0.008551235020322049,3.3041972118524394,2.0300090503196957,61.437284767321955,False,0.0
LG Chem,Daesan,LDPE,Polymers,Utility,280,2006,19,11,112.0,41.06666666666666,0.008551235020322049,3.0839173977289436,1.894675113631716,61.437284767321955,False,0.0
Hanwha TotalEnergies,Daesan,LDPE,Polymers,Utility,435,1991,34,0,174.0,0.0,0.008551235020322049,4.791085957186038,2.943513122963559,61.437284767321955,False,0.0
LG Chem,Yeosu,LDPE,Polymers,Utility,180,1990,35,0,72.0,0.0,0.008551235020322049,1.982518327111464,1.2180054301918175,61.437284767321955,False,0.0
Hanwha Solutions,Yeosu,LDPE,Polymers,Utility,337,1979,46,0,134.8,0.0,0.008551235020322049,3.711714867980907,2.2803768331924577,61.437284767321955,False,0.0
Lotte Chemical,Ulsan,LDPE,Polymers,Utility,120,1972,53,0,48.0,0.0,0.008551235020322047,1.3216788847409757,0.8120036201278782,61.437284767321955,False,0.0
Lotte Chemical,Daesan,LDPE,Polymers,Utility,500,2005,20,10,200.0,66.66666666666666,0.008551235020322049,5.506995353087399,3.383348417199493,61.437284767321955,False,0.0
LG Chem,Daesan,L-LDPE,Polymers,Utility,125,2006,19,11,50.0,18.333333333333332,0.007893447711066509,1.270845081481708,0.7807727116614217,61.437284767321955,False,0.0
Hanwha TotalEnergies,Daesan,L-LDPE,Polymers,Utility,530,2004,21,9,212.0,63.599999999999994,0.007893447711066509,5.388383145482441,3.3104762974444277,61.437284767321955,False,0.0
DL Chemical,Yeosu,L-LDPE,Polymers,Utility,10,2010,15,15,4.0,2.0,0.007893447711066499,0.10166760651853651,0.06246181693291366,61.437284767321955,False,0.0
Lotte Chemical,Yeosu,L-LDPE,Polymers,Utility,600,2019,6,24,240.0,192.0,0.007893447711066507,6.100056391112197,3.7477090159748236,61.437284767321955,False,0.0
LG Chem,Yeosu,L-LDPE,Polymers,Utility,425,2021,4,26,170.0,147.33333333333334,0.007893447711066509,4.320873277037807,2.654627219648833,61.437284767321955,False,0.0
Hanwha Solutions,Yeosu,L-LDPE,Polymers,Utility,288,1986,39,0,115.2,0.0,0.007893447711066507,2.9280270677338547,1.7989003276679154,61.437284767321955,False,0.0
SSNC,Ulsan,L-LDPE,Polymers,Utility,180,2015,10,20,72.0,48.0,0.007893447711066509,1.8300169173336593,1.1243127047924473,61.437284767321955,False,0.0
SK Geocentric,Ulsan,L-LDPE,Polymers,Utility,550,1990,35,0,220.0,0.0,0.007893447711066509,5.591718358519515,3.435399931310255,61.437284767321955,False,0.0
HD Hyundai Chemical,Daesan,HDPE,Polymers,Utility,575,2021,4,26,230.0,199.33333333333334,0.006840988016257644,5.066435724840411,3.1126805438235357,61.437284767321955,False,0.0
Hanwha TotalEnergies,Daesan,HDPE,Polymers,Utility,180,1991,34,0,72.0,0.0,0.006840988016257642,1.5860146616891717,0.9744043441534543,61.437284767321955,False,0.0
DL Chemical,Yeosu,HDPE,Polymers,Utility,630,1980,45,0,252.0,0.0,0.006840988016257643,5.551051315912102,3.410415204537091,61.437284767321955,False,0.0
Lotte Chemical,Yeosu,HDPE,Polymers,Utility,360,1992,33,0,144.0,0.0,0.006840988016257642,3.1720293233783434,1.9488086883069087,61.437284767321955,False,0.0
LG Chem,Yeosu,HDPE,Polymers,Utility,500,1992,33,0,200.0,0.0,0.006840988016257643,4.405596282469922,2.706678733759596,61.437284767321955,False,0.0
GS Caltex,Yeosu,HDPE,Polymers,Utility,650,2021,4,26,260.0,225.33333333333334,0.006840988016257643,5.727275167210899,3.5186823538874745,61.437284767321955,False,0.0
Daehan Oil Chemical,Onsan,HDPE,Polymers,Utility,210,1976,49,0,84.0,0.0,0.006840988016257643,1.8503504386373673,1.1368050681790303,61.437284767321955,False,0.0
SK Geocentric,Ulsan,HDPE,Polymers,Utility,490,1990,35,0,196.0,0.0,0.006840988016257642,4.317484356820524,2.652545159084404,61.437284767321955,False,0.0
Lotte Chemical,Daesan,PP,Polymers,Utility,500,2005,20,10,200.0,66.66666666666666,0.006413426265241539,4.130246514815551,2.5375113128996203,61.437284767321955,False,0.0
HD Hyundai Chemical,Daesan,PP,Polymers,Utility,380,2021,4,26,152.0,131.73333333333335,0.006413426265241538,3.1389873512598183,1.9285085978037113,61.437284767321955,False,0.0
LG Chem,Daesan,PP,Polymers,Utility,1117,2006,19,11,446.8,163.82666666666665,0.006413426265241539,9.226970714097941,5.6688002730177525,61.437284767321955,False,0.0
Hanwha TotalEnergies,Daesan,PP,Polymers,Utility,600,1991,34,0,240.0,0.0,0.006413426265241538,4.956295817778661,3.045013575479544,61.437284767321955,False,0.0
