year,region,n_facilities,capacity_kt,bau_emissions_kt,ncc_abatement_kt,rdh_abatement_kt,hp_abatement_kt,re_ppa_abatement_kt,total_abatement_kt,actual_emissions_kt,elec_demand_mwh,grid_ef
2029.0,Yeosu,87,37216,17890.067995152094,0.0,0,0.0,1082.1966645284022,1082.1966645284022,16807.871330623693,0.0,0.3664
2030.0,Daesan,57,27424,15087.088516940208,988.8258872292879,0,0.0,1951.1052588209957,2939.9311460502836,12147.157370889925,5240777.202315226,0.349
2030.0,Other,19,3990,218.4379536648252,14.316685627889251,0,0.0,28.24901833398758,42.56570396187683,175.87224970294835,75878.43382781305,0.349
2030.0,Ulsan,85,31436,11481.656679935468,752.5215577976757,0,0.0,1484.840544485823,2237.3621022834986,9244.29457765197,3988364.2563276812,0.349
2030.0,Yeosu,87,37216,17797.906544226447,1166.49615395694,0,0.0,2301.6759671989703,3468.17212115591,14329.734423070537,6182429.615971782,0.349
2031.0,Daesan,57,27424,15024.678920870205,1381.3053693920915,0,0.0,1951.1052588209957,3332.410628213087,11692.268292657118,7320918.457778084,0.3351
2031.0,Other,19,3990,217.53435822033154,19.999187910739273,0,0.0,28.24901833398758,48.24820624472685,169.2861519756047,105995.69592691814,0.3351
2031.0,Ulsan,85,31436,11434.161395818546,1051.208389458559,0,0.0,1484.840544485823,2536.048933944382,8898.112461874163,5571404.4641303625,0.3351
2031.0,Yeosu,87,37216,17724.28331618814,1629.4955680729677,0,0.0,2301.6759671989703,3931.171535271938,13793.1117809162,8636326.510786729,0.3351
2032.0,Daesan,57,27424,14962.269324800203,1790.1885822439895,0,0.0,1951.1052588209957,3741.293841064985,11220.97548373522,9487999.485893143,0.3212
2032.0,Other,19,3990,216.6307627758379,25.919191111024183,0,0.0,28.24901833398758,54.16820944501176,162.46255333082613,137371.71288842816,0.3212
2032.0,Ulsan,85,31436,11386.666111701627,1362.378875857123,0,0.0,1484.840544485823,2847.2194203429463,8539.44669135868,7220608.042042751,0.3212
2032.0,Yeosu,87,37216,17650.66008814983,2111.846102549518,0,0.0,2301.6759671989703,4413.522069748488,13237.138018401343,11192784.343512444,0.3212
