TechID,Year,Build_share,Share,Abatement_tCO2,Activity,Cap,Abate_per_activity
ELEC,2040,0.12,0.12,6000000.0,100000000.0,1.0,0.5
H2,2040,0.2,0.366666666666667,22000000.0,100000000.0,1.0,0.6
