Year,BaselineEmissions_MtCO2,AlternativeEmissions_MtCO2,TotalEmissions_MtCO2,EmissionReduction_MtCO2,CumulativeInvestment_Billion_USD,TotalProductionCost_Billion_USD,DeploymentFraction
2023,24.8669305,0.0,24.8669305,0.0,0.0,12.43346525,0.0
2024,24.8669305,0.0,24.8669305,0.0,0.0,12.43346525,0.1
2025,24.8669305,0.0,24.8669305,0.0,0.0,12.43346525,0.2
2026,24.8669305,0.0,24.8669305,0.0,0.0,12.43346525,0.30000000000000004
2027,24.8669305,0.0,24.8669305,0.0,0.0,12.43346525,0.4
2028,24.8669305,0.023926285714285324,24.843004214285713,0.023926285714285324,116.725,12.42471339330319,0.5
2029,24.8669305,0.07736914285714232,24.789561357142855,0.07736914285714232,163.38000000000002,12.414712326398238,0.6000000000000001
2030,24.8669305,0.19544784000000082,24.67148266,0.19544784000000082,579.25,12.393285649484296,0.7000000000000001
2031,24.8669305,0.43320576000000016,24.43372474,0.43320576000000016,778.96,12.34791323985436,0.8
2032,24.8669305,0.6258201600000001,24.24111034,0.6258201600000001,778.96,12.302971371272575,0.8
2033,24.8669305,0.8184345599999986,24.04849594,0.8184345599999986,778.96,12.257606256430261,0.8
2034,24.8669305,1.0110489599999997,23.85588154,1.0110489599999997,778.96,12.211809430402214,0.8
2035,24.8669305,1.2036633600000006,23.66326714,1.2036633600000006,778.96,12.165572258964717,0.8
2036,24.8669305,1.396277760000001,23.47065274,1.396277760000001,778.96,12.118885935209581,0.8
2037,24.8669305,1.5888921600000008,23.27803834,1.5888921600000008,778.96,12.071741476090454,0.8
2038,24.8669305,1.7815065599999989,23.08542394,1.7815065599999989,778.96,12.024129718900054,0.8
2039,24.8669305,1.9966281599999998,22.87030234,1.9966281599999998,799.36,11.978143536291729,0.8
2040,24.8669305,2.2178985599999996,22.64903194,2.2178985599999996,816.36,11.929993774739323,0.8
2041,24.8669305,2.371616160000001,22.495314339999997,2.371616160000001,842.88,11.88797278192699,0.8
2042,24.8669305,4.79659776,20.070332739999998,4.79659776,2014.62,12.032418870888744,0.8
2043,24.8669305,7.005819359999999,17.86111114,7.005819359999999,2826.18,12.011053767801883,0.8
2044,24.8669305,7.592287360000001,17.27464314,7.592287360000001,2826.18,11.809380694442197,0.8
2045,24.8669305,10.546348960000001,14.320581539999997,10.546348960000001,3697.58,11.807376625145315,0.8
2046,24.8669305,14.720295359999998,10.14663514,14.720295359999998,4968.04,11.854506636412191,0.8
2047,24.8669305,15.833933759999997,9.032996740000002,15.833933759999997,5167.24,11.557322478184084,0.8
2048,24.8669305,16.594425760000004,8.272504739999995,16.594425760000004,5237.24,11.214753470457284,0.8
2049,24.8669305,18.411950159999996,6.454980340000002,18.411950159999996,5799.64,10.948636172978553,0.8
2050,24.8669305,19.803724159999998,5.063206340000001,19.803724159999998,6068.88,10.60463294458856,0.8
