DeploymentID,Technology,Region,Company,TechGroup,DeploymentFraction,DeployedCapacity_kt,AbatementContribution_MtCO2,Investment_Million_USD,LCOA_USD_per_tCO2
BTX_MT_HeatPump_Yeosu_LG_Chem,Heat pump,Yeosu,LG Chem,BTX,1.0,800.0,0.18592000000000014,56000.0,-324.7853215937236
BTX_MT_HeatPump_Yeosu_Lotte_Chemical,Heat pump,Yeosu,Lotte Chemical,BTX,1.0,700.0,0.16268000000000013,49000.0,-320.96903193692333
BTX_MT_HeatPump_Yeosu_GS_Caltex,Heat pump,Yeosu,GS Caltex,BTX,1.0,600.0,0.13944000000000012,42000.0,-315.8806457278564
BTX_MT_HeatPump_Daesan_HD_Hyundai,Heat pump,Daesan,HD Hyundai Chemical,BTX,1.0,500.0,0.11620000000000007,33250.0,-308.9248916205781
NCC_MT_HeatPump_Yeosu_LG_Chem,Heat pump,Yeosu,LG Chem,NCC,1.0,3380.0,1.1729951999999995,270400.0,-303.19274891715776
BTX_MT_HeatPump_Ulsan_KPIC,Heat pump,Ulsan,Korea Petrochemical Ind. Co.,BTX,1.0,400.0,0.09296000000000007,25200.0,-299.475828270857
BTX_MT_HeatPump_Yeosu_Hanwha_Chemical,Heat pump,Yeosu,Hanwha Chemical,BTX,1.0,400.0,0.09296000000000007,28000.0,-298.0712939961221
NCC_MT_HeatPump_Yeosu_Lotte_Chemical,Heat pump,Yeosu,Lotte Chemical,NCC,1.0,1000.0,0.3470399999999998,80000.0,-291.67578118380874
NCC_MT_HeatPump_Yeosu_GS_Caltex,Heat pump,Yeosu,GS Caltex,NCC,1.0,900.0,0.3123359999999998,72000.0,-289.8584445386771
NCC_MT_HeatPump_Yeosu_Hanwha_Chemical,Heat pump,Yeosu,Hanwha Chemical,NCC,1.0,850.0,0.2949839999999998,68000.0,-288.78942298271727
NCC_MT_HeatPump_Ulsan_KPIC,Heat pump,Ulsan,Korea Petrochemical Ind. Co.,NCC,1.0,900.0,0.3123359999999998,64800.0,-288.7454297760679
NCC_MT_HeatPump_Daesan_HD_Hyundai,Heat pump,Daesan,HD Hyundai Chemical,NCC,1.0,850.0,0.2949839999999998,64600.0,-288.2863666792107
