year,annual_growth_rate_pct,cumulative_capacity_multiplier,operating_rate_pct,description
2025,0.0,1.000,70.0,Baseline year - 70% operating rate (Crisis)
2026,1.5,1.015,70.0,Flat 70% Operation
2027,1.5,1.030,70.0,Flat 70% Operation
2028,1.5,1.046,70.0,Flat 70% Operation
2029,1.5,1.061,70.0,Flat 70% Operation
2030,1.5,1.077,70.0,Flat 70% Operation
2031,1.3,1.091,70.0,Flat 70% Operation
2032,1.3,1.105,70.0,Flat 70% Operation
2033,1.3,1.119,70.0,Flat 70% Operation
2034,1.3,1.134,70.0,Flat 70% Operation
2035,1.3,1.149,70.0,Flat 70% Operation
2036,1.0,1.160,70.0,Flat 70% Operation
2037,1.0,1.172,70.0,Flat 70% Operation
2038,1.0,1.183,70.0,Flat 70% Operation
2039,1.0,1.195,70.0,Flat 70% Operation
2040,1.0,1.207,70.0,Flat 70% Operation
2041,0.8,1.217,70.0,Flat 70% Operation
2042,0.8,1.226,70.0,Flat 70% Operation
2043,0.8,1.236,70.0,Flat 70% Operation
2044,0.8,1.246,70.0,Flat 70% Operation
2045,0.8,1.256,70.0,Flat 70% Operation
2046,0.5,1.262,70.0,Flat 70% Operation
2047,0.5,1.269,70.0,Flat 70% Operation
2048,0.5,1.275,70.0,Flat 70% Operation
2049,0.5,1.282,70.0,Flat 70% Operation
2050,0.5,1.288,70.0,Flat 70% Operation
