product,process,company,location,capacity_kt,year_built,Naphtha_GJ_per_tonne,Electricity_kWh_per_tonne,LNG_GJ_per_tonne,Fuel_Gas_GJ_per_tonne,Byproduct_Gas_GJ_per_tonne,LPG_GJ_per_tonne,Fuel_Oil_GJ_per_tonne,Diesel_GJ_per_tonne
Ethylene,Naphtha Cracker,Lotte Chemical,Daesan,1100,1991,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0
Ethylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,850,2021,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0
Ethylene,Naphtha Cracker,LG Chem,Daesan,1300,1991,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0
Ethylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,1525,1991,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0
Ethylene,Naphtha Cracker,Lotte Chemical,Yeosu,1230,1992,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0
Ethylene,Naphtha Cracker,LG Chem,Yeosu,1030,2021,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0
Ethylene,Naphtha Cracker,Yeochon NCC,Yeosu,2285,1979,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0
Ethylene,Naphtha Cracker,GS Caltex,Yeosu,900,2021,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0
Ethylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,900,1991,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0
Ethylene,Naphtha Cracker,S-Oil,Onsan,182,2018,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0
Ethylene,Naphtha Cracker,SK Geocentric,Ulsan,660,1989,29.0,85.4205746214702,2.027110418853413,0,1.1230576324446726,5.223457774883809,0.0,0.0
Propylene,Naphtha Cracker,Lotte Chemical,Daesan,550,1997,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,HDHyundai Oilbank,Daesan,420,2011,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,HD Hyundai Chemical,Daesan,451,2021,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,LG Chem,Daesan,680,1991,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,1064,1991,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,Lotte Chemical,Yeosu,641,1992,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,LG Chem,Yeosu,1300,2021,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,Yeochon NCC,Yeosu,1289,1979,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,GS Caltex,Yeosu,970,2021,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,Daehan Oil Chemical,Onsan,560,1991,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,S-Oil,Onsan,840,2018,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,SK Advanced,Ulsan,600,2016,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,SK Energy,Ulsan,620,1996,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,SK Geocentric,Ulsan,380,1989,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,Taekwang Industrial,Ulsan,300,1997,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Propylene,Naphtha Cracker,Hyosung Chemical,Ulsan,500,1991,25.394594594594576,191.2697267479718,1.7752573062079895,0,1.229407787032236,4.803206853904518,0.0,0.0
Butadiene,Naphtha Cracker,Lotte Chemical,Daesan,190,1997,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Butadiene,Naphtha Cracker,HD Hyundai Chemical,Daesan,163,2021,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Butadiene,Naphtha Cracker,LG Chem,Daesan,200,1991,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Butadiene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,150,1991,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Butadiene,Naphtha Cracker,Kumho Petrochemical,Yeosu,147,1992,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Butadiene,Naphtha Cracker,Lotte GS Chemical,Yeosu,130,2022,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Butadiene,Naphtha Cracker,Lotte Chemical,Yeosu,160,2011,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Butadiene,Naphtha Cracker,LG Chem,Yeosu,306,1991,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Butadiene,Naphtha Cracker,Yeochon NCC,Yeosu,378,1992,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Butadiene,Naphtha Cracker,Kumho Petrochemical,Ulsan,90,1979,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Butadiene,Naphtha Cracker,Daehan Oil Chemical,Ulsan,146,2023,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Butadiene,Naphtha Cracker,SK Geocentric,Ulsan,130,1989,29.0,400.0412585578497,1.8796842065731645,0,1.1570896819126937,4.951204824192895,0.0,0.0
Benzene,BTX Plant,OCI,Gwangyang,200,1995,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,Lotte Chemical,Daesan,240,2011,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,HD Hyundai Chemical,Daesan,410,2016,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,HDHyundai Oilbank,Daesan,338,1997,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,LG Chem,Daesan,270,1991,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,Hanwha TotalEnergies,Daesan,1267,1991,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,Lotte Chemical,Yeosu,235,1992,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,LG Chem,Yeosu,630,1992,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,Yeochon NCC,Yeosu,457,1979,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,GS Caltex,Yeosu,930,1990,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,Daehan Oil Chemical,Onsan,210,2008,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,S-Oil,Onsan,672,1991,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,Lotte Chemical,Ulsan,110,1986,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,SK Geocentric,Ulsan,603,1972,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,Ulsan Aromatics,Ulsan,600,2014,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Benzene,BTX Plant,SK Incheon Petrochemical,Incheon,600,2006,0.0,36.59843431799011,1.1464400650544937,0,0.6351495474667186,2.954146560321256,0.0,0.0
Toluene,BTX Plant,OCI,Gwangyang,40,1995,0.0,26.838851833192752,1.528586753405991,0,0.8468660632889579,3.93886208042834,0.0,0.0
Toluene,BTX Plant,Lotte Chemical,Daesan,120,2011,0.0,26.838851833192752,1.528586753405991,0,0.8468660632889579,3.93886208042834,0.0,0.0
Toluene,BTX Plant,LG Chem,Daesan,100,2011,0.0,26.838851833192752,1.528586753405991,0,0.8468660632889579,3.93886208042834,0.0,0.0
Toluene,BTX Plant,Lotte Chemical,Yeosu,220,1992,0.0,26.838851833192752,1.528586753405991,0,0.8468660632889579,3.93886208042834,0.0,0.0
Toluene,BTX Plant,LG Chem,Yeosu,112,1992,0.0,26.838851833192752,1.528586753405991,0,0.8468660632889579,3.93886208042834,0.0,0.0
Toluene,BTX Plant,Yeochon NCC,Yeosu,282,1979,0.0,26.838851833192752,1.528586753405991,0,0.8468660632889579,3.93886208042834,0.0,0.0
Toluene,BTX Plant,GS Caltex,Yeosu,170,1990,0.0,26.838851833192752,1.528586753405991,0,0.8468660632889579,3.93886208042834,0.0,0.0
Toluene,BTX Plant,Daehan Oil Chemical,Onsan,78,2008,0.0,26.838851833192752,1.528586753405991,0,0.8468660632889579,3.93886208042834,0.0,0.0
Toluene,BTX Plant,S-Oil,Onsan,300,1991,0.0,26.838851833192752,1.528586753405991,0,0.8468660632889579,3.93886208042834,0.0,0.0
Toluene,BTX Plant,SK Geocentric,Ulsan,1506,2070,0.0,26.838851833192752,1.528586753405991,0,0.8468660632889579,3.93886208042834,0.0,0.0
Xylene,BTX Plant,Lotte Chemical,Daesan,60,2011,0.0,763.077355530094,1.7196600975817404,0,0.9527243212000776,4.431219840481883,0.0,0.0
Xylene,BTX Plant,HD Hyundai Chemical,Daesan,1350,2016,0.0,763.077355530094,1.7196600975817404,0,0.9527243212000776,4.431219840481883,0.0,0.0
Xylene,BTX Plant,Lotte Chemical,Yeosu,79,1992,0.0,763.077355530094,1.7196600975817404,0,0.9527243212000776,4.431219840481883,0.0,0.0
Xylene,BTX Plant,LG Chem,Yeosu,60,1992,0.0,763.077355530094,1.7196600975817404,0,0.9527243212000776,4.431219840481883,0.0,0.0
Xylene,BTX Plant,Yeochon NCC,Yeosu,204,1979,0.0,763.077355530094,1.7196600975817404,0,0.9527243212000776,4.431219840481883,0.0,0.0
Xylene,BTX Plant,GS Caltex,Yeosu,350,1990,0.0,763.077355530094,1.7196600975817404,0,0.9527243212000776,4.431219840481883,0.0,0.0
Xylene,BTX Plant,Daehan Oil Chemical,Onsan,47,2008,0.0,763.077355530094,1.7196600975817404,0,0.9527243212000776,4.431219840481883,0.0,0.0
Xylene,BTX Plant,S-Oil,Onsan,450,1991,0.0,763.077355530094,1.7196600975817404,0,0.9527243212000776,4.431219840481883,0.0,0.0
Xylene,BTX Plant,SK Geocentric,Ulsan,894,2070,0.0,763.077355530094,1.7196600975817404,0,0.9527243212000776,4.431219840481883,0.0,0.0
O-X,BTX Plant,Lotte Chemical,Ulsan,210,1980,0.0,3.659843431799011,0.0,0,0.0,0.0,0.0,0.0
O-X,BTX Plant,SK Geocentric,Ulsan,200,1990,0.0,3.659843431799011,0.0,0,0.0,0.0,0.0,0.0
M-X,BTX Plant,Lotte Chemical,Ulsan,360,1998,0.0,3.659843431799011,0.0,0,0.0,0.0,0.0,0.0
