year,naphtha_usd_per_gj,lng_usd_per_gj,fuel_gas_usd_per_gj,lpg_usd_per_gj,fuel_oil_usd_per_gj,diesel_usd_per_gj,electricity_usd_per_kwh
2025,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2026,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2027,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2028,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2029,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2030,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2031,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2032,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2033,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2034,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2035,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2036,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2037,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2038,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2039,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2040,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2041,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2042,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2043,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2044,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2045,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2046,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2047,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2048,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2049,15.0,12.0,10.0,14.0,13.0,16.0,0.1
2050,15.0,12.0,10.0,14.0,13.0,16.0,0.1
