facility_idx,product,process,company,location,complex,region,capacity_kt,year_built,total_fossil_kt,ncc_fossil_kt,btx_fossil_kt,low_temp_fossil_kt,elec_mwh,elec_emissions_kt,total_emissions_kt
30,Butadiene,Naphtha Cracker,Hanwha TotalEnergies,Daesan,Daesan Complex,Daesan,150,1991,319.0735145596224,271.2124873756791,0.0,47.861027183943364,15323.842401480042,0.0,319.0735145596224
31,Butadiene,Naphtha Cracker,Kumho Petrochemical,Yeosu,Yeosu Complex,Yeosu,147,1992,312.6920442684299,265.7882376281654,0.0,46.903806640264484,15017.365553450441,0.0,312.6920442684299
32,Butadiene,Naphtha Cracker,Lotte GS Chemical,Yeosu,Yeosu Complex,Yeosu,130,2022,276.5303792850061,235.05082239225518,0.0,41.479556892750914,13280.663414616036,0.0,276.5303792850061
33,Butadiene,Naphtha Cracker,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,160,2011,340.3450821969306,289.293319867391,0.0,51.05176232953959,16345.431894912044,0.0,340.3450821969306
34,Butadiene,Naphtha Cracker,LG Chem,Yeosu,Yeosu Complex,Yeosu,306,1991,650.9099697016298,553.2734742463854,0.0,97.63649545524447,31260.638499019286,0.0,650.9099697016298
35,Butadiene,Naphtha Cracker,Yeochon NCC,Yeosu,Yeosu Complex,Yeosu,378,1992,804.0652566902485,683.4554681867112,0.0,120.60978850353726,38616.082851729705,0.0,804.0652566902485
36,Butadiene,Naphtha Cracker,Kumho Petrochemical,Ulsan,Ulsan Complex,Ulsan,90,1979,191.44410873577345,162.72749242540743,0.0,28.716616310366017,9194.305440888025,0.0,191.44410873577345
37,Butadiene,Naphtha Cracker,Daehan Oil Chemical,Ulsan,Ulsan Complex,Ulsan,146,2023,310.56488750469913,263.98015437899426,0.0,46.584733125704865,14915.20660410724,0.0,310.56488750469913
38,Butadiene,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,130,1989,276.5303792850061,235.05082239225518,0.0,41.479556892750914,13280.663414616036,0.0,276.5303792850061
39,Benzene,BTX Plant,OCI,Gwangyang,Other Regions,Other,200,1995,66.36042471932275,0.0,53.0883397754582,13.27208494386455,1869.2359938125335,0.0,66.36042471932275
40,Benzene,BTX Plant,Lotte Chemical,Daesan,Daesan Complex,Daesan,240,2011,79.6325096631873,0.0,63.70600773054985,15.926501932637462,2243.0831925750404,0.0,79.6325096631873
41,Benzene,BTX Plant,HD Hyundai Chemical,Daesan,Daesan Complex,Daesan,410,2016,136.03887067461167,0.0,108.83109653968934,27.207774134922335,3831.9337873156937,0.0,136.03887067461167
42,Benzene,BTX Plant,HDHyundai Oilbank,Daesan,Daesan Complex,Daesan,338,1997,112.14911777565547,0.0,89.71929422052438,22.429823555131094,3159.0088295431815,0.0,112.14911777565547
43,Benzene,BTX Plant,LG Chem,Daesan,Daesan Complex,Daesan,270,1991,89.58657337108573,0.0,71.6692586968686,17.91731467421715,2523.4685916469202,0.0,89.58657337108573
44,Benzene,BTX Plant,Hanwha TotalEnergies,Daesan,Daesan Complex,Daesan,1267,1991,420.3932905969097,0.0,336.31463247752777,84.07865811938194,11841.6100208024,0.0,420.3932905969097
45,Benzene,BTX Plant,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,235,1992,77.97349904520424,0.0,62.37879923616339,15.594699809040847,2196.352292729727,0.0,77.97349904520424
46,Benzene,BTX Plant,LG Chem,Yeosu,Yeosu Complex,Yeosu,630,1992,209.03533786586667,0.0,167.22827029269334,41.807067573173335,5888.093380509481,0.0,209.03533786586667
47,Benzene,BTX Plant,Yeochon NCC,Yeosu,Yeosu Complex,Yeosu,457,1979,151.6335704836525,0.0,121.30685638692201,30.326714096730502,4271.20424586164,0.0,151.6335704836525
48,Benzene,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,Yeosu,930,1990,308.5759749448508,0.0,246.86077995588067,61.71519498897017,8691.947371228282,0.0,308.5759749448508
49,Benzene,BTX Plant,Daehan Oil Chemical,Onsan,Ulsan Complex,Ulsan,210,2008,69.6784459552889,0.0,55.74275676423112,13.93568919105778,1962.69779350316,0.0,69.6784459552889
50,Benzene,BTX Plant,S-Oil,Onsan,Ulsan Complex,Ulsan,672,1991,222.97102705692447,0.0,178.3768216455396,44.5942054113849,6280.632939210113,0.0,222.97102705692447
51,Benzene,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,Ulsan,110,1986,36.49823359562752,0.0,29.198586876502016,7.299646719125504,1028.0797965968934,0.0,36.49823359562752
52,Benzene,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,603,1972,200.07668052875812,0.0,160.06134442300652,40.01533610575163,5635.746521344789,0.0,200.07668052875812
53,Benzene,BTX Plant,Ulsan Aromatics,Ulsan,Ulsan Complex,Ulsan,600,2014,199.08127415796827,0.0,159.2650193263746,39.81625483159365,5607.7079814376,0.0,199.08127415796827
54,Benzene,BTX Plant,SK Incheon Petrochemical,Incheon,Other Regions,Other,600,2006,199.08127415796827,0.0,159.2650193263746,39.81625483159365,5607.7079814376,0.0,199.08127415796827
55,Toluene,BTX Plant,OCI,Gwangyang,Other Regions,Other,40,1995,17.696113258486065,0.0,14.156890606788853,3.539222651697213,274.1546124258383,0.0,17.696113258486065
56,Toluene,BTX Plant,Lotte Chemical,Daesan,Daesan Complex,Daesan,120,2011,53.08833977545818,0.0,42.47067182036655,10.617667955091637,822.4638372775149,0.0,53.08833977545818
57,Toluene,BTX Plant,LG Chem,Daesan,Daesan Complex,Daesan,100,2011,44.24028314621516,0.0,35.39222651697213,8.848056629243032,685.3865310645958,0.0,44.24028314621516
58,Toluene,BTX Plant,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,220,1992,97.32862292167337,0.0,77.8628983373387,19.465724584334676,1507.8503683421106,0.0,97.32862292167337
59,Toluene,BTX Plant,LG Chem,Yeosu,Yeosu Complex,Yeosu,112,1992,49.54911712376098,0.0,39.63929369900879,9.909823424752197,767.6329147923473,0.0,49.54911712376098
60,Toluene,BTX Plant,Yeochon NCC,Yeosu,Yeosu Complex,Yeosu,282,1979,124.75759847232676,0.0,99.80607877786142,24.951519694465354,1932.79001760216,0.0,124.75759847232676
61,Toluene,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,Yeosu,170,1990,75.20848134856577,0.0,60.16678507885262,15.041696269713155,1165.1571028098128,0.0,75.20848134856577
62,Toluene,BTX Plant,Daehan Oil Chemical,Onsan,Ulsan Complex,Ulsan,78,2008,34.50742085404782,0.0,27.60593668323826,6.901484170809565,534.6014942303847,0.0,34.50742085404782
63,Toluene,BTX Plant,S-Oil,Onsan,Ulsan Complex,Ulsan,300,1991,132.72084943864547,0.0,106.17667955091639,26.544169887729097,2056.1595931937873,0.0,132.72084943864547
64,Toluene,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,1506,2070,666.2586641820003,0.0,533.0069313456003,133.25173283640007,10321.921157832812,0.0,666.2586641820003
65,Xylene,BTX Plant,Lotte Chemical,Daesan,Daesan Complex,Daesan,60,2011,29.862191123695236,0.0,23.88975289895619,5.972438224739047,11692.0711412974,0.0,29.862191123695236
66,Xylene,BTX Plant,HD Hyundai Chemical,Daesan,Daesan Complex,Daesan,1350,2016,671.8993002831427,0.0,537.5194402265141,134.37986005662853,263071.60067919147,0.0,671.8993002831427
67,Xylene,BTX Plant,LG Chem,Daesan,Daesan Complex,Daesan,0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Xylene,BTX Plant,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,79,1992,39.31855164619873,0.0,31.454841316958984,7.863710329239746,15394.560336041575,0.0,39.31855164619873
69,Xylene,BTX Plant,LG Chem,Yeosu,Yeosu Complex,Yeosu,60,1992,29.862191123695236,0.0,23.88975289895619,5.972438224739047,11692.0711412974,0.0,29.862191123695236
70,Xylene,BTX Plant,Yeochon NCC,Yeosu,Yeosu Complex,Yeosu,204,1979,101.53144982056381,0.0,81.22515985645106,20.306289964112764,39753.041880411154,0.0,101.53144982056381
71,Xylene,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,Yeosu,350,1990,174.1961148882222,0.0,139.3568919105778,34.83922297764445,68203.74832423482,0.0,174.1961148882222
72,Xylene,BTX Plant,Daehan Oil Chemical,Onsan,Ulsan Complex,Ulsan,47,2008,23.392049713561267,0.0,18.713639770849014,4.678409942712253,9158.789060682964,0.0,23.392049713561267
73,Xylene,BTX Plant,S-Oil,Onsan,Ulsan Complex,Ulsan,450,1991,223.96643342771426,0.0,179.1731467421714,44.79328668554285,87690.5335597305,0.0,223.96643342771426
74,Xylene,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,894,2070,444.9466477430591,0.0,355.9573181944473,88.98932954861182,174211.86000533125,0.0,444.9466477430591
75,O-X,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,Ulsan,210,1980,0.0,0.0,0.0,0.0,196.26977935031604,0.0,0.0
76,O-X,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,200,1990,0.0,0.0,0.0,0.0,186.92359938125335,0.0,0.0
77,M-X,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,Ulsan,360,1998,0.0,0.0,0.0,0.0,336.46247888625606,0.0,0.0
78,P-X,BTX Plant,HDHyundai Oilbank,Daesan,Daesan Complex,Daesan,1460,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,P-X,BTX Plant,Hanwha TotalEnergies,Daesan,Daesan Complex,Daesan,2000,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,P-X,BTX Plant,GS Caltex,Yeosu,Yeosu Complex,Yeosu,1350,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,P-X,BTX Plant,S-Oil,Onsan,Ulsan Complex,Ulsan,1900,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,P-X,BTX Plant,Lotte Chemical,Ulsan,Ulsan Complex,Ulsan,750,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,P-X,BTX Plant,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,830,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,P-X,BTX Plant,Ulsan Aromatics,Ulsan,Ulsan Complex,Ulsan,1000,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,P-X,BTX Plant,SK Incheon Petrochemical,Incheon,Other Regions,Other,1500,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,C-H,Naphtha Cracker,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,160,1974,163.12735135135125,138.65824864864857,0.0,24.46910270270269,128.96499467420762,0.0,163.12735135135125
87,C-H,Naphtha Cracker,Caprolactam,Ulsan,Ulsan Complex,Ulsan,190,2000,193.7137297297296,164.65667027027015,0.0,29.05705945945944,153.14593117562154,0.0,193.7137297297296
88,SM,Utility,Lotte Chemical,Daesan,Daesan Complex,Daesan,350,2005,0.0,0.0,0.0,0.0,403.4459521948145,0.0,0.0
89,SM,Utility,LG Chem,Daesan,Daesan Complex,Daesan,577,2006,0.0,0.0,0.0,0.0,665.1094697611655,0.0,0.0
90,SM,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,Daesan,1071,1991,0.0,0.0,0.0,0.0,1234.5446137161323,0.0,0.0
91,SM,Utility,Yeochon NCC,Yeosu,Yeosu Complex,Yeosu,351,1986,0.0,0.0,0.0,0.0,404.598654915371,0.0,0.0
92,SM,Utility,SKpicglobal,Ulsan,Ulsan Complex,Ulsan,400,1990,0.0,0.0,0.0,0.0,461.0810882226451,0.0,0.0
93,EDC,Utility,LG Chem,Yeosu,Yeosu Complex,Yeosu,810,1996,0.0,0.0,0.0,0.0,933.6892036508563,0.0,0.0
94,EDC,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,Yeosu,1586,1980,0.0,0.0,0.0,0.0,1828.1865148027878,0.0,0.0
95,EDC,Utility,Hanwha Solutions,Ulsan,Ulsan Complex,Ulsan,385,1991,0.0,0.0,0.0,0.0,443.7905474142959,0.0,0.0
96,VCM,Utility,LG Chem,Daesan,Daesan Complex,Daesan,230,1997,0.0,0.0,0.0,0.0,265.1216257280209,0.0,0.0
97,VCM,Utility,LG Chem,Yeosu,Yeosu Complex,Yeosu,720,1990,0.0,0.0,0.0,0.0,829.9459588007611,0.0,0.0
98,VCM,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,Yeosu,583,1979,0.0,0.0,0.0,0.0,672.0256860845052,0.0,0.0
99,VCM,Utility,Hanwha Solutions,Ulsan,Ulsan Complex,Ulsan,264,1972,0.0,0.0,0.0,0.0,304.31351822694575,0.0,0.0
100,PC,Utility,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,480,2008,0.0,0.0,0.0,0.0,386.89498402262285,0.0,0.0
101,PC,Utility,LG Chem,Yeosu,Yeosu Complex,Yeosu,170,2001,0.0,0.0,0.0,0.0,137.02530684134558,0.0,0.0
102,PC,Utility,Samyang Chemical,Jeonju,Other Regions,Other,120,1999,0.0,0.0,0.0,0.0,96.72374600565571,0.0,0.0
103,LDPE,Utility,HD Hyundai Chemical,Daesan,Daesan Complex,Daesan,300,2021,0.0,0.0,0.0,0.0,570.0823346881366,0.0,0.0
104,LDPE,Utility,LG Chem,Daesan,Daesan Complex,Daesan,280,2006,0.0,0.0,0.0,0.0,532.0768457089275,0.0,0.0
105,LDPE,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,Daesan,435,1991,0.0,0.0,0.0,0.0,826.6193852977981,0.0,0.0
106,LDPE,Utility,LG Chem,Yeosu,Yeosu Complex,Yeosu,180,1990,0.0,0.0,0.0,0.0,342.0494008128819,0.0,0.0
107,LDPE,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,Yeosu,337,1979,0.0,0.0,0.0,0.0,640.3924892996735,0.0,0.0
108,LDPE,Utility,Lotte Chemical,Ulsan,Ulsan Complex,Ulsan,120,1972,0.0,0.0,0.0,0.0,228.03293387525466,0.0,0.0
109,LDPE,Utility,Lotte Chemical,Daesan,Daesan Complex,Daesan,500,2005,0.0,0.0,0.0,0.0,950.1372244802277,0.0,0.0
110,L-LDPE,Utility,LG Chem,Daesan,Daesan Complex,Daesan,125,2006,0.0,0.0,0.0,0.0,219.26243641851414,0.0,0.0
111,L-LDPE,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,Daesan,530,2004,0.0,0.0,0.0,0.0,929.6727304144999,0.0,0.0
112,L-LDPE,Utility,DL Chemical,Yeosu,Yeosu Complex,Yeosu,10,2010,0.0,0.0,0.0,0.0,17.540994913481132,0.0,0.0
113,L-LDPE,Utility,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,600,2019,0.0,0.0,0.0,0.0,1052.4596948088679,0.0,0.0
114,L-LDPE,Utility,LG Chem,Yeosu,Yeosu Complex,Yeosu,425,2021,0.0,0.0,0.0,0.0,745.4922838229481,0.0,0.0
115,L-LDPE,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,Yeosu,288,1986,0.0,0.0,0.0,0.0,505.18065350825657,0.0,0.0
116,L-LDPE,Utility,SSNC,Ulsan,Ulsan Complex,Ulsan,180,2015,0.0,0.0,0.0,0.0,315.73790844266034,0.0,0.0
117,L-LDPE,Utility,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,550,1990,0.0,0.0,0.0,0.0,964.7547202414622,0.0,0.0
118,HDPE,Utility,HD Hyundai Chemical,Daesan,Daesan Complex,Daesan,575,2021,0.0,0.0,0.0,0.0,874.12624652181,0.0,0.0
119,HDPE,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,Daesan,180,1991,0.0,0.0,0.0,0.0,273.6395206503057,0.0,0.0
120,HDPE,Utility,DL Chemical,Yeosu,Yeosu Complex,Yeosu,630,1980,0.0,0.0,0.0,0.0,957.73832227607,0.0,0.0
121,HDPE,Utility,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,360,1992,0.0,0.0,0.0,0.0,547.2790413006114,0.0,0.0
122,HDPE,Utility,LG Chem,Yeosu,Yeosu Complex,Yeosu,500,1992,0.0,0.0,0.0,0.0,760.1097795841825,0.0,0.0
123,HDPE,Utility,GS Caltex,Yeosu,Yeosu Complex,Yeosu,650,2021,0.0,0.0,0.0,0.0,988.1427134594373,0.0,0.0
124,HDPE,Utility,Daehan Oil Chemical,Onsan,Ulsan Complex,Ulsan,210,1976,0.0,0.0,0.0,0.0,319.2461074253567,0.0,0.0
125,HDPE,Utility,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,490,1990,0.0,0.0,0.0,0.0,744.9075839924989,0.0,0.0
126,PP,Utility,Lotte Chemical,Daesan,Daesan Complex,Daesan,500,2005,0.0,0.0,0.0,0.0,712.602918360171,0.0,0.0
127,PP,Utility,HD Hyundai Chemical,Daesan,Daesan Complex,Daesan,380,2021,0.0,0.0,0.0,0.0,541.5782179537299,0.0,0.0
128,PP,Utility,LG Chem,Daesan,Daesan Complex,Daesan,1117,2006,0.0,0.0,0.0,0.0,1591.954919616622,0.0,0.0
