year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,rdh_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,66.19312069636608,66.19312069636608,0,0,0.0,0.0,0,0.0,0.0,0.0,66.19312069636608,0.0,0.0
2026,63.24143496315145,63.88323850666776,0,0,0.0,0.6418035435163105,0,0.0,0.0,0.6418035435163105,63.24143496315145,0.0,0.0
2027,59.636708004784694,61.855502619938385,0,0,0.0,2.2187946151536906,0,0.0,0.0,2.2187946151536906,59.636708004784694,0.0,0.0
2028,55.355840326822275,59.77994976847596,0,0,0.0,4.424109441653684,0,0.0,0.0,4.424109441653684,55.355840326822275,0.0,0.0
2029,50.45992755068519,57.78729563404016,0,0,0.0,7.327368083354976,0,0.0,0.0,7.327368083354976,50.45992755068519,0.0,0.0
2030,45.45575440470471,56.45724093042124,0,0,3.6741184423615536,7.327368083354976,0,0.0,19.472827744516234,11.00148652571653,45.45575440470471,0.0,3747.6008112087848
2031,43.53396226475479,54.55305156937994,0,0,3.6917212212701713,7.327368083354976,0,0.0,19.56612247273191,11.019089304625147,43.53396226475479,0.0,3765.133179001768
2032,41.115321200611994,52.662741294577174,0,0,4.220052010610203,7.327368083354976,0,0.0,22.366275656234077,11.54742009396518,41.115321200611994,0.0,4278.670706240279
2033,38.20530317830088,50.78631010601294,0,0,5.253638844357084,7.327368083354976,0,0.0,27.84428587509255,12.58100692771206,38.20530317830088,0.0,5258.511024632322
2034,34.809380163846015,48.92375800368724,0,0,6.787009756486249,7.327368083354976,0,0.0,35.97115170937712,14.114377839841225,34.809380163846015,0.0,6675.34574743967
2035,31.38975333851489,47.7701533565445,0,0,9.053031934674632,7.327368083354976,0,0.0,47.981069253775544,16.380400018029608,31.38975333851489,0.0,8714.765707809214
2036,28.828730952390803,45.73618071385183,0,0,9.580081678106051,7.327368083354976,0,0.0,50.77443289396207,16.907449761461027,28.828730952390803,0.0,9176.461283055138
2037,25.941419460750534,43.72871428400318,0,0,10.459926739897671,7.327368083354976,0,0.0,55.43761172145766,17.787294823252648,25.941419460750534,0.0,9926.089275701597
2038,22.734952586573662,41.750507610117864,0,0,11.688186940189226,7.327368083354976,0,0.0,61.947390783002895,19.015555023544202,22.734952586573662,0.0,10943.088721543005
2039,19.216008383436495,39.80015895825088,0,0,13.256782491459411,7.327368083354976,0,0.0,70.26094720473488,20.584150574814387,19.216008383436495,0.0,12204.239544764234
2040,14.75165212343593,36.30332232607653,0,0,14.224302119285625,7.327368083354976,0,0.0,75.38880123221381,21.5516702026406,14.751652123435932,1.7763568394002505e-15,12958.904854468681
2041,13.26451988277456,36.14317902332424,0,0,15.551291057194703,7.327368083354976,0,0.0,82.42184260313192,22.87865914054968,13.264519882774557,0.0,13970.0704251554
2042,11.764328073943338,35.981883610480196,0,0,16.89018745318188,7.327368083354976,0,0.0,89.51799350186397,24.217555536536857,11.76432807394334,1.7763568394002505e-15,14966.20934376986
2043,10.251076696942269,35.820588197636155,0,0,18.24214341733891,7.327368083354976,0,0.0,96.6833601118962,25.569511500693885,10.25107669694227,1.7763568394002505e-15,15947.729373747863
2044,8.724952317030917,35.66044489488387,0,0,19.60812449449797,7.327368083354976,0,0.0,103.92305982083924,26.935492577852948,8.724952317030919,1.7763568394002505e-15,16914.84397637648
2045,7.185628445005039,35.499149482039826,0,0,20.98615295367981,7.327368083354976,0,0.0,111.22661065450299,28.313521037034786,7.18562844500504,8.881784197001252e-16,17865.68361321195
2046,5.748502756004031,35.33785406919579,0,0,22.261983229836787,7.327368083354976,0,0.0,117.98851111813497,29.589351313191763,5.748502756004029,0.0,18723.04155878944
2047,4.311377067003024,35.17655865635176,0,0,23.53781350599376,7.327368083354976,0,0.0,124.75041158176694,30.865181589348737,4.311377067003022,0.0,19557.4345593961
2048,2.8742513780020156,35.01526324350772,0,0,24.813643782150727,7.327368083354976,0,0.0,131.51231204539886,32.1410118655057,2.8742513780020147,0.0,20368.862615031932
2049,1.4371256890010071,34.853967830663684,0,0,26.0894740583077,7.327368083354976,0,0.0,138.27421250903083,33.41684214166268,1.4371256890010073,2.220446049250313e-16,21157.32572569694
2050,0.0,34.692672417819644,0,0,27.365304334464668,7.327368083354976,0,0.0,145.03611297266272,34.692672417819644,0.0,0.0,21922.82389139112
