Scenario,Emissions_2030_Mt,Reduction_2030_pct,Emissions_2050_Mt,Reduction_2050_pct
Conservative,48.0,8.0,20.0,61.5
Moderate,46.0,12.0,10.0,80.8
Aggressive,42.0,19.2,5.0,90.4
