year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,total_deployed_mt,actual_emissions_mt,cumulative_emissions_mt,budget_remaining_mt
2025,,52.00000000000003,3.8851907313962215,0.0,0.0,3.8851907313962215,48.11480926860381,48.11480926860381,951.8851907313962
2026,,51.85116444444448,3.8851907313962215,0.0,0.0,3.8851907313962215,47.96597371304826,96.08078298165206,903.9192170183479
2027,,51.70232888888892,3.8851907313962215,0.0,0.0,3.8851907313962215,47.8171381574927,143.89792113914476,856.1020788608553
2028,,51.55349333333336,3.8851907313962215,0.0,0.0,3.8851907313962215,47.668302601937135,191.5662237410819,808.4337762589181
2029,,51.40465777777781,3.8851907313962215,0.0,0.0,3.8851907313962215,47.519467046381585,239.08569078746348,760.9143092125365
2030,,51.25582222222226,3.8851907313962215,37.60323707441514,9.767394416410895,51.25582222222226,0.0,239.08569078746348,760.9143092125365
2031,,51.1069866666667,3.8851907313962215,37.60323707441514,9.618558860855337,51.1069866666667,0.0,239.08569078746348,760.9143092125365
2032,,50.95815111111114,3.8851907313962215,37.60323707441514,9.46972330529978,50.95815111111114,0.0,239.08569078746348,760.9143092125365
2033,,50.809315555555585,3.8851907313962215,37.60323707441514,9.320887749744223,50.809315555555585,0.0,239.08569078746348,760.9143092125365
2034,,50.660480000000035,3.8851907313962215,37.60323707441514,9.172052194188673,50.660480000000035,0.0,239.08569078746348,760.9143092125365
2035,,50.51164444444448,3.8851907313962215,37.60323707441514,9.023216638633116,50.51164444444448,0.0,239.08569078746348,760.9143092125365
2036,,50.36280888888892,3.8851907313962215,37.60323707441514,8.874381083077559,50.36280888888892,0.0,239.08569078746348,760.9143092125365
2037,,50.21397333333336,3.8851907313962215,37.60323707441514,8.725545527521994,50.21397333333336,0.0,239.08569078746348,760.9143092125365
2038,,50.065137777777814,3.8851907313962215,37.60323707441514,8.576709971966451,50.065137777777814,0.0,239.08569078746348,760.9143092125365
2039,,49.91630222222225,3.8851907313962215,37.60323707441514,8.427874416410887,49.91630222222225,0.0,239.08569078746348,760.9143092125365
2040,,49.7674666666667,3.8851907313962215,37.60323707441514,8.279038860855337,49.7674666666667,0.0,239.08569078746348,760.9143092125365
2041,,49.61863111111114,3.8851907313962215,37.60323707441514,8.13020330529978,49.61863111111114,0.0,239.08569078746348,760.9143092125365
2042,,49.469795555555585,3.8851907313962215,37.60323707441514,7.981367749744223,49.469795555555585,0.0,239.08569078746348,760.9143092125365
2043,,49.32096000000003,3.8851907313962215,37.60323707441514,7.832532194188666,49.32096000000003,0.0,239.08569078746348,760.9143092125365
2044,,49.17212444444448,3.8851907313962215,37.60323707441514,7.683696638633116,49.17212444444448,0.0,239.08569078746348,760.9143092125365
2045,,49.02328888888892,3.8851907313962215,37.60323707441514,7.534861083077558,49.02328888888892,0.0,239.08569078746348,760.9143092125365
2046,,48.87445333333336,3.8851907313962215,37.60323707441514,7.386025527522001,48.87445333333336,0.0,239.08569078746348,760.9143092125365
2047,,48.725617777777806,3.8851907313962215,37.60323707441514,7.237189971966444,48.725617777777806,0.0,239.08569078746348,760.9143092125365
2048,,48.576782222222256,3.8851907313962215,37.60323707441514,7.088354416410894,48.576782222222256,0.0,239.08569078746348,760.9143092125365
2049,,48.4279466666667,3.8851907313962215,37.60323707441514,6.939518860855337,48.4279466666667,0.0,239.08569078746348,760.9143092125365
2050,,48.27911111111114,3.8851907313962215,37.60323707441514,6.79068330529978,48.27911111111114,0.0,239.08569078746348,760.9143092125365
