year,target_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,total_deployed_mt,actual_emissions_mt
2025,52.00000000000003,0.0,0.0,0.0,0.0,52.00000000000003
2026,50.00000000000003,1.85116444444445,0.0,0.0,1.85116444444445,50.00000000000003
2027,48.00000000000003,3.7023288888888928,0.0,0.0,3.7023288888888928,48.00000000000003
2028,46.00000000000003,3.8851907313962215,0.0,0.0,3.8851907313962215,47.668302601937135
2029,44.00000000000002,3.8851907313962215,0.0,0.0,3.8851907313962215,47.519467046381585
2030,42.00000000000002,3.8851907313962215,5.370631490826014,0.0,9.255822222222235,42.00000000000002
2031,40.00000000000002,3.8851907313962215,7.221795935270457,0.0,11.106986666666678,40.00000000000002
2032,38.00000000000002,3.8851907313962215,9.0729603797149,0.0,12.958151111111121,38.00000000000002
2033,36.000000000000014,3.8851907313962215,10.92412482415935,0.0,14.809315555555571,36.000000000000014
2034,34.000000000000014,3.8851907313962215,12.7752892686038,0.0,16.66048000000002,34.000000000000014
2035,32.000000000000014,3.8851907313962215,14.626453713048242,0.0,18.511644444444464,32.000000000000014
2036,30.000000000000014,3.8851907313962215,16.477618157492685,0.0,20.362808888888907,30.000000000000014
2037,28.000000000000014,3.8851907313962215,18.32878260193712,0.0,22.213973333333342,28.000000000000014
2038,26.000000000000014,3.8851907313962215,20.179947046381578,0.0,24.0651377777778,26.000000000000014
2039,24.00000000000001,3.8851907313962215,22.031111490826017,0.0,25.91630222222224,24.00000000000001
2040,22.000000000000014,3.8851907313962215,23.882275935270464,0.0,27.767466666666685,22.000000000000014
2041,20.000000000000007,3.8851907313962215,25.733440379714914,0.0,29.618631111111135,20.000000000000007
2042,18.000000000000007,3.8851907313962215,27.584604824159356,0.0,31.469795555555578,18.000000000000007
2043,16.000000000000007,3.8851907313962215,29.4357692686038,0.0,33.32096000000002,16.000000000000007
2044,14.000000000000007,3.8851907313962215,31.28693371304825,0.0,35.17212444444447,14.000000000000007
2045,12.0,3.8851907313962215,33.1380981574927,0.0,37.02328888888892,12.0
2046,10.000000000000007,3.8851907313962215,34.989262601937135,0.0,38.874453333333356,10.000000000000007
2047,8.0,3.8851907313962215,36.840427046381585,0.0,40.725617777777806,8.0
2048,6.0,3.8851907313962215,37.60323707441514,1.088354416410894,42.576782222222256,6.0
2049,4.0,3.8851907313962215,37.60323707441514,2.939518860855337,44.4279466666667,4.0
2050,2.0,3.8851907313962215,37.60323707441514,4.79068330529978,46.27911111111114,2.0
