year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt
2025,52.0,52.00000000000003,2.842170943040401e-14,0.0,0,0.0,0.0,1.3216094885137865e-16,2.842170943040401e-14,52.0,0
2026,51.85116444444448,51.85116444444448,0.0,0.0,0,0.0,0.0,0.0,0.0,51.85116444444448,0
2027,51.70232888888892,51.70232888888892,0.0,0.0,0,0.0,0.0,0.0,0.0,51.70232888888892,0
2028,51.55349333333336,51.55349333333336,0.0,0.0,0,0.0,0.0,0.0,0.0,51.55349333333336,0
2029,51.40465777777781,51.40465777777781,0.0,0.0,0,0.0,0.0,0.0,0.0,51.40465777777781,0
2030,42.0,51.25582222222226,5.112176825659369,0.0,0,4.143645396562888,0.0,0.02377162223931607,9.255822222222257,42.0,0
2031,51.1069866666667,51.1069866666667,0.0,0.0,0,0.0,0.0,0.0,0.0,51.1069866666667,0
2032,50.95815111111114,50.95815111111114,0.0,0.0,0,0.0,0.0,0.0,0.0,50.95815111111114,0
2033,50.809315555555585,50.809315555555585,0.0,0.0,0,0.0,0.0,0.0,0.0,50.809315555555585,0
2034,50.660480000000035,50.660480000000035,0.0,0.0,0,0.0,0.0,0.0,0.0,50.660480000000035,0
2035,32.0,50.51164444444448,5.112176825659369,6.379514121809393,0,7.019953496975717,3.5679609182379157,0.02377162223931607,18.511644444444478,32.0,0
2036,50.36280888888892,50.36280888888892,0.0,0.0,0,0.0,0.0,0.0,0.0,50.36280888888892,0
2037,50.21397333333336,50.21397333333336,0.0,0.0,0,0.0,0.0,0.0,0.0,50.21397333333336,0
2038,50.065137777777814,50.065137777777814,0.0,0.0,0,0.0,0.0,0.0,0.0,50.065137777777814,0
2039,49.91630222222225,49.91630222222225,0.0,0.0,0,0.0,0.0,0.0,0.0,49.91630222222225,0
2040,22.0,49.7674666666667,5.112176825659369,22.65528984100733,0,0.0,12.670743758952646,0.02377162223931607,27.7674666666667,22.0,0
2041,49.61863111111114,49.61863111111114,0.0,0.0,0,0.0,0.0,0.0,0.0,49.61863111111114,0
2042,49.469795555555585,49.469795555555585,0.0,0.0,0,0.0,0.0,0.0,0.0,49.469795555555585,0
2043,49.32096000000003,49.32096000000003,0.0,0.0,0,0.0,0.0,0.0,0.0,49.32096000000003,0
2044,49.17212444444448,49.17212444444448,0.0,0.0,0,0.0,0.0,0.0,0.0,49.17212444444448,0
2045,12.0,49.02328888888892,5.112176825659369,31.911112063229552,0,0.0,17.847378111425925,0.02377162223931607,37.02328888888892,12.0,0
2046,48.87445333333336,48.87445333333336,0.0,0.0,0,0.0,0.0,0.0,0.0,48.87445333333336,0
2047,48.725617777777806,48.725617777777806,0.0,0.0,0,0.0,0.0,0.0,0.0,48.725617777777806,0
2048,48.576782222222256,48.576782222222256,0.0,0.0,0,0.0,0.0,0.0,0.0,48.576782222222256,0
2049,48.4279466666667,48.4279466666667,0.0,0.0,0,0.0,0.0,0.0,0.0,48.4279466666667,0
2050,5.0,48.27911111111114,5.112176825659369,31.673477300749237,0,6.493456984702537,17.714472763282576,0.02377162223931607,43.27911111111115,4.999999999999993,0
