location,year,num_facilities,total_baseline_emissions_kt,total_abatement_mt,total_emissions_2050_kt,heat_pump_avg_pct,heat_pump_num_facilities,ncc_h2_avg_pct,ncc_h2_num_facilities,ncc_elec_avg_pct,ncc_elec_num_facilities,re_ppa_avg_pct,re_ppa_num_facilities
Daesan,2050,57,17732.266272983077,14.583304803828739,3148.961469154334,0.6260210660751844,13,4.998427024797303,13,14.845392770041668,13,40.072464850068435,22
Yeosu,2050,87,21054.081726682656,17.25409592878224,3799.985797900416,0.4101517329458105,13,3.27483149900513,13,9.726291814854886,13,29.83451536643026,25
Onsan,2050,14,5132.071603998333,4.1887530955251995,943.3185084731327,0.7842461706875936,4,6.261765723372447,4,18.597525008623627,4,74.16008105369808,10
Ulsan,2050,71,7967.973640842497,6.131838289840479,1836.135351002018,0.42526024748552604,11,2.7781073279750994,9,8.251014616502033,9,21.934671860952953,15
Gwangyang,2050,3,34.16410705106488,0.0100141033285674,24.15000372249741,0.0,0,0.0,0,0.0,0,69.21607565011821,2
Incheon,2050,2,82.01705545999384,0.0261996889410195,55.81736651897427,0.0,0,0.0,0,0.0,0,51.91205673758866,1
Jeonju,2050,3,0.7544452188441143,0.0,0.7544452188441143,0.0,0,0.0,0,0.0,0,0.0,0
Gunsan,2050,3,1.347316410518103,0.0,1.347316410518103,0.0,0,0.0,0,0.0,0,0.0,0
Pohang,2050,2,0.3627140475212088,0.0,0.3627140475212088,0.0,0,0.0,0,0.0,0,0.0,0
Gumi,2050,1,0.1886113047110286,0.0,0.1886113047110286,0.0,0,0.0,0,0.0,0,0.0,0
Gimcheon,2050,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
Busan/Iksan/Siheung,2050,1,1.9223844518624071,0.0,1.9223844518624071,0.0,0,0.0,0,0.0,0,0.0,0
Naju,2050,2,0.6528852855381759,0.0,0.6528852855381759,0.0,0,0.0,0,0.0,0,0.0,0
진해,2050,1,0.5130741012193226,0.0,0.5130741012193226,0.0,0,0.0,0,0.0,0,0.0,0
