location,year,num_facilities,total_baseline_emissions_kt,total_abatement_mt,total_emissions_2050_kt,heat_pump_avg_pct,heat_pump_num_facilities,ncc_h2_avg_pct,ncc_h2_num_facilities,ncc_elec_avg_pct,ncc_elec_num_facilities,re_ppa_avg_pct,re_ppa_num_facilities
Daesan,2050,57,17732.266272983077,18.030859360549414,-298.59308756634243,0.6260210660751844,13,11.05633117147832,13,14.845392770041668,13,40.119056261343026,22
Yeosu,2050,87,21054.081726682656,21.534104874618805,-480.02314793614687,0.4101517329458105,13,7.24380318131338,13,9.726291814854886,13,29.869203329369803,25
Onsan,2050,14,5132.071603998333,5.1533934081803245,-21.321804181992917,0.7842461706875936,4,13.850788500533278,4,18.597525008623627,4,74.24630541871922,10
Ulsan,2050,71,7967.973640842497,7.4395923696142106,528.3812712282858,0.42526024748552604,11,6.145068137560538,9,8.251014616502033,9,21.960174842156388,15
Gwangyang,2050,3,34.16410705106488,0.010025746515690399,24.13836053537445,0.0,0,0.0,0,0.0,0,69.29655172413793,2
Incheon,2050,2,82.01705545999384,0.0262301507677947,55.7869046921991,0.0,0,0.0,0,0.0,0,51.97241379310346,1
Jeonju,2050,3,0.7544452188441143,0.0,0.7544452188441143,0.0,0,0.0,0,0.0,0,0.0,0
Gunsan,2050,3,1.347316410518103,0.0,1.347316410518103,0.0,0,0.0,0,0.0,0,0.0,0
Pohang,2050,2,0.3627140475212088,0.0,0.3627140475212088,0.0,0,0.0,0,0.0,0,0.0,0
Gumi,2050,1,0.1886113047110286,0.0,0.1886113047110286,0.0,0,0.0,0,0.0,0,0.0,0
Gimcheon,2050,1,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0
Busan/Iksan/Siheung,2050,1,1.9223844518624071,0.0,1.9223844518624071,0.0,0,0.0,0,0.0,0,0.0,0
Naju,2050,2,0.6528852855381759,0.0,0.6528852855381759,0.0,0,0.0,0,0.0,0,0.0,0
진해,2050,1,0.5130741012193226,0.0,0.5130741012193226,0.0,0,0.0,0,0.0,0,0.0,0
