scenario,emissions_2030_mt,emissions_2050_mt,cumulative_2025_2050_mt,total_heat_pump_2050_mt,total_ncc_h2_2050_mt,total_ncc_elec_2050_mt,total_re_ppa_2050_mt,reduction_2030_pct,reduction_2050_pct
Conservative,48.0,20.000000000000004,1072.5582222222222,5.112176825659369,16.673477300749234,0,6.493456984702537,7.6923076923076925,61.53846153846153
Moderate,46.0,10.0,962.5582222222222,5.112176825659369,26.673477300749234,0,6.493456984702537,11.538461538461538,80.76923076923077
Aggressive,42.0,5.0,797.5582222222222,5.112176825659369,31.146980788476057,0,7.019953496975717,19.230769230769234,90.38461538461539
