Year,Technology,Cost ($/tCO2),Cost ($/ton ethylene),Cost (₩/ton ethylene),Cost ($/boe),Abatement (MtCO2)
2025,Heat_Pump,195.0,98.0,126884.0,20.0,0.81
2025,NCC-H2,759.0,1320.0,1715977.0,268.0,20.8
2025,NCC-Electricity,308.0,490.0,636467.0,99.0,19.01
2025,RE_PPA,225.0,90.0,117000.0,18.0,4.12
2030,Heat_Pump,160.0,80.0,104177.0,16.0,0.87
2030,NCC-H2,477.0,830.0,1079433.0,168.0,22.4
2030,NCC-Electricity,259.0,411.0,534523.0,83.0,20.47
2030,RE_PPA,208.0,83.0,108333.0,17.0,4.38
2040,Heat_Pump,125.0,63.0,81470.0,13.0,0.98
2040,NCC-H2,367.0,639.0,830686.0,130.0,25.11
2040,NCC-Electricity,200.0,317.0,412426.0,64.0,22.94
2040,RE_PPA,214.0,86.0,111429.0,17.0,4.75
2050,Heat_Pump,104.0,52.0,67891.0,11.0,1.04
2050,NCC-H2,276.0,480.0,624079.0,97.0,26.79
2050,NCC-Electricity,165.0,262.0,340846.0,53.0,24.48
2050,RE_PPA,250.0,100.0,130000.0,20.0,4.78
