FacilityID,Company,Region,ProcessType,Capacity_kt,Energy_Emissions_ktCO2,Feedstock_Emissions_ktCO2,Old_Total_ktCO2,New_Total_ktCO2,Old_Intensity_tCO2_per_t,New_Intensity_tCO2_per_t
F001,LG Chem,Yeosu,NCC,2200,1.99411872,1.65418,3.6482987199999997,1.99411872,1.6583176,0.9064175999999999
F001,LG Chem,Yeosu,BTX,1200,0.9096595199999999,1.3326,2.24225952,0.9096595199999999,1.8685496000000001,0.7580496
F001,LG Chem,Yeosu,C4,400,0.20939423999999998,0.2992,0.50859424,0.20939423999999998,1.2714855999999999,0.5234855999999999
F002,GS Caltex,Yeosu,NCC,1800,1.6686324,1.35342,3.0220523999999997,1.6686324,1.6789179999999997,0.927018
F002,GS Caltex,Yeosu,BTX,900,0.6977502,0.99945,1.6972002,0.6977502,1.885778,0.7752779999999999
F002,GS Caltex,Yeosu,C4,300,0.1606149,0.22440000000000002,0.38501490000000005,0.1606149,1.2833830000000002,0.535383
F003,Lotte Chemical,Yeosu,NCC,1600,1.36786656,1.2030399999999999,2.57090656,1.36786656,1.6068166,0.8549165999999999
F003,Lotte Chemical,Yeosu,BTX,800,0.57198288,0.8884000000000001,1.46038288,0.57198288,1.8254786,0.7149786
F003,Lotte Chemical,Yeosu,C4,250,0.12343552499999999,0.187,0.310435525,0.12343552499999999,1.2417421,0.49374209999999996
F004,여천NCC,Yeosu,NCC,1200,1.08770112,0.90228,1.98998112,1.08770112,1.6583176,0.9064175999999999
F004,여천NCC,Yeosu,BTX,600,0.4548297599999999,0.6663,1.1211297599999999,0.4548297599999999,1.8685495999999997,0.7580495999999999
F004,여천NCC,Yeosu,C4,200,0.10469711999999999,0.1496,0.25429712,0.10469711999999999,1.2714855999999999,0.5234855999999999
F005,한화 토탈,Daesan,NCC,1000,1.0403201999999998,0.7519,1.7922201999999998,1.0403201999999998,1.7922201999999998,1.0403201999999998
F005,한화 토탈,Daesan,BTX,500,0.4350171,0.55525,0.9902671000000001,0.4350171,1.9805342000000001,0.8700342
F005,한화 토탈,Daesan,C4,200,0.12016373999999999,0.1496,0.26976374000000003,0.12016373999999999,1.3488187000000003,0.6008186999999999
F006,현대케미칼,Daesan,NCC,800,0.8404963199999999,0.6015199999999999,1.4420163199999998,0.8404963199999999,1.8025203999999997,1.0506204
F006,현대케미칼,Daesan,BTX,400,0.35145936,0.44420000000000004,0.79565936,0.35145936,1.9891484,0.8786484
F006,현대케미칼,Daesan,C4,150,0.09101511000000001,0.11220000000000001,0.20321511000000003,0.09101511000000001,1.3547674000000003,0.6067674000000001
F007,SK Chemicals,Ulsan,NCC,900,0.8343162,0.67671,1.5110261999999999,0.8343162,1.6789179999999997,0.927018
F007,SK Chemicals,Ulsan,BTX,450,0.3488751,0.499725,0.8486001,0.3488751,1.885778,0.7752779999999999
F007,SK Chemicals,Ulsan,C4,180,0.09636894,0.13464000000000004,0.23100894000000005,0.09636894,1.2833830000000004,0.5353829999999999
F008,대한유화,Ulsan,NCC,800,0.8487364799999999,0.6015199999999999,1.4502564799999997,0.8487364799999999,1.8128205999999998,1.0609206
F008,대한유화,Ulsan,BTX,350,0.31054191,0.388675,0.69921691,0.31054191,1.9977626,0.8872625999999999
F008,대한유화,Ulsan,C4,120,0.073525932,0.08976,0.16328593200000002,0.073525932,1.3607161000000003,0.6127161
