FacilityID,Company,Region,Capacity_kt_per_year,Total_Emissions_ktCO2,Emission_Intensity_tCO2_per_t,Emissions_Share_Pct
F001,LG Chem,Yeosu,3800,8831.22198,1763.4834666666666,21.7
F002,GS Caltex,Yeosu,3000,7097.649270000001,1763.4834666666668,17.4
F003,Lotte Chemical,Yeosu,2650,6294.87844,1763.4834666666668,15.4
F004,여천NCC,Yeosu,2000,4731.76618,1763.4834666666666,11.6
F005,한화 토탈,Daesan,1700,3971.4247500000006,1763.4834666666668,9.7
F007,SK Chemicals,Ulsan,1530,3574.2822750000005,1763.4834666666668,8.8
F006,현대케미칼,Daesan,1350,3168.65392,1763.4834666666666,7.8
F008,대한유화,Ulsan,1270,3079.180755,1763.4834666666666,7.6
