metric,value,target,unit,tolerance_pct,lower_bound,upper_bound,status,deviation_pct
total_emissions_mtco2,52.000000000000014,52.0,MtCO₂,3.0,50.44,53.56,PASS,2.7328566760003854e-14
direct_emission_share,0.9266642270119518,0.64,%,5.0,0.608,0.672,FAIL,44.79128547061747
indirect_emission_share,0.07333577298804791,0.34,%,5.0,0.323,0.35700000000000004,FAIL,78.43065500351533
byproduct_of_direct_share,0.0,0.7,%,5.0,0.6649999999999999,0.735,FAIL,100.0
total_energy_mtoe,111.37957332598637,67.7,Mtoe,5.0,64.315,71.08500000000001,FAIL,64.51931067353969
naphtha_energy_share,0.9993457835813734,0.829,%,5.0,0.78755,0.87045,FAIL,20.548345425979907
ncc_emission_share,0.867839518625425,0.46,%,5.0,0.437,0.48300000000000004,FAIL,88.66076491857064
utility_electricity_mtoe,0.07286634556947537,4.0,Mtoe,10.0,3.6,4.4,FAIL,98.17834136076311
VALIDATION_SUMMARY,1.0,8.0,checks passed,,,,FAIL,
