check_type,category,metric,value,target,unit,tolerance_pct,deviation_pct,status,severity,notes
baseline_validation,emissions,total_emissions_mtco2,52.000000000000014,52.0,MtCO₂,3.0,2.7328566760003854e-14,PASS,LOW,Within ±3.0% tolerance
baseline_validation,emissions,direct_emission_share,0.9266642270119518,0.64,%,5.0,44.79128547061747,FAIL,HIGH,Deviation: 44.8%
baseline_validation,emissions,indirect_emission_share,0.07333577298804791,0.34,%,5.0,78.43065500351533,FAIL,HIGH,Deviation: 78.4%
baseline_validation,energy,byproduct_of_direct_share,0.0,0.7,%,5.0,100.0,FAIL,HIGH,Deviation: 100.0%
baseline_validation,energy,total_energy_mtoe,111.37957332598637,67.7,Mtoe,5.0,64.51931067353969,FAIL,HIGH,Deviation: 64.5%
baseline_validation,energy,naphtha_energy_share,0.9993457835813734,0.829,%,5.0,20.548345425979907,FAIL,HIGH,Deviation: 20.5%
baseline_validation,emissions,ncc_emission_share,0.867839518625425,0.46,%,5.0,88.66076491857064,FAIL,HIGH,Deviation: 88.7%
baseline_validation,energy,utility_electricity_mtoe,0.07286634556947537,4.0,Mtoe,10.0,98.17834136076311,FAIL,HIGH,Deviation: 98.2%
facility_count,data_quality,total_facilities,87.0,,facilities,,0.0,PASS,INFO,87 facilities with non-zero emissions
calibration,data_quality,calibration_factor,0.8466216653180635,1.0,ratio,,15.33783346819365,PASS,INFO,Applied 0.8466× factor to match 52 MtCO₂ target
