company,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
LG Chem,11362.06769333808,15462,45,11.36206769333808,17.165027987510864
Yeochon NCC,9471.656058211656,5246,7,9.471656058211657,14.30912451107875
Lotte Chemical,9307.206431484054,11372,31,9.307206431484053,14.060685360608794
Hanwha TotalEnergies,6593.08845093584,9040,11,6.5930884509358405,9.960383166067881
HD Hyundai Chemical,5320.2206692629,4479,8,5.3202206692629,8.03742233829289
GS Caltex,5019.422606947182,6050,8,5.019422606947183,7.582997378189399
SK Geocentric,4978.483615051036,6803,12,4.9784836150510365,7.521149573666119
Daehan Oil Chemical,3788.7136783813207,2783,9,3.788713678381321,5.723727237095376
S-Oil,3218.6448694695296,4894,7,3.2186448694695295,4.86250661036779
SK Energy,1323.1289096024714,620,1,1.3231289096024714,1.9988918722714182
SK Advanced,1280.4473318733594,600,1,1.2804473318733594,1.934411489294921
Hyosung Chemical,1068.5628422273885,920,3,1.0685628422273885,1.6143110205197675
HDHyundai Oilbank,1022.6777898199515,2218,3,1.0226777898199515,1.5449910490110725
Taekwang Industrial,645.3550834622182,1590,3,0.6453550834622181,0.9749579362219849
Kumho Petrochemical,624.438312111694,2728,12,0.624438312111694,0.9433583211404247
Lotte GS Chemical,336.2933646507783,130,1,0.3362933646507783,0.5080488140049884
Ulsan Aromatics,224.3159600744375,1600,2,0.2243159600744375,0.3388810766354338
SK Incheon Petrochemical,224.3159600744375,2100,2,0.2243159600744375,0.3388810766354338
Caprolactam,195.38221434832718,460,2,0.19538221434832717,0.29516996976855553
OCI,94.78993784844512,540,6,0.09478993784844512,0.1432020984223652
Hanwha Solutions,25.42495994852778,4653,14,0.025424959948527778,0.03841027538972578
Hanwha Impact,7.254280950424178,2000,2,0.007254280950424178,0.010959267177778537
Kumho P&B Chemical,6.848041217200424,1888,4,0.006848041217200424,0.010345548215822939
Samnam Petrochemical,5.440710712818134,1500,1,0.005440710712818133,0.008219450383333902
DL Chemical,4.38875692735298,640,2,0.00438875692735298,0.0066302311798904475
Lotte INEOS Chemical,4.243754355998144,1170,2,0.004243754355998144,0.0064111712990004436
Korea INEOS Styrolution,4.145638737852129,542,2,0.0041456387378521285,0.006262944992227447
Ulsan PP,3.848055759144923,600,1,0.003848055759144923,0.0058133771586269655
Dongseo Petrochemical,3.122671669987864,602,1,0.003122671669987864,0.004717516921904689
Poly Mirae,2.5974376374228227,405,1,0.0025974376374228226,0.0039240295820732
BASF Korea,2.3548702974236195,614,4,0.0023548702974236194,0.0035575755798334784
Kumho Mitsui Chemical,2.2125556898793746,610,1,0.0022125556898793747,0.0033425764892224545
SKpicglobal,2.074864897001903,400,1,0.002074864897001903,0.0031345627388071023
HDC Hyundai EP,1.929158620584654,228,2,0.001929158620584654,0.0029144397488583174
Kukdo Chemical,1.9223844518624071,530,1,0.0019223844518624072,0.0029042058021113122
LXMMA,1.5587454450183302,380,2,0.0015587454450183302,0.002354845078491523
SSNC,1.4208205879919715,180,1,0.0014208205879919715,0.0021464777201084173
Lotte MCC,1.2426567802059156,297,3,0.0012426567802059157,0.0018773201310542476
Kumho Polychem,1.1244135473157477,310,1,0.0011244135473157477,0.0016986864125556733
KPX Chemical,1.0808878616132025,298,1,0.0010808878616132024,0.0016329308094890018
PU Core,0.7979709045466595,220,1,0.0007979709045466595,0.001205519389555639
Aekyung Chemical,0.7907166235962354,218,2,0.0007907166235962354,0.0011945601223778606
Lotte Versalis Elastomers,0.7109195331415695,196,2,0.0007109195331415695,0.0010740081834222967
Korea Alcohol Industrial,0.7000381117159332,193,2,0.0007000381117159332,0.001057569282655629
Birla Carbon Korea,0.7000381117159332,193,1,0.0007000381117159332,0.001057569282655629
ISU Chemical,0.652885285538176,180,1,0.0006528852855381761,0.0009863340460000683
Samyang Innochem,0.652885285538176,180,1,0.0006528852855381761,0.0009863340460000683
Orion Engineered Carbons,0.6166138807860552,170,1,0.0006166138807860552,0.0009315377101111758
SK Chemical,0.5803424760339342,160,1,0.0005803424760339341,0.0008767413742222828
Arkema,0.5130741012193226,100,1,0.0005130741012193226,0.0007751169544835947
SH Energy Chemical,0.5130741012193226,100,1,0.0005130741012193226,0.0007751169544835947
Kolon Industries,0.4969182451040562,137,4,0.0004969182451040561,0.0007507098016778297
HD Hyundai OCI,0.4932911046288441,136,1,0.0004932911046288441,0.0007452301680889405
Samyang Chemical,0.4352568570254507,120,1,0.0004352568570254507,0.0006575560306667122
Hansol Chemical,0.31918836181866383,88,2,0.0003191883618186638,0.0004822077558222556
Bluecube Chemical,0.18861130471102863,52,1,0.00018861130471102864,0.000284940946622242
Korea Trinseo,0.15596704043411982,43,1,0.00015596704043411983,0.00023562424432223855
Yongsan Chemical,0.1378313380580594,38,1,0.0001378313380580594,0.00020822607637779224
Korea PTG,0.10881421425636267,30,1,0.00010881421425636267,0.00016438900766667806
Downing Chemical,0.10881421425636267,30,1,0.00010881421425636267,0.00016438900766667806
