product_group,emissions_kt,capacity_kt,n_facilities,emissions_mt,share_pct
Olefins,56486.264365845665,25317,39,56.48626436584566,85.33555114428484
Aromatics,9094.836480317505,14374,37,9.094836480317504,13.739851490060959
Other,477.60679547597147,39315,108,0.47760679547597146,0.7215353959013319
Polymers,123.69485462268808,18105,57,0.12369485462268809,0.18686965249770854
Intermediates,10.718200104251723,2955,7,0.010718200104251722,0.016192317255167784
