year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,57.82112069636608,8.372000000000002,66.19312069636608,0.436,248,0,1.0,1.0,100066.0
2026,39.954394401188964,5.554180658715597,45.50857505990456,0.4186,248,0,1.0,0.691,69145.606
2027,39.954394401188964,5.323309317431193,45.27770371862015,0.4012,248,0,1.0,0.691,69145.606
2028,39.954394401188964,5.092437976146789,45.04683237733575,0.3838,248,0,1.0,0.691,69145.606
2029,39.954394401188964,4.8615666348623865,44.81596103605135,0.3664,248,0,1.0,0.691,69145.606
2030,39.954394401188964,4.630695293577982,44.58508969476695,0.349,248,0,1.0,0.691,69145.606
2031,39.954394401188964,4.446263589908257,44.40065799109722,0.3351,248,0,1.0,0.691,69145.606
2032,39.954394401188964,4.261831886238532,44.216226287427496,0.3212,248,0,1.0,0.691,69145.606
2033,39.954394401188964,4.077400182568808,44.03179458375777,0.3073,248,0,1.0,0.691,69145.606
2034,39.954394401188964,3.892968478899083,43.84736288008805,0.2934,248,0,1.0,0.691,69145.606
2035,39.954394401188964,3.7085367752293585,43.662931176418326,0.2795,248,0,1.0,0.691,69145.606
2036,39.954394401188964,3.338346521100918,43.29274092228988,0.2516,248,0,1.0,0.691,69145.606
2037,39.954394401188964,2.966829420183486,42.92122382137245,0.2236,248,0,1.0,0.691,69145.606
2038,39.954394401188964,2.5966391660550463,42.551033567244005,0.1957,248,0,1.0,0.691,69145.606
2039,39.954394401188964,2.2264489119266058,42.18084331311557,0.1678,248,0,1.0,0.691,69145.606
2040,39.954394401188964,1.8549318110091746,41.80932621219814,0.1398,248,0,1.0,0.691,69145.606
2041,39.954394401188964,1.67050010733945,41.62489450852841,0.1259,248,0,1.0,0.691,69145.606
2042,39.954394401188964,1.484741556880734,41.4391359580697,0.1119,248,0,1.0,0.691,69145.606
2043,39.954394401188964,1.2989830064220185,41.25337740761098,0.0979,248,0,1.0,0.691,69145.606
2044,39.954394401188964,1.1145513027522937,41.06894570394125,0.084,248,0,1.0,0.691,69145.606
2045,39.954394401188964,0.9287927522935782,40.88318715348254,0.07,248,0,1.0,0.691,69145.606
2046,39.954394401188964,0.7430342018348626,40.69742860302382,0.056,248,0,1.0,0.691,69145.606
2047,39.954394401188964,0.5572756513761469,40.51167005256511,0.042,248,0,1.0,0.691,69145.606
2048,39.954394401188964,0.3715171009174313,40.32591150210639,0.028,248,0,1.0,0.691,69145.606
2049,39.954394401188964,0.18575855045871564,40.14015295164768,0.014,248,0,1.0,0.691,69145.606
2050,39.954394401188964,0.0,39.954394401188964,0.0,248,0,1.0,0.691,69145.606
